dropped_donor,period_date,event_time,plot_time,analysis_period,loo_gap
AC,2015-08-01,-11,-11,pre,46.99218057470125
AC,2015-10-01,-10,-10,pre,52.54024377880978
AC,2015-12-01,-9,-9,pre,35.22117531247761
AC,2016-02-01,-8,-8,pre,18.747977555558748
AC,2016-04-01,-7,-7,pre,11.689199780738988
AC,2016-06-01,-6,-6,pre,-2.7665235028602524
AC,2016-08-01,-5,-5,pre,-2.456452754287625
AC,2016-10-01,-4,-4,pre,8.002184150815253
AC,2016-12-01,-3,-3,pre,3.1713140626347354
AC,2017-02-01,-2,-2,pre,8.150346427140391
AC,2017-04-01,-1,-1,pre,8.905465183595709
AC,2018-02-01,4,1,post,54.6657825355764
AC,2018-04-01,5,2,post,60.103662151621165
AC,2018-06-01,6,3,post,60.361017147512484
AC,2018-08-01,7,4,post,58.35965693684142
AC,2018-10-01,8,5,post,52.36203648699251
AC,2018-12-01,9,6,post,46.01925138267683
AC,2019-02-01,10,7,post,44.402514994905346
AC,2019-04-01,11,8,post,42.04493893026415
AC,2019-06-01,12,9,post,44.336464823044594
AC,2019-08-01,13,10,post,44.53835502958668
AC,2019-10-01,14,11,post,47.94941768063268
AC,2019-12-01,15,12,post,67.02803566079683
AL,2015-08-01,-11,-11,pre,47.637109902741145
AL,2015-10-01,-10,-10,pre,54.04824025167284
AL,2015-12-01,-9,-9,pre,35.56151232702797
AL,2016-02-01,-8,-8,pre,15.973690906947297
AL,2016-04-01,-7,-7,pre,7.951379270647692
AL,2016-06-01,-6,-6,pre,-6.2716032766749095
AL,2016-08-01,-5,-5,pre,-1.4917657547114231
AL,2016-10-01,-4,-4,pre,10.492970297426496
AL,2016-12-01,-3,-3,pre,2.00178376203786
AL,2017-02-01,-2,-2,pre,5.447037197260556
AL,2017-04-01,-1,-1,pre,3.987002367659443
AL,2018-02-01,4,1,post,51.62808062086003
AL,2018-04-01,5,2,post,57.5254567772397
AL,2018-06-01,6,3,post,58.28847592616535
AL,2018-08-01,7,4,post,56.80473864026351
AL,2018-10-01,8,5,post,51.72569457855559
AL,2018-12-01,9,6,post,35.652864536804884
AL,2019-02-01,10,7,post,29.08680291459001
AL,2019-04-01,11,8,post,28.936558606004155
AL,2019-06-01,12,9,post,31.108405269112666
AL,2019-08-01,13,10,post,36.31788542194727
AL,2019-10-01,14,11,post,43.705631228806226
AL,2019-12-01,15,12,post,57.808508160807946
AP,2015-08-01,-11,-11,pre,47.8339963659875
AP,2015-10-01,-10,-10,pre,54.36449237605342
AP,2015-12-01,-9,-9,pre,35.781003235649166
AP,2016-02-01,-8,-8,pre,16.15951542619831
AP,2016-04-01,-7,-7,pre,8.111258283158634
AP,2016-06-01,-6,-6,pre,-6.138801766313463
AP,2016-08-01,-5,-5,pre,-1.2640824297267272
AP,2016-10-01,-4,-4,pre,10.722590302947424
AP,2016-12-01,-3,-3,pre,2.086078789247324
AP,2017-02-01,-2,-2,pre,5.486706663842199
AP,2017-04-01,-1,-1,pre,3.9563392343121677
AP,2018-02-01,4,1,post,51.45214335237728
AP,2018-04-01,5,2,post,57.28171017095633
AP,2018-06-01,6,3,post,57.982868223798164
AP,2018-08-01,7,4,post,56.509036625637634
AP,2018-10-01,8,5,post,51.386755858133654
AP,2018-12-01,9,6,post,35.009466921654166
AP,2019-02-01,10,7,post,28.379942165574846
AP,2019-04-01,11,8,post,28.312357931292183
AP,2019-06-01,12,9,post,30.549139811024645
AP,2019-08-01,13,10,post,36.044345884232825
AP,2019-10-01,14,11,post,43.54210308412604
AP,2019-12-01,15,12,post,57.60487214432601
BA,2015-08-01,-11,-11,pre,44.8379148579977
BA,2015-10-01,-10,-10,pre,48.36772840845225
BA,2015-12-01,-9,-9,pre,36.587635593578966
BA,2016-02-01,-8,-8,pre,18.173009486081867
BA,2016-04-01,-7,-7,pre,11.366669445985337
BA,2016-06-01,-6,-6,pre,-2.143619596904273
BA,2016-08-01,-5,-5,pre,-0.15985103505983034
BA,2016-10-01,-4,-4,pre,10.408306556411333
BA,2016-12-01,-3,-3,pre,4.94580309720169
BA,2017-02-01,-2,-2,pre,8.072912038304821
BA,2017-04-01,-1,-1,pre,9.082467456101995
BA,2018-02-01,4,1,post,61.560749528817155
