dropped_donor,period_date,analysis_period,loo_gap
AC,2013-01-01,pre,2.842170943040401e-14
AC,2013-02-01,pre,-1.8928385413608595
AC,2013-03-01,pre,1.1197553476053344
AC,2013-04-01,pre,3.497349987234543
AC,2013-05-01,pre,2.345712667128609
AC,2013-06-01,pre,2.2292880982832344
AC,2013-07-01,pre,1.3562571358542073
AC,2013-08-01,pre,0.6802008329559754
AC,2013-09-01,pre,0.26103413158945443
AC,2013-10-01,pre,-0.026524631756274175
AC,2013-11-01,pre,0.30455170194689174
AC,2013-12-01,pre,0.18527867035257373
AC,2014-01-01,pre,0.09972022120631152
AC,2014-02-01,pre,5.4184486234389055
AC,2014-03-01,pre,2.9301229828489426
AC,2014-04-01,pre,2.5786281069201635
AC,2014-05-01,pre,6.379301033181505
AC,2014-06-01,pre,-2.297792440887534
AC,2014-07-01,pre,1.049503304489761
AC,2014-08-01,pre,3.4238858255739757
AC,2014-09-01,pre,2.4685971869862016
AC,2014-10-01,pre,1.2149462900437271
AC,2014-11-01,pre,1.3783831656610772
AC,2014-12-01,pre,-4.305221712382377
AC,2015-01-01,pre,0.7563776556377775
AC,2015-02-01,pre,2.9632540798665588
AC,2015-03-01,pre,4.684528205202312
AC,2015-04-01,pre,-0.39254070556272325
AC,2015-05-01,pre,-4.198489008048028
AC,2015-06-01,pre,-1.5872337417337121
AC,2015-07-01,pre,-0.9147828396173736
AC,2015-08-01,pre,5.047922924584327
AC,2015-09-01,pre,-1.5856701792435075
AC,2015-10-01,pre,-2.145477963477745
AC,2015-11-01,pre,-3.2637161588190935
AC,2015-12-01,pre,-7.518669612051525
AC,2016-01-01,pre,-1.9155639040181711
AC,2016-02-01,pre,-2.931851160308611
AC,2016-03-01,pre,-1.0059894570947279
AC,2016-04-01,pre,-3.2957782550731025
AC,2016-05-01,pre,-3.1683040367599915
AC,2016-06-01,pre,-7.932137307008645
AC,2016-07-01,pre,-3.60366402323325
AC,2016-08-01,pre,-5.40375779852738
AC,2016-09-01,pre,-4.427574175460123
AC,2016-10-01,pre,-7.498863357608755
AC,2016-11-01,pre,-6.690698100919448
AC,2016-12-01,pre,-2.288237990890053
