dropped_donor,period_date,analysis_period,loo_gap
AC,2015-02-01,pre,158.41416208802832
AC,2015-04-01,pre,11.692609237090437
AC,2015-06-01,pre,5.81890893002128
AC,2015-08-01,pre,65.18885911752693
AC,2015-10-01,pre,21.54699711895921
AC,2015-12-01,pre,-145.21413911645368
AC,2016-02-01,pre,127.72403410249228
AC,2016-04-01,pre,-120.5922902842533
AC,2016-06-01,pre,-124.66923340760991
AC,2016-08-01,pre,-82.09047191695106
AC,2016-10-01,pre,-43.04574295056955
AC,2016-12-01,pre,-4.1801491606390755
AC,2017-02-01,pre,45.07248659452671
AC,2017-04-01,pre,-20.49011714882488
AC,2017-06-01,post,-58.788244909343234
AC,2017-08-01,post,-5.204396165282446
AC,2017-10-01,post,61.20251296622189
AC,2017-12-01,post,-189.8365402274959
AC,2018-02-01,post,99.33825216100502
AC,2018-04-01,post,-22.425270683044687
AC,2018-06-01,post,-53.39326436519548
AC,2018-08-01,post,102.48567979328618
AC,2018-10-01,post,174.36253694081984
AL,2015-02-01,pre,106.44760105242472
AL,2015-04-01,pre,37.16314086846728
AL,2015-06-01,pre,2.887391214782383
AL,2015-08-01,pre,63.36683305483598
AL,2015-10-01,pre,-44.93446237271837
AL,2015-12-01,pre,-177.43727393494214
AL,2016-02-01,pre,92.41357353119906
AL,2016-04-01,pre,-62.9638053236265
AL,2016-06-01,pre,-20.90510038332502
AL,2016-08-01,pre,-45.86618773932935
AL,2016-10-01,pre,-63.58063220218287
AL,2016-12-01,pre,14.060377412734056
AL,2017-02-01,pre,-2.1640526095935684
AL,2017-04-01,pre,-45.546639825327475
AL,2017-06-01,post,-143.29158725298714
AL,2017-08-01,post,-21.87237387454354
AL,2017-10-01,post,40.09432571441005
AL,2017-12-01,post,-170.2967555066058
AL,2018-02-01,post,38.20370325514784
AL,2018-04-01,post,-65.30705568646499
AL,2018-06-01,post,-67.89481164102858
AL,2018-08-01,post,60.762821104940485
AL,2018-10-01,post,60.32123828515182
AP,2015-02-01,pre,105.50630551635845
AP,2015-04-01,pre,56.759761467204044
AP,2015-06-01,pre,11.240869495714378
AP,2015-08-01,pre,65.05445193682851
AP,2015-10-01,pre,-67.90769252783139
AP,2015-12-01,pre,-203.19480599382314
AP,2016-02-01,pre,85.65295077473775
AP,2016-04-01,pre,-63.51942231976204
AP,2016-06-01,pre,-39.45939314134239
AP,2016-08-01,pre,-10.851414607104175
AP,2016-10-01,pre,-61.6555728725956
AP,2016-12-01,pre,7.938680736390552
AP,2017-02-01,pre,-17.663284197524945
AP,2017-04-01,pre,-42.571161973961694
AP,2017-06-01,post,-146.74105331803764
AP,2017-08-01,post,-14.617691774649074
AP,2017-10-01,post,37.80934123577015
AP,2017-12-01,post,-192.49495523426037
AP,2018-02-01,post,39.756821473151376
AP,2018-04-01,post,-76.66716160068711
AP,2018-06-01,post,-51.7412990046854
AP,2018-08-01,post,43.26679212127715
AP,2018-10-01,post,34.15538095462773
BA,2015-02-01,pre,101.96608814815386
BA,2015-04-01,pre,40.6956264849664
BA,2015-06-01,pre,8.895361216155607
BA,2015-08-01,pre,53.270956263614266
BA,2015-10-01,pre,-37.360437226002205
BA,2015-12-01,pre,-145.59253637511404
BA,2016-02-01,pre,96.97845476673217
BA,2016-04-01,pre,-58.97374028760646
BA,2016-06-01,pre,-9.856982492017437
BA,2016-08-01,pre,-52.17279783049173
BA,2016-10-01,pre,-68.17741600560328
BA,2016-12-01,pre,-4.1143620910584104
BA,2017-02-01,pre,-0.5860755070423238
BA,2017-04-01,pre,-61.04890584810653
BA,2017-06-01,post,-137.9087697001031
BA,2017-08-01,post,-30.266691232917765
BA,2017-10-01,post,34.2939694875339
BA,2017-12-01,post,-162.98044795358612
BA,2018-02-01,post,39.4436405879311
BA,2018-04-01,post,-63.50536794652851
BA,2018-06-01,post,-67.96472634537224
BA,2018-08-01,post,63.44547691884145
BA,2018-10-01,post,64.1715941465277
CE,2015-02-01,pre,104.70509404167183
CE,2015-04-01,pre,37.10436481099441
CE,2015-06-01,pre,3.591025447367656
CE,2015-08-01,pre,64.23753390796946
CE,2015-10-01,pre,-43.88156170762022
CE,2015-12-01,pre,-178.37307961219767
CE,2016-02-01,pre,91.8361041872322
CE,2016-04-01,pre,-62.69759278405422
CE,2016-06-01,pre,-20.752518626060237
CE,2016-08-01,pre,-46.13055250521302
CE,2016-10-01,pre,-62.80014401966389
CE,2016-12-01,pre,12.922220100343338
CE,2017-02-01,pre,-1.9390887561986574
CE,2017-04-01,pre,-45.75673982779551
CE,2017-06-01,post,-142.03392693989997
CE,2017-08-01,post,-21.287062487754383
CE,2017-10-01,post,40.891478824465025
CE,2017-12-01,post,-170.33725239267994
CE,2018-02-01,post,38.27822659720084
CE,2018-04-01,post,-65.26318566413909
CE,2018-06-01,post,-68.19049998253922
CE,2018-08-01,post,62.11356631718968
CE,2018-10-01,post,61.60096341031965
DF,2015-02-01,pre,103.22917057650989
DF,2015-04-01,pre,48.557916855288795
DF,2015-06-01,pre,17.83013482582237
DF,2015-08-01,pre,46.49634900249919
DF,2015-10-01,pre,-44.35361928875727
DF,2015-12-01,pre,-139.91710425630345
DF,2016-02-01,pre,92.49463881018653
DF,2016-04-01,pre,-66.59927395648197
DF,2016-06-01,pre,-44.54614154275521
DF,2016-08-01,pre,-32.78255025389956
DF,2016-10-01,pre,-72.57877681241484
DF,2016-12-01,pre,1.0315476900651674
DF,2017-02-01,pre,-14.060079958409347
DF,2017-04-01,pre,-79.89811575191277
DF,2017-06-01,post,-134.15886700668773
DF,2017-08-01,post,-37.07410425950138
DF,2017-10-01,post,23.001820626696258
DF,2017-12-01,post,-187.35333841412387
DF,2018-02-01,post,36.96322516445207
DF,2018-04-01,post,-69.11358928838138
DF,2018-06-01,post,-63.61889844087989
DF,2018-08-01,post,58.343777890210276
DF,2018-10-01,post,54.711260014110735
ES,2015-02-01,pre,105.58934779706647
ES,2015-04-01,pre,37.64533616321319
ES,2015-06-01,pre,3.9872026287748668
ES,2015-08-01,pre,64.53047365579096
ES,2015-10-01,pre,-43.76788687199462
ES,2015-12-01,pre,-178.0196803386557
ES,2016-02-01,pre,92.3891157892026
ES,2016-04-01,pre,-62.36398119222872
ES,2016-06-01,pre,-20.458792370700962
ES,2016-08-01,pre,-45.67068903453605
ES,2016-10-01,pre,-62.70847665138649
ES,2016-12-01,pre,13.514822834005258
ES,2017-02-01,pre,-1.7429623332186566
ES,2017-04-01,pre,-46.30064157600452
ES,2017-06-01,post,-141.21360784809679
ES,2017-08-01,post,-21.14026201544425
ES,2017-10-01,post,40.992591906718076
ES,2017-12-01,post,-170.0058456602361
ES,2018-02-01,post,38.57247540787398
ES,2018-04-01,post,-65.00698593794687
ES,2018-06-01,post,-67.79533434084158
ES,2018-08-01,post,62.04106474923424
ES,2018-10-01,post,61.52065091661666
GO,2015-02-01,pre,105.84467242493406
