dropped_donor,period_date,analysis_period,loo_gap
AC,2013-06-01,pre,50.87122958677642
AC,2013-08-01,pre,82.0829461161196
AC,2013-10-01,pre,72.9715424397269
AC,2013-12-01,pre,50.24921143727914
AC,2014-02-01,pre,-117.14843094594275
AC,2014-04-01,pre,-23.26875967360038
AC,2014-06-01,pre,-111.9180337721065
AC,2014-08-01,pre,-91.26478702185328
AC,2014-10-01,pre,-41.84287245976085
AC,2014-12-01,pre,70.51620189606724
AC,2015-02-01,pre,17.816003054388887
AC,2015-04-01,pre,-44.9147496583646
AC,2015-06-01,pre,-100.41425311448927
AC,2015-08-01,pre,-59.9073547692135
AC,2015-10-01,pre,-42.124902036487185
AC,2015-12-01,pre,-120.0605752729628
AC,2016-02-01,pre,-13.812180998911316
AC,2016-04-01,pre,-48.51488214825042
AC,2016-06-01,pre,31.591257723820192
AC,2016-08-01,pre,29.063166559308897
AC,2016-10-01,pre,77.29848343316866
AC,2016-12-01,pre,25.10325016284889
AC,2017-02-01,pre,58.542134089943104
AC,2017-04-01,pre,-39.87395316942595
AC,2017-06-01,post,-45.44944200954039
AC,2017-08-01,post,30.22498677590266
AC,2017-10-01,post,-16.440033867576485
AC,2017-12-01,post,36.011374949937334
AC,2018-02-01,post,31.19625237085603
AC,2018-04-01,post,-54.920430412376184
AC,2018-06-01,post,-27.200606673879797
AC,2018-08-01,post,-47.258954224787786
AC,2018-10-01,post,-5.619027632433557
AL,2013-06-01,pre,23.891487813124414
AL,2013-08-01,pre,87.76706086502088
AL,2013-10-01,pre,87.46138428982916
AL,2013-12-01,pre,23.68063346474088
AL,2014-02-01,pre,-141.55060045013516
AL,2014-04-01,pre,-39.65057155818967
AL,2014-06-01,pre,-107.53835753883367
AL,2014-08-01,pre,-90.11318137801197
AL,2014-10-01,pre,-41.96169672771174
AL,2014-12-01,pre,96.35705101951507
AL,2015-02-01,pre,36.37450883269284
AL,2015-04-01,pre,-15.615179427661587
AL,2015-06-01,pre,-136.90644752240746
AL,2015-08-01,pre,-61.30085192160948
AL,2015-10-01,pre,-38.470307554238104
AL,2015-12-01,pre,-98.27429114578749
AL,2016-02-01,pre,-15.848085461527972
AL,2016-04-01,pre,-47.61530774591131
AL,2016-06-01,pre,25.80675583804434
AL,2016-08-01,pre,4.055063146553451
AL,2016-10-01,pre,91.9241841191274
AL,2016-12-01,pre,28.66008235284755
AL,2017-02-01,pre,30.861007075886974
AL,2017-04-01,pre,-47.07624746716509
AL,2017-06-01,post,-40.9724816357278
AL,2017-08-01,post,31.11411791801987
AL,2017-10-01,post,20.729352223698264
AL,2017-12-01,post,40.42416221404818
AL,2018-02-01,post,5.610006445746898
AL,2018-04-01,post,-38.001412663837904
AL,2018-06-01,post,-18.992624439164153
AL,2018-08-01,post,-38.848508475947966
AL,2018-10-01,post,0.5720146875153063
AP,2013-06-01,pre,50.000570667655495
AP,2013-08-01,pre,86.0710514402995
AP,2013-10-01,pre,69.93893065732175
AP,2013-12-01,pre,45.3012780068224
AP,2014-02-01,pre,-120.73173826281752
AP,2014-04-01,pre,-20.508323539363012
AP,2014-06-01,pre,-106.91330112333081
AP,2014-08-01,pre,-91.68744343217068
AP,2014-10-01,pre,-42.04931040661393
AP,2014-12-01,pre,70.90183275260463
AP,2015-02-01,pre,17.12630153639222
AP,2015-04-01,pre,-44.40719628030939
AP,2015-06-01,pre,-103.40228828631945
AP,2015-08-01,pre,-64.69703578853694
AP,2015-10-01,pre,-44.18046817380298
AP,2015-12-01,pre,-119.97181179365668
AP,2016-02-01,pre,-14.275762918644745
AP,2016-04-01,pre,-49.13267896492874
AP,2016-06-01,pre,29.32517982019074
AP,2016-08-01,pre,22.791691069678123
AP,2016-10-01,pre,77.4494182056439
AP,2016-12-01,pre,26.778148905264164
AP,2017-02-01,pre,59.43343809097884
AP,2017-04-01,pre,-41.09559545515394
AP,2017-06-01,post,-43.99343355115336
AP,2017-08-01,post,31.82283975540938
AP,2017-10-01,post,-13.745910096631551
AP,2017-12-01,post,37.811274066942886
AP,2018-02-01,post,33.06677745042988
AP,2018-04-01,post,-54.44051324091493
AP,2018-06-01,post,-24.328534995515824
AP,2018-08-01,post,-45.108237912029004
AP,2018-10-01,post,-4.368133883870954
BA,2013-06-01,pre,50.54812891004771
BA,2013-08-01,pre,86.89285002015792
BA,2013-10-01,pre,65.84681790688586
BA,2013-12-01,pre,49.20204471227916
BA,2014-02-01,pre,-119.08183333262593
BA,2014-04-01,pre,-18.164795477323693
BA,2014-06-01,pre,-102.61007181716495
BA,2014-08-01,pre,-90.4226860605381
BA,2014-10-01,pre,-43.58324390054743
BA,2014-12-01,pre,73.19170843827165
BA,2015-02-01,pre,17.75990139118889
BA,2015-04-01,pre,-40.05838871942166
BA,2015-06-01,pre,-105.56035034137716
BA,2015-08-01,pre,-67.68626638324531
BA,2015-10-01,pre,-41.92942588801958
BA,2015-12-01,pre,-118.75067450276475
BA,2016-02-01,pre,-9.564107934815297
BA,2016-04-01,pre,-50.10662237659545
BA,2016-06-01,pre,25.631319676122516
BA,2016-08-01,pre,18.679001287400055
BA,2016-10-01,pre,78.36719703711773
BA,2016-12-01,pre,24.21229728558453
BA,2017-02-01,pre,61.28037603871796
BA,2017-04-01,pre,-40.34638538362229
BA,2017-06-01,post,-44.419504981060506
BA,2017-08-01,post,34.098202744287605
BA,2017-10-01,post,-14.00755979047462
BA,2017-12-01,post,33.36428790667378
BA,2018-02-01,post,34.95469720371021
BA,2018-04-01,post,-58.10937683617659
BA,2018-06-01,post,-22.85614117982945
BA,2018-08-01,post,-45.70204238170893
BA,2018-10-01,post,-2.781600674009489
CE,2013-06-01,pre,50.18370035839488
CE,2013-08-01,pre,85.77663905914802
CE,2013-10-01,pre,70.71184426856583
CE,2013-12-01,pre,46.60401213127727
CE,2014-02-01,pre,-120.05000702231912
CE,2014-04-01,pre,-20.578257109640695
CE,2014-06-01,pre,-107.87752810691833
CE,2014-08-01,pre,-91.73063192887923
CE,2014-10-01,pre,-41.41792076128097
CE,2014-12-01,pre,70.64313394733765
CE,2015-02-01,pre,17.661092146017864
CE,2015-04-01,pre,-44.271403869314895
CE,2015-06-01,pre,-102.98662550603404
CE,2015-08-01,pre,-64.83667207446825
CE,2015-10-01,pre,-43.07613836809486
CE,2015-12-01,pre,-119.86544401222548
CE,2016-02-01,pre,-13.773311422823554
CE,2016-04-01,pre,-47.967216776426426
CE,2016-06-01,pre,29.6883593185173
CE,2016-08-01,pre,23.475053206403842
CE,2016-10-01,pre,77.8653234142607
CE,2016-12-01,pre,26.14253066590226
CE,2017-02-01,pre,58.77306035435525
CE,2017-04-01,pre,-39.64434751813586
CE,2017-06-01,post,-43.941743983696604
CE,2017-08-01,post,31.474315382282786
CE,2017-10-01,post,-13.987318090086031
CE,2017-12-01,post,36.582475780663714
CE,2018-02-01,post,33.177534149579714
