dropped_donor,period_date,analysis_period,loo_gap
AC,1998-11-01,pre,0.21146204511224687
AC,1998-12-01,pre,0.19035891074047084
AC,1999-01-01,pre,-0.7720582655768964
AC,1999-02-01,pre,0.4981517722917297
AC,1999-03-01,pre,0.21631131916508162
AC,1999-04-01,pre,0.06417856884479667
AC,1999-05-01,pre,0.12538786400878577
AC,1999-06-01,pre,0.6591532679888963
AC,1999-07-01,pre,0.35245670059768264
AC,1999-08-01,pre,0.3534553371135991
AC,1999-09-01,pre,0.6769788102751138
AC,1999-10-01,pre,0.4039479271046087
AC,1999-11-01,pre,-0.05537743004170048
AC,1999-12-01,pre,-0.028103744881366133
AC,2000-01-01,pre,-0.2604528845251406
AC,2000-02-01,pre,-0.42524671424463545
AC,2000-03-01,pre,-0.48304289894559016
AC,2000-04-01,pre,0.01803890069113301
AC,2000-05-01,pre,-0.24747475020464593
AC,2000-06-01,pre,-0.18608002594487605
AC,2000-07-01,pre,0.05532520418698006
AC,2000-08-01,pre,0.6024268544209948
AC,2000-09-01,pre,-0.08213226729068568
AC,2000-10-01,pre,-0.15275616673500192
AC,2000-11-01,pre,0.05985431028025756
AC,2000-12-01,pre,-0.11351279757292865
AC,2001-01-01,pre,-0.05767048659104024
AC,2001-02-01,pre,-0.1301188128535471
AC,2001-03-01,pre,0.36550180871570737
AC,2001-04-01,pre,-0.04760099031262888
AC,2001-05-01,pre,-0.14999110217664224
AC,2001-06-01,pre,0.008475428171358601
AC,2001-07-01,pre,-0.21072331707696623
AC,2001-08-01,pre,-0.027735312848071292
AC,2001-09-01,pre,0.04139480976021659
AC,2001-10-01,pre,-0.43727245796718295
AC,2001-11-01,post,-0.6079926928579518
AC,2001-12-01,post,0.39205348328430434
AC,2002-01-01,post,-0.010103256023084484
AC,2002-02-01,post,0.4577937632097
AC,2002-03-01,post,-0.16308878563642804
AC,2002-04-01,post,-1.2490922295807247
AC,2002-05-01,post,-0.15327409285872617
AC,2002-06-01,post,-0.9967200649013026
AC,2002-07-01,post,-0.3968570972244394
AC,2002-08-01,post,-0.21597764929049879
AC,2002-09-01,post,-0.40561048526994314
AC,2002-10-01,post,0.5246103749964837
AC,2002-11-01,post,-0.019723108999748273
AC,2002-12-01,post,-0.20615259228823568
AC,2003-01-01,post,-0.22536519753944262
AC,2003-02-01,post,-0.07542966630525694
AC,2003-03-01,post,-0.7204627306515863
AC,2003-04-01,post,-0.11219974306931002
AC,2003-05-01,post,-0.13266082433578363
AC,2003-06-01,post,0.19274319747655744
AC,2003-07-01,post,-0.11085303220020659
AC,2003-08-01,post,-0.40776728234608894
AC,2003-09-01,post,0.12078810634046011
AC,2003-10-01,post,-0.4376377762967296
AL,1998-11-01,pre,0.2059406284622649
AL,1998-12-01,pre,0.1541900416789992
AL,1999-01-01,pre,-0.778643592917609
AL,1999-02-01,pre,0.5259546159424189
AL,1999-03-01,pre,0.21882407599173792
AL,1999-04-01,pre,0.07671998195814478
AL,1999-05-01,pre,0.1264920133162546
AL,1999-06-01,pre,0.6585076759941351
AL,1999-07-01,pre,0.33537354155434285
AL,1999-08-01,pre,0.4041722220340236
AL,1999-09-01,pre,0.6258823702370258
AL,1999-10-01,pre,0.37650373757180766
AL,1999-11-01,pre,-0.09690029135376443
AL,1999-12-01,pre,-0.054440460615701625
AL,2000-01-01,pre,-0.298340456513444
AL,2000-02-01,pre,-0.43609557130334853
AL,2000-03-01,pre,-0.492513315340541
AL,2000-04-01,pre,0.016678082151015072
AL,2000-05-01,pre,-0.22605972549577835
AL,2000-06-01,pre,-0.15444630770755507
AL,2000-07-01,pre,0.07435247739660733
AL,2000-08-01,pre,0.5881675100660324
AL,2000-09-01,pre,-0.04389482598176553
AL,2000-10-01,pre,-0.09437874555813597
AL,2000-11-01,pre,0.1347322514435949
AL,2000-12-01,pre,-0.06503305896138878
AL,2001-01-01,pre,-0.12437972421926302
AL,2001-02-01,pre,-0.12328244948677813
AL,2001-03-01,pre,0.35673266913183665
AL,2001-04-01,pre,-0.04518562182975838
AL,2001-05-01,pre,-0.1937844736900498
AL,2001-06-01,pre,-0.04904464369147643
AL,2001-07-01,pre,-0.2015925273803263
AL,2001-08-01,pre,-0.02305716177754835
AL,2001-09-01,pre,0.050095117231890196
AL,2001-10-01,pre,-0.393790557245675
AL,2001-11-01,post,-0.5916633914246101
AL,2001-12-01,post,0.41120155565479166
AL,2002-01-01,post,0.22699679263279116
AL,2002-02-01,post,0.6649988773869042
AL,2002-03-01,post,0.07456008353392862
AL,2002-04-01,post,-1.0613082570438426
AL,2002-05-01,post,0.1060273233196134
AL,2002-06-01,post,-0.7626190871760381
AL,2002-07-01,post,-0.1497082340706246
AL,2002-08-01,post,0.00917936540734221
AL,2002-09-01,post,-0.19827957627946713
AL,2002-10-01,post,0.7259181634833647
AL,2002-11-01,post,0.25180935641802327
AL,2002-12-01,post,-0.0036575619153400574
AL,2003-01-01,post,0.015292087471933336
AL,2003-02-01,post,0.1188526448137468
AL,2003-03-01,post,-0.6676275161870522
