dropped_donor,period_date,analysis_period,loo_gap
AC,1998-11-01,pre,0.24453133691413065
AC,1998-12-01,pre,-0.31257444840377424
AC,1999-01-01,pre,-0.2902137153382949
AC,1999-02-01,pre,1.3435636712066188
AC,1999-03-01,pre,-0.9175428840290039
AC,1999-04-01,pre,1.8397601211918353
AC,1999-05-01,pre,-0.14030732401869095
AC,1999-06-01,pre,1.1625751606897552
AC,1999-07-01,pre,0.7256317266251635
AC,1999-08-01,pre,0.11240739168624181
AC,1999-09-01,pre,1.3271700992269722
AC,1999-10-01,pre,-0.6775148474572692
AC,1999-11-01,pre,0.18463494443046002
AC,1999-12-01,pre,-0.7394778907792023
AC,2000-01-01,pre,0.021383095429559518
AC,2000-02-01,pre,-0.30476043076744475
AC,2000-03-01,pre,-0.6572477852371961
AC,2000-04-01,pre,0.3129930278786457
AC,2000-05-01,pre,0.3666609027889649
AC,2000-06-01,pre,-0.0790633610220155
AC,2000-07-01,pre,-1.0681261653452694
AC,2000-08-01,pre,-0.032632486729804455
AC,2000-09-01,pre,-0.27071029980463024
AC,2000-10-01,pre,0.10469671514672463
AC,2000-11-01,pre,-0.6187409539570972
AC,2000-12-01,pre,0.4489653752577514
AC,2001-01-01,pre,-2.5267873912044507
AC,2001-02-01,pre,-1.4966599254057407
AC,2001-03-01,pre,-1.879081333744324
AC,2001-04-01,pre,-0.3299311354301615
AC,2001-05-01,pre,-0.7310370479173276
AC,2001-06-01,pre,-2.362474783877202
AC,2001-07-01,pre,-1.6230393632273685
AC,2001-08-01,pre,-2.7297446984679716
AC,2001-09-01,pre,-1.5619655112632849
AC,2001-10-01,pre,-3.0505050309233894
AC,2001-11-01,post,-2.017394488290968
AC,2001-12-01,post,-4.412901526947982
AC,2002-01-01,post,-1.770377674524788
AC,2002-02-01,post,-1.3797825538537491
AC,2002-03-01,post,-0.431510780214607
AC,2002-04-01,post,-1.711663182205477
AC,2002-05-01,post,-1.6212784286658088
AC,2002-06-01,post,-1.7815218320682025
AC,2002-07-01,post,-0.5559268540994058
AC,2002-08-01,post,-2.03734221550744
AC,2002-09-01,post,-3.1230747899703495
AC,2002-10-01,post,-2.655848855849346
AC,2002-11-01,post,-1.8321897174154564
AC,2002-12-01,post,-2.4509193997408545
AC,2003-01-01,post,-0.9698028920344672
AC,2003-02-01,post,-3.2422879036769494
AC,2003-03-01,post,-1.364222189049224
AC,2003-04-01,post,-2.2075664435122793
AC,2003-05-01,post,-1.6045797214829154
AC,2003-06-01,post,-1.675669572235039
AC,2003-07-01,post,-2.7180029060916997
AC,2003-08-01,post,-2.77894649478395
AC,2003-09-01,post,-2.712212515180413
AC,2003-10-01,post,-1.1363389090332863
AL,1998-11-01,pre,0.25828969098173893
AL,1998-12-01,pre,-0.30889319476659516
AL,1999-01-01,pre,-0.28028474225419586
AL,1999-02-01,pre,1.3486746046690072
