period_date,analysis_period,treated_value,synthetic_value,gap
2016-01-01,pre,-84,1512.8840444838868,-1596.8840444838868
2016-02-01,pre,-167,2366.125626017826,-2533.125626017826
2016-03-01,pre,53,641.0445639304162,-588.0445639304162
2016-04-01,pre,-11,-339.0497192207523,328.0497192207523
2016-05-01,pre,-54,-911.7127326627347,857.7127326627347
2016-06-01,pre,-286,-188.2012895313197,-97.7987104686803
2016-07-01,pre,-376,619.9032638712376,-995.9032638712376
2016-08-01,pre,-313,220.4980292433383,-533.4980292433384
2016-09-01,pre,32,404.3454274837108,-372.3454274837108
2016-10-01,pre,-175,-208.26331794358126,33.26331794358126
2016-11-01,pre,-198,-4023.37526898939,3825.37526898939
2016-12-01,pre,-688,-12216.08874606418,11528.08874606418
2017-01-01,pre,-430,-9083.096523343895,8653.096523343895
2017-02-01,pre,-266,-7030.498750097644,6764.498750097644
2017-03-01,pre,-352,-8749.31621532519,8397.31621532519
2017-04-01,pre,-108,-8407.064668010938,8299.064668010938
2017-05-01,pre,159,-8468.514078287259,8627.514078287259
2017-06-01,pre,182,-6350.797249521184,6532.797249521184
2017-07-01,pre,197,-4318.762171634942,4515.762171634942
2017-08-01,pre,612,-3794.752832774039,4406.752832774038
2017-09-01,pre,1147,-3403.0359067512627,4550.035906751263
2017-10-01,pre,1195,-2871.815853922079,4066.815853922079
2017-11-01,pre,1338,-5765.851751825721,7103.851751825721
2017-12-01,pre,1109,-12192.705633394517,13301.705633394517
2018-01-01,pre,1201,-8518.471921143115,9719.471921143115
2018-02-01,pre,1152,-5634.967499433903,6786.967499433903
2018-03-01,pre,1150,-6827.856759364617,7977.856759364617
2018-04-01,pre,1259,-5363.45277807716,6622.45277807716
2018-05-01,pre,901,-4543.4267970163555,5444.4267970163555
2018-06-01,pre,631,-2459.552937412177,3090.552937412177
2018-07-01,pre,516,-65.36283623856428,581.3628362385643
2018-08-01,pre,651,2226.918265492616,-1575.9182654926158
2018-09-01,pre,1276,2866.9440570011693,-1590.9440570011693
2018-10-01,pre,1421,4054.3358251742884,-2633.3358251742884
2018-11-01,pre,1645,3296.618841647479,-1651.6188416474788
2019-01-01,post,1345,9201.073845304993,-7856.073845304993
2019-02-01,post,1099,11154.322164954963,-10055.322164954963
2019-03-01,post,1175,9639.1047402605709,-8464.1047402605709
2019-04-01,post,1327,12099.496225328043,-10772.496225328043
2019-05-01,post,1451,13220.223843171107,-11769.223843171107
2019-06-01,post,1645,16157.690762952605,-14512.690762952605
2019-07-01,post,1898,18154.452164894657,-16256.452164894657
2019-08-01,post,2174,20427.39284384776,-18253.39284384776
2019-09-01,post,2779,22206.3211719432,-19427.3211719432
2019-10-01,post,3021,23516.19400993286,-20495.19400993286
2019-11-01,post,3649,22697.466839300567,-19048.466839300567
2019-12-01,post,3478,16330.824748489798,-12852.824748489798
2020-01-01,post,3859,20222.224128945247,-16363.224128945247
2020-02-01,post,4616,24354.18450476651,-19738.18450476651
2020-03-01,post,5023,22485.94523124254,-17462.94523124254
2020-04-01,post,3619,12944.4083892479,-9325.4083892479
2020-05-01,post,3179,10266.140323707128,-7087.140323707128
2020-06-01,post,3154,12741.80076515238,-9587.80076515238
2020-07-01,post,3329,16522.119483341856,-13193.119483341856
2020-08-01,post,3968,19152.15370966016,-15184.15370966016
2020-09-01,post,5149,22710.562464138566,-17561.562464138566
2020-10-01,post,5781,27283.168580268077,-21502.168580268077
2020-11-01,post,6791,30301.978506833617,-23510.978506833617
2020-12-01,post,6937,25661.887077739066,-18724.887077739066
