iteration,step,a_star,b_star,cv_mspe
1,a,0,0,7806687.452824995
1,a,0.1,0,7361689.497911106
1,a,0.2,0,8687280.218920987
1,a,0.30000000000000004,0,11241571.560932336
1,a,0.4,0,20292429.441971157
1,a,0.5,0,31536229.950307596
1,a,0.6000000000000001,0,52956778.55551224
1,a,0.7000000000000001,0,55511305.08340919
1,a,0.8,0,58074185.63104455
1,a,0.9,0,63253394.40543251
1,a,1,0,63669519.08788096
1,b,0.1,0,7361689.497911106
1,b,0.1,0.1,7067466.055733913
1,b,0.1,0.2,7021936.233112194
1,b,0.1,0.30000000000000004,7808113.845987211
1,b,0.1,0.4,10496921.550958144
1,b,0.1,0.5,13015168.100419689
1,b,0.1,0.6000000000000001,18975847.54296048
1,b,0.1,0.7000000000000001,31168158.87553632
1,b,0.1,0.8,47030584.38927864
1,b,0.1,0.9,58802286.45609313
1,b,0.1,1,65187624.192302726
2,a,0,0.2,6811892.151859799
2,a,0.1,0.2,7021936.233112194
2,a,0.2,0.2,7280793.181081311
2,a,0.30000000000000004,0.2,7502044.399000106
2,a,0.4,0.2,8001521.935297476
2,a,0.5,0.2,11727922.05885011
2,a,0.6000000000000001,0.2,20108768.182666466
2,a,0.7000000000000001,0.2,39729451.8188755
2,a,0.8,0.2,54992103.633524284
2,a,0.9,0.2,60823586.40630403
2,a,1,0.2,63664931.32078804
2,b,0,0,7806687.452824995
2,b,0,0.1,7087005.893985527
2,b,0,0.2,6811892.151859799
2,b,0,0.30000000000000004,7242087.565479588
2,b,0,0.4,9000132.765804287
2,b,0,0.5,10520692.274729965
2,b,0,0.6000000000000001,13588190.546515014
2,b,0,0.7000000000000001,18563126.92752223
2,b,0,0.8,24975236.64528587
2,b,0,0.9,46101332.05513699
2,b,0,1,56749712.552926585
3,a,0,0.2,6811892.151859799
3,a,0.1,0.2,7021936.233112194
3,a,0.2,0.2,7280793.181081311
3,a,0.30000000000000004,0.2,7502044.399000106
3,a,0.4,0.2,8001521.935297476
3,a,0.5,0.2,11727922.05885011
3,a,0.6000000000000001,0.2,20108768.182666466
3,a,0.7000000000000001,0.2,39729451.8188755
3,a,0.8,0.2,54992103.633524284
3,a,0.9,0.2,60823586.40630403
3,a,1,0.2,63664931.32078804
3,b,0,0,7806687.452824995
3,b,0,0.1,7087005.893985527
3,b,0,0.2,6811892.151859799
3,b,0,0.30000000000000004,7242087.565479588
3,b,0,0.4,9000132.765804287
3,b,0,0.5,10520692.274729965
3,b,0,0.6000000000000001,13588190.546515014
3,b,0,0.7000000000000001,18563126.92752223
3,b,0,0.8,24975236.64528587
3,b,0,0.9,46101332.05513699
3,b,0,1,56749712.552926585
