iteration,step,a_star,b_star,cv_mspe
1,a,0,0,98276.50595391895
1,a,0.1,0,120542.43318754119
1,a,0.2,0,207325.6679904084
1,a,0.30000000000000004,0,277501.2737790808
1,a,0.4,0,714151.3293934485
1,a,0.5,0,1383658.3508940306
1,a,0.6000000000000001,0,2454689.003410127
1,a,0.7000000000000001,0,8412934.853582522
1,a,0.8,0,13305605.851358129
1,a,0.9,0,18364345.768824957
1,a,1,0,18901070.190250985
1,b,0,0,98276.50595391895
1,b,0,0.1,110267.70337812668
1,b,0,0.2,145749.34684198882
1,b,0,0.30000000000000004,172242.51249533126
1,b,0,0.4,263728.5552809907
1,b,0,0.5,372066.3375442743
1,b,0,0.6000000000000001,530322.0692644127
1,b,0,0.7000000000000001,1275033.9428839632
1,b,0,0.8,2123832.86480699
1,b,0,0.9,6155604.339684601
1,b,0,1,15553059.810871845
