period_date,analysis_period,treated_value,synthetic_value,gap,outcome,treated_state,placebo_state
2016-01-01,pre,-286,-970.7363503420265,684.7363503420265,formal_hiring_balance,AC,AC
2016-02-01,pre,-531,-1332.897207753188,801.897207753188,formal_hiring_balance,AC,AC
2016-03-01,pre,-638,-621.2794585814962,-16.720541418503785,formal_hiring_balance,AC,AC
2016-04-01,pre,-463,-172.1220506631815,-290.87794933681846,formal_hiring_balance,AC,AC
2016-05-01,pre,147,-785.5079240866315,932.5079240866315,formal_hiring_balance,AC,AC
2016-06-01,pre,191,-192.3183780332961,383.3183780332961,formal_hiring_balance,AC,AC
2016-07-01,pre,765,-501.19279285884204,1266.192792858842,formal_hiring_balance,AC,AC
2016-08-01,pre,-29,-3.8106111298725303,-25.18938887012747,formal_hiring_balance,AC,AC
2016-09-01,pre,-65,-267.31072571610014,202.31072571610014,formal_hiring_balance,AC,AC
2016-10-01,pre,-336,-693.1847445977045,357.1847445977045,formal_hiring_balance,AC,AC
2016-11-01,pre,-1007,-867.8104542207071,-139.18954577929287,formal_hiring_balance,AC,AC
2016-12-01,pre,-642,-1929.240342869484,1287.240342869484,formal_hiring_balance,AC,AC
2017-01-01,pre,25,-525.7137189265793,550.7137189265793,formal_hiring_balance,AC,AC
2017-02-01,pre,-244,440.0439795862601,-684.0439795862601,formal_hiring_balance,AC,AC
2017-03-01,pre,-545,-412.31705950290905,-132.68294049709095,formal_hiring_balance,AC,AC
2017-04-01,pre,-329,259.6344428592065,-588.6344428592065,formal_hiring_balance,AC,AC
2017-05-01,pre,200,81.39964498554498,118.60035501445502,formal_hiring_balance,AC,AC
2017-06-01,pre,251,367.0755869247476,-116.0755869247476,formal_hiring_balance,AC,AC
2017-07-01,pre,239,334.4984181082298,-95.49841810822983,formal_hiring_balance,AC,AC
2017-08-01,pre,141,163.04687767523453,-22.046877675234526,formal_hiring_balance,AC,AC
2017-09-01,pre,217,239.29294206511995,-22.292942065119945,formal_hiring_balance,AC,AC
2017-10-01,pre,-216,504.51026277323956,-720.5102627732396,formal_hiring_balance,AC,AC
2017-11-01,pre,-343,-695.6388945145802,352.6388945145802,formal_hiring_balance,AC,AC
2017-12-01,pre,-392,-1298.034020157821,906.034020157821,formal_hiring_balance,AC,AC
2018-01-01,pre,-369,93.70355724907866,-462.70355724907864,formal_hiring_balance,AC,AC
2018-02-01,pre,-428,581.624915372945,-1009.624915372945,formal_hiring_balance,AC,AC
2018-03-01,pre,-157,80.11425871690832,-237.11425871690832,formal_hiring_balance,AC,AC
2018-04-01,pre,230,619.4165145828015,-389.4165145828015,formal_hiring_balance,AC,AC
2018-05-01,pre,-191,205.48269834777145,-396.4826983477715,formal_hiring_balance,AC,AC
2018-06-01,pre,189,-145.83273074432674,334.83273074432674,formal_hiring_balance,AC,AC
2018-07-01,pre,371,601.6059735416071,-230.6059735416071,formal_hiring_balance,AC,AC
2018-08-01,pre,-172,566.8300130007686,-738.8300130007686,formal_hiring_balance,AC,AC
2018-09-01,pre,285,459.79267759997066,-174.79267759997066,formal_hiring_balance,AC,AC
2018-10-01,pre,207,167.85797473215078,39.14202526784922,formal_hiring_balance,AC,AC
2018-11-01,pre,-304,-137.3260234993707,-166.6739765006293,formal_hiring_balance,AC,AC
2019-01-01,post,-777,-111.91238605569903,-665.087613944301,formal_hiring_balance,AC,AC
2019-02-01,post,41,439.72593441801314,-398.72593441801314,formal_hiring_balance,AC,AC
2019-03-01,post,-317,-338.32763779639953,21.32763779639953,formal_hiring_balance,AC,AC
2019-04-01,post,377,518.4670084387232,-141.46700843872316,formal_hiring_balance,AC,AC
2019-05-01,post,371,275.9481845821699,95.05181541783008,formal_hiring_balance,AC,AC
2019-06-01,post,247,581.6009724873769,-334.6009724873769,formal_hiring_balance,AC,AC
2019-07-01,post,201,603.0318821860599,-402.0318821860599,formal_hiring_balance,AC,AC
2019-08-01,post,260,775.7179951173493,-515.7179951173493,formal_hiring_balance,AC,AC
2019-09-01,post,492,610.3704458408567,-118.37044584085675,formal_hiring_balance,AC,AC
2019-10-01,post,-367,455.4622714666253,-822.4622714666252,formal_hiring_balance,AC,AC
2019-11-01,post,-613,-38.49897386144486,-574.5010261385552,formal_hiring_balance,AC,AC
2019-12-01,post,-559,-1754.0279511766869,1195.0279511766869,formal_hiring_balance,AC,AC
2020-01-01,post,138,276.28005274620716,-138.28005274620716,formal_hiring_balance,AC,AC
2020-02-01,post,953,1189.9680313012373,-236.96803130123726,formal_hiring_balance,AC,AC
2020-03-01,post,110,-689.8103495930974,799.8103495930974,formal_hiring_balance,AC,AC
2020-04-01,post,-564,-4219.780574073476,3655.7805740734757,formal_hiring_balance,AC,AC
