placebo_state,post,pre,post_pre_rmspe_ratio
ES,3542.670740253559,2280.019433427701,1.553789712628735
SC,4943.4605008637645,3486.6493157896302,1.417825554889281
PB,2327.3624250341477,1662.1487678718588,1.4002130675787816
MA,2131.327193744639,1523.7005872925715,1.3987834693505927
RO,1256.1012888037146,951.2062752603506,1.320535115750695
PA,2050.2223527339333,1641.3917911245812,1.249075549067567
RN,1215.1450177883664,999.4777818525904,1.2157799201259123
AP,795.7409326920529,659.4552977673619,1.2066639473306178
MT,4225.051844286497,3664.041051294518,1.1531125839307317
RS,6404.1506038628295,5704.913857702837,1.1225674503771648
SE,1652.2547895987827,1534.7419949122313,1.0765684363079357
SP,31548.091455648417,30061.39161240957,1.0494554564341967
DF,1942.5174006921022,1877.9165928019117,1.0344002540569728
BA,2674.4204221454934,2601.0425125321312,1.028210961281801
PI,731.4042345326328,712.962991873943,1.0258656380048832
PE,4556.499016866097,4477.217773734948,1.0177077031178252
MG,7839.99227389263,7820.563505377792,1.002484318233779
AC,549.1643662843782,552.1103506527697,0.9946641384916829
AL,3362.77590357512,3710.1880127414042,0.9063626673437537
CE,1732.68967985866,1929.2802664703752,0.8981015925843795
GO,2725.4350605099853,3373.8295249809394,0.8078164709656996
PR,1501.3038926593251,1984.5785788720234,0.7564849830801975
RJ,7704.979059630688,10964.146157739016,0.7027431911961651
MS,1225.9098304025513,1812.9059197557465,0.6762126026747811
