outcome,donor_state,weight
formal_hiring_balance,MS,0.583415925654252
formal_hiring_balance,PA,0.1350052392978433
formal_hiring_balance,AP,0.10439806212230182
formal_hiring_balance,ES,0.08645562785601081
formal_hiring_balance,MA,0.08620938110283714
formal_hiring_balance,SC,0.004515763966754316
formal_hiring_balance,AC,2.5266137582609085e-16
formal_hiring_balance,RO,1.938309776574758e-16
formal_hiring_balance,PR,6.429110856486873e-17
formal_hiring_balance,PB,2.4409728088797834e-17
formal_hiring_balance,MG,9.50914012301129e-18
formal_hiring_balance,CE,7.576403621828122e-18
formal_hiring_balance,AL,5.266201452889788e-18
formal_hiring_balance,GO,3.2970186631963213e-18
formal_hiring_balance,PE,2.9535849262553376e-18
formal_hiring_balance,RJ,1.9740811491529926e-18
formal_hiring_balance,BA,0
formal_hiring_balance,DF,0
formal_hiring_balance,MT,0
formal_hiring_balance,PI,0
formal_hiring_balance,RN,0
formal_hiring_balance,RS,0
formal_hiring_balance,SE,0
formal_hiring_balance,SP,0
