outcome,donor_state,weight
retail_volume_index_ma6,PA,0.35573032913776037
retail_volume_index_ma6,MS,0.32719077383875117
retail_volume_index_ma6,ES,0.31707889702347175
retail_volume_index_ma6,PR,6.740726544949102e-15
retail_volume_index_ma6,BA,3.693539036975001e-15
retail_volume_index_ma6,MA,1.7844575576380533e-15
retail_volume_index_ma6,CE,1.54688937832479e-15
retail_volume_index_ma6,AL,1.457506704273033e-15
retail_volume_index_ma6,RN,1.0992072448472472e-15
retail_volume_index_ma6,SC,3.490463656323283e-16
retail_volume_index_ma6,RJ,2.2470769045362877e-17
retail_volume_index_ma6,SP,1.5953863443864425e-17
retail_volume_index_ma6,PE,2.130064772395529e-18
retail_volume_index_ma6,GO,1.3159338194153722e-18
retail_volume_index_ma6,AC,0
retail_volume_index_ma6,AP,0
retail_volume_index_ma6,DF,0
retail_volume_index_ma6,MG,0
retail_volume_index_ma6,MT,0
retail_volume_index_ma6,PB,0
retail_volume_index_ma6,PI,0
retail_volume_index_ma6,RO,0
retail_volume_index_ma6,RS,0
retail_volume_index_ma6,SE,0
