outcome,donor_state,weight
services_volume_index_ma6,MG,0.4899651413210855
services_volume_index_ma6,SC,0.43767899839427404
services_volume_index_ma6,PA,0.07235586028463556
services_volume_index_ma6,AL,2.5069356618119094e-15
services_volume_index_ma6,PR,1.2633545413722284e-15
services_volume_index_ma6,PB,4.0796101965731847e-16
services_volume_index_ma6,RN,3.1477307401900307e-16
services_volume_index_ma6,DF,2.160995209162527e-16
services_volume_index_ma6,RJ,1.2452100453712175e-16
services_volume_index_ma6,GO,1.1782393554797953e-16
services_volume_index_ma6,AP,1.2296827662735283e-17
services_volume_index_ma6,AC,0
services_volume_index_ma6,BA,0
services_volume_index_ma6,CE,0
services_volume_index_ma6,ES,0
services_volume_index_ma6,MA,0
services_volume_index_ma6,MS,0
services_volume_index_ma6,MT,0
services_volume_index_ma6,PE,0
services_volume_index_ma6,PI,0
services_volume_index_ma6,RO,0
services_volume_index_ma6,RS,0
services_volume_index_ma6,SE,0
services_volume_index_ma6,SP,0
