outcome,donor_state,weight
retail_volume_index_ma3,ES,0.3668571704130916
retail_volume_index_ma3,MS,0.31131776285872353
retail_volume_index_ma3,PA,0.3085942199583822
retail_volume_index_ma3,AP,0.01323084676979904
retail_volume_index_ma3,SC,1.5408786168221864e-15
retail_volume_index_ma3,RO,1.0767821449604344e-15
retail_volume_index_ma3,SE,6.099365541212089e-16
retail_volume_index_ma3,RJ,1.373611689412653e-16
retail_volume_index_ma3,AC,1.211825316807705e-16
retail_volume_index_ma3,RN,8.238899678148921e-17
retail_volume_index_ma3,DF,5.151470566934574e-17
retail_volume_index_ma3,PI,4.893880579572618e-17
retail_volume_index_ma3,AL,0
retail_volume_index_ma3,BA,0
retail_volume_index_ma3,CE,0
retail_volume_index_ma3,GO,0
retail_volume_index_ma3,MA,0
retail_volume_index_ma3,MG,0
retail_volume_index_ma3,MT,0
retail_volume_index_ma3,PB,0
retail_volume_index_ma3,PE,0
retail_volume_index_ma3,PR,0
retail_volume_index_ma3,RS,0
retail_volume_index_ma3,SP,0
