period,period_date,year,bimester,liquidated_expenditure_total_nominal,liquidated_expenditure_total_real,pnadc_population,resident_population,fiscal_population_denominator,fiscal_population_source,liquidated_expenditure_total_real_pc,original_liquidated_expenditure_total_missing,liquidated_expenditure_total_recovered_from_raw,liquidated_expenditure_total_imputed_adjacent_mean,liquidated_expenditure_total_imputation_method,analysis_period
2015B1,2015-02-01,2015,1,250258322.71,456930140.93901086,341000,506378.6666666667,506378.6666666667,resident_population_interpolated,902.3487184932966,FALSE,FALSE,FALSE,,pre
2015B2,2015-04-01,2015,2,490884254.28,878359031.0666344,342000,507806,507806,resident_population_interpolated,1729.7137707444072,FALSE,FALSE,FALSE,,pre
2015B3,2015-06-01,2015,3,503354826.75,887049331.0181694,342000,509233.3333333333,509233.3333333333,resident_population_interpolated,1741.9310028503687,FALSE,FALSE,FALSE,,pre
2015B4,2015-08-01,2015,4,439228899.44000006,767584749.346552,345000,510660.6666666667,510660.6666666667,resident_population_interpolated,1503.1209557551304,FALSE,FALSE,FALSE,,pre
2015B5,2015-10-01,2015,5,491555727.74,847467980.3285414,348000,512088,512088,resident_population_interpolated,1654.9264585941116,FALSE,FALSE,FALSE,,pre
2015B6,2015-12-01,2015,6,728967186.1799998,1232381671.1297443,348000,513515.3333333333,513515.3333333333,resident_population_interpolated,2399.89264415943,FALSE,FALSE,FALSE,,pre
2016B1,2016-02-01,2016,1,360850427.52,597025671.8273726,348000,514929.5833333333,514929.5833333333,resident_population_interpolated,1159.4316798864038,FALSE,FALSE,FALSE,,pre
2016B2,2016-04-01,2016,2,738898702.03,1202729717.506678,350000,516330.75,516330.75,resident_population_interpolated,2329.3784410606536,TRUE,FALSE,TRUE,linear_interpolation_between_adjacent_observed_bimesters,pre
2016B3,2016-06-01,2016,3,1116946976.54,1808433763.1859832,350000,517731.9166666667,517731.9166666667,resident_population_interpolated,3492.9926183212574,FALSE,FALSE,FALSE,,pre
2016B4,2016-08-01,2016,4,316783241.6400001,508010575.6256811,355000,519133.0833333333,519133.0833333333,resident_population_interpolated,978.5748432054552,FALSE,FALSE,FALSE,,pre
2016B5,2016-10-01,2016,5,414104084.3599999,661827172.3059698,360000,520534.25,520534.25,resident_population_interpolated,1271.4382815462573,FALSE,FALSE,FALSE,,pre
2016B6,2016-12-01,2016,6,887858044.5500002,1412201271.7770822,360000,521935.4166666667,521935.4166666667,resident_population_interpolated,2705.7011781190977,FALSE,FALSE,FALSE,,pre
2017B1,2017-02-01,2017,1,360174093.42,568836287.9962094,366000,527130.3333333334,527130.3333333334,resident_population_interpolated,1079.1188668638104,FALSE,FALSE,FALSE,,pre
2017B2,2017-04-01,2017,2,498699313.44,784552540.3294749,367000,536119,536119,resident_population_interpolated,1463.392531004264,FALSE,FALSE,FALSE,,pre
2017B3,2017-06-01,2017,3,558084196.5400001,877280819.2620711,367000,545107.6666666666,545107.6666666666,resident_population_interpolated,1609.3716396003808,FALSE,FALSE,FALSE,,pre
2017B4,2017-08-01,2017,4,525131970.01,821943575.1129205,368000,554096.3333333334,554096.3333333334,resident_population_interpolated,1483.394719774216,FALSE,FALSE,FALSE,,pre
2017B5,2017-10-01,2017,5,524020866.39999986,815469329.1784635,369000,563085,563085,resident_population_interpolated,1448.217106082498,FALSE,FALSE,FALSE,,pre
2017B6,2017-12-01,2017,6,1089381251.33,1683129330.7410817,369000,572073.6666666666,572073.6666666666,resident_population_interpolated,2942.154881115687,FALSE,FALSE,FALSE,,pre
2018B1,2018-02-01,2018,1,312519082.81,479919757.35211015,381000,579000.75,579000.75,resident_population_interpolated,828.875882029704,FALSE,FALSE,FALSE,,pre
2018B2,2018-04-01,2018,2,529277371.97,810271704.1354814,385000,583866.25,583866.25,resident_population_interpolated,1387.7693806338034,FALSE,FALSE,FALSE,,pre
2018B3,2018-06-01,2018,3,527090066.26,793707072.9903545,385000,588731.75,588731.75,resident_population_interpolated,1348.1642071968338,FALSE,FALSE,FALSE,,pre
2018B4,2018-08-01,2018,4,643435548.44,966584859.1037384,390000,593597.25,593597.25,resident_population_interpolated,1628.3513090799163,FALSE,FALSE,FALSE,,pre
2018B5,2018-10-01,2018,5,436050452.59000015,648996800.827318,394000,598462.75,598462.75,resident_population_interpolated,1084.4397597466475,FALSE,FALSE,FALSE,,pre
2018B6,2018-12-01,2018,6,566787892.9199996,844089598.2109356,394000,603328.25,603328.25,resident_population_interpolated,1399.055320567097,FALSE,FALSE,FALSE,,crisis
2019B1,2019-02-01,2019,1,255005590.17,376935551.45418113,393000,607879.3333333334,607879.3333333334,resident_population_interpolated,620.0828532650357,TRUE,TRUE,FALSE,,post
2019B2,2019-04-01,2019,2,357406523.0200001,521394765.3816595,393000,612116,612116,resident_population_interpolated,851.7907804756934,FALSE,FALSE,FALSE,,post
2019B3,2019-06-01,2019,3,556690303.8299999,810980185.1496036,393000,616352.6666666666,616352.6666666666,resident_population_interpolated,1315.7729803223106,FALSE,FALSE,FALSE,,post
2019B4,2019-08-01,2019,4,743481159.3900001,1079851890.9489777,392000,620589.3333333334,620589.3333333334,resident_population_interpolated,1740.042622306825,FALSE,FALSE,FALSE,,post
2019B5,2019-10-01,2019,5,511971152.2000001,743154391.1155207,397000,624826,624826,resident_population_interpolated,1189.3781486614205,FALSE,FALSE,FALSE,,post
2019B6,2019-12-01,2019,6,977552231.56,1395719135.4975052,397000,629062.6666666666,629062.6666666666,resident_population_interpolated,2218.728291242058,FALSE,FALSE,FALSE,,post
