outcome,label,short_label,channel,subblock,family,specification,preferred_smooth,mean_gap_crisis,mean_gap_post,mean_gap_pre,augmented_rmspe_pre,augmented_rmspe_crisis,augmented_rmspe_post,donor_count
formal_hiring_balance_per_100k_wap,Saldo de emprego formal por 100 mil pessoas em idade ativa,Emprego formal,Mercado de trabalho formal,,monthly,raw,FALSE,28.164700593478024,19.83061742776894,6.468436526046711,38.91937464259487,29.429750937347094,83.59506104496575,24
formal_hiring_balance_construction_per_100k_wap,Saldo de emprego formal da construcao civil por 100 mil pessoas em idade ativa,Construcao civil,Mercado de trabalho formal,,monthly,raw,FALSE,-19.887973663467974,6.08968661595482,-3.677689418120958,22.43914329772175,32.94279456847195,33.47857887268363,24
retail_volume_index,Indice de volume do comercio varejista,Comercio,Consumo das familias,,monthly,raw,FALSE,3.1110906535561256,10.409936507058813,0.393553517330432,3.596775579548707,5.523536277126385,12.77513250460411,24
services_volume_index,Indice de volume de servicos,Servicos,Consumo das familias,,monthly,raw,FALSE,-0.4607413963150435,3.2487864232480823,0.09001295111004855,3.232232169007554,7.877382286110279,5.4016769753220615,24
formal_hiring_balance_per_100k_wap_ma6_clean,"Saldo de emprego formal por 100 mil pessoas em idade ativa, media movel limpa de 6 meses","Emprego formal, MM6",Mercado de trabalho formal,,monthly,ma6_clean,TRUE,74.76739238561345,-14.227917783059098,0.16547830535736413,4.518589893796048,77.44920962531262,57.84444250245121,24
formal_hiring_balance_construction_per_100k_wap_ma6_clean,"Saldo de emprego formal da construcao civil por 100 mil pessoas em idade ativa, media movel limpa de 6 meses","Construcao civil, MM6",Mercado de trabalho formal,,monthly,ma6_clean,TRUE,-39.19486880344395,-6.714747716132387,0.1720731744950527,3.4039109511298076,43.882031220091825,19.406920428216544,24
retail_volume_index_ma6_clean,"Indice de volume do comercio varejista, media movel limpa de 6 meses","Comercio, MM6",Consumo das familias,,monthly,ma6_clean,TRUE,7.479678524149406,11.3371797631988,-0.06200356259808821,0.5373727373545888,7.5697342336125875,12.16865815688,24
services_volume_index_ma6_clean,"Indice de volume de servicos, media movel limpa de 6 meses","Servicos, MM6",Consumo das familias,,monthly,ma6_clean,TRUE,3.4028400457353314,3.6003218210605232,-0.0076422054759934,0.3974455322128804,4.562837219432001,4.019232937316675,24
icms_revenue_real_pc,Receita de ICMS real per capita,ICMS,Financas publicas estaduais,receitas,bimonthly_fiscal,raw,FALSE,-504.8954853703312,73.14757308546929,0.45874508741337017,3.3080305853575855,504.8954853703312,378.8839834476304,24
state_tax_revenue_real_pc,Receita tributaria estadual real per capita,Arrecadacao propria,Financas publicas estaduais,receitas,bimonthly_fiscal,raw,FALSE,-283.87380735090943,-24.01413868031587,-3.573248453675052,16.744629573387282,283.87380735090943,66.39646791944944,24
public_investment_liquidated_real_pc,Investimento publico liquidado per capita,Investimento publico,Financas publicas estaduais,despesas,bimonthly_fiscal,raw,FALSE,-36.276081873802184,-5.431406650198222,-1.7384540630296867,16.481762821701288,36.276081873802184,30.1643874757691,24
liquidated_expenditure_total_real_pc,Despesa total liquidada per capita,Despesa total,Financas publicas estaduais,despesas,bimonthly_fiscal,raw,FALSE,-998.0989711180362,-227.58232337186695,14.105263165830252,457.0604591348144,998.0989711180362,267.7227875741053,24
icms_revenue_real_pc_ma4_clean,"Receita de ICMS real per capita, media movel limpa de 4 bimestres","ICMS, MM4",Financas publicas estaduais,receitas,bimonthly_fiscal,ma4_clean,TRUE,-557.0507501509405,-65.20091418919131,4.4670797737656663e-4,0.522229139627079,557.0507501509405,123.82356134408056,24
state_tax_revenue_real_pc_ma4_clean,"Receita tributaria estadual real per capita, media movel limpa de 4 bimestres","Arrecadacao propria, MM4",Financas publicas estaduais,receitas,bimonthly_fiscal,ma4_clean,TRUE,-307.6952116746042,-19.559642322669315,-0.14597394270100778,3.248726700156636,307.6952116746042,40.947306364118745,24
public_investment_liquidated_real_pc_ma4_clean,"Investimento publico liquidado per capita, media movel limpa de 4 bimestres","Investimento publico, MM4",Financas publicas estaduais,despesas,bimonthly_fiscal,ma4_clean,TRUE,-34.069460878373235,8.39162861319355,0.05743743739598663,1.9607842393620751,34.069460878373235,24.976285128296627,24
liquidated_expenditure_total_real_pc_ma4_clean,"Despesa total liquidada per capita, media movel limpa de 4 bimestres","Despesa total, MM4",Financas publicas estaduais,despesas,bimonthly_fiscal,ma4_clean,TRUE,-1058.8121467581657,-223.0987186006137,7.507506130412276,87.27167806284102,1058.8121467581657,313.27274819440663,24
