donor_state,scm_weight
AC,0.3992814705190025
SC,0.24165533373415418
AP,0.2039192461414873
DF,0.05320597937030209
PE,0.041672427453311456
PB,0.040220815963470984
PI,0.011627291397618443
RS,0.008417435420650916
MA,1.8382483768353533e-15
CE,7.414234901866167e-17
MT,7.196658219438257e-17
RN,4.674800997909035e-17
RJ,3.4590269634190456e-17
GO,2.8766664506291415e-17
BA,2.833126186653153e-17
SE,2.4485262699594826e-17
PR,2.2741319438118912e-17
RO,1.610419800954607e-17
AL,3.5563276742770194e-20
ES,0
MG,0
MS,0
PA,0
SP,0
