"panel","variable","missing_type","Count"
"bimonthly_fiscal","icms_revenue_real_pc","raw_hole","5"
"bimonthly_fiscal","icms_revenue_real_pc_ma4_v5","ma_missing_from_raw_hole","5"
"bimonthly_fiscal","icms_revenue_real_pc_ma4_v5","ma_structural_v5","189"
"bimonthly_fiscal","liquidated_expenditure_education_real_pc","raw_hole","5"
"bimonthly_fiscal","liquidated_expenditure_health_real_pc","raw_hole","5"
"bimonthly_fiscal","liquidated_expenditure_public_security_real_pc","raw_hole","5"
"bimonthly_fiscal","liquidated_expenditure_total_real_pc_ma4_v5","ma_structural_v5","189"
"bimonthly_fiscal","public_investment_liquidated_real_pc_ma4_v5","ma_structural_v5","189"
"bimonthly_fiscal","state_tax_revenue_real_pc_ma4_v5","ma_structural_v5","189"
"monthly","formal_hiring_balance_construction_per_100k_wap_ma6_v5","ma_structural_v5","297"
"monthly","formal_hiring_balance_per_100k_wap_ma6_v5","ma_structural_v5","297"
"monthly","retail_volume_index_ma6_v5","ma_structural_v5","297"
"monthly","services_volume_index_ma6_v5","ma_structural_v5","297"
"quarterly_pnadc","formalization_rate_pnadc","raw_hole","81"
