dropped_donor,period_date,event_time,loo_gap
AC,2016-05-01,-31,298.3027059144008
AC,2016-06-01,-30,249.65321712918598
AC,2016-07-01,-29,266.058788741355
AC,2016-08-01,-28,190.87535237397478
AC,2016-09-01,-27,150.05206476315652
AC,2016-10-01,-26,167.59313331855924
AC,2016-11-01,-25,106.73432889569897
AC,2016-12-01,-24,79.55086314162634
AC,2017-01-01,-23,83.18045061293925
AC,2017-02-01,-22,110.56991920849691
AC,2017-03-01,-21,43.137401502647506
AC,2017-04-01,-20,53.63955276138444
AC,2017-05-01,-19,66.5188048946856
AC,2017-06-01,-18,130.38543704157195
AC,2017-07-01,-17,65.67527228767216
AC,2017-08-01,-16,105.07496284103239
AC,2017-09-01,-15,197.6000616512593
AC,2017-10-01,-14,182.8057326279052
AC,2017-11-01,-13,178.24623401055817
AC,2017-12-01,-12,175.5890569981619
AC,2018-01-01,-11,156.57145043626963
AC,2018-02-01,-10,90.38171064580682
AC,2018-03-01,-9,14.949468358715826
AC,2018-04-01,-8,-29.17946791375749
AC,2018-05-01,-7,-89.23413828968113
AC,2018-06-01,-6,-81.7579338059664
AC,2018-07-01,-5,-104.75499782082777
AC,2018-08-01,-4,-149.0486403441324
AC,2018-09-01,-3,-153.88501349234372
AC,2018-10-01,-2,-107.16802023400055
AC,2018-11-01,-1,-72.32991065700936
AC,2018-12-01,0,-82.2866593762671
AC,2019-01-01,1,-57.094012298054906
AC,2019-02-01,2,-45.434416646230275
AC,2019-03-01,3,-29.46584423352799
AC,2019-04-01,4,-47.7100558863876
AC,2019-05-01,5,9.187809200255426
AC,2019-06-01,6,70.90758804969263
AC,2019-07-01,7,153.50347706362217
AC,2019-08-01,8,204.391314853701
AC,2019-09-01,9,202.2506865916211
AC,2019-10-01,10,185.9983727824
AC,2019-11-01,11,165.13644534308503
AC,2019-12-01,12,140.23020938606717
AC,2020-01-01,13,106.68887556094452
AC,2020-02-01,14,180.61887192533047
AC,2020-03-01,15,301.18680815970185
AC,2020-04-01,16,334.58056668220433
AC,2020-05-01,17,333.02056917488454
AC,2020-06-01,18,308.4443814381126
AC,2020-07-01,19,312.9583196004178
AC,2020-08-01,20,254.89506498387018
AC,2020-09-01,21,191.54479101490483
AC,2020-10-01,22,118.83000420100362
AC,2020-11-01,23,133.47245389971107
AL,2016-05-01,-31,275.8303041642074
AL,2016-06-01,-30,235.00940611221094
AL,2016-07-01,-29,188.96581640477189
AL,2016-08-01,-28,149.81419785467756
AL,2016-09-01,-27,99.00893803019703
AL,2016-10-01,-26,96.57928436580006
AL,2016-11-01,-25,86.70184702873844
AL,2016-12-01,-24,59.90541217289805
AL,2017-01-01,-23,107.6167013466435
AL,2017-02-01,-22,140.68669593472578
AL,2017-03-01,-21,113.35650245024875
AL,2017-04-01,-20,146.34289357513808
AL,2017-05-01,-19,150.63663503265516
AL,2017-06-01,-18,201.65410817954526
AL,2017-07-01,-17,152.97052159445593
AL,2017-08-01,-16,163.5543136594082
AL,2017-09-01,-15,206.34898202609952
AL,2017-10-01,-14,160.1273537190704
AL,2017-11-01,-13,115.52559903714565
AL,2017-12-01,-12,102.0768240407527
AL,2018-01-01,-11,124.66482484165192
AL,2018-02-01,-10,98.10993254007606
AL,2018-03-01,-9,43.80681442147316
AL,2018-04-01,-8,7.087915184635904
AL,2018-05-01,-7,-12.857444734773615
AL,2018-06-01,-6,-28.10182654815386
AL,2018-07-01,-5,-78.77307140468514
AL,2018-08-01,-4,-116.55087670868564
AL,2018-09-01,-3,-95.57275479535656
AL,2018-10-01,-2,-74.35210055096775
AL,2018-11-01,-1,-60.89047062970813
AL,2018-12-01,0,-40.8759898081384
AL,2019-01-01,1,-24.778339505886535
AL,2019-02-01,2,-33.916989578883374
AL,2019-03-01,3,-18.337533709429508
AL,2019-04-01,4,-33.071257975271195
AL,2019-05-01,5,2.942108172791542
AL,2019-06-01,6,49.70989431648994
AL,2019-07-01,7,116.91695968784032
AL,2019-08-01,8,133.71242593801838
AL,2019-09-01,9,98.56277614841102
AL,2019-10-01,10,139.85757232827564
AL,2019-11-01,11,178.77484063166028
AL,2019-12-01,12,160.4267157387724
AL,2020-01-01,13,126.16445861419179
AL,2020-02-01,14,204.7003111714347
AL,2020-03-01,15,300.4288210338773
AL,2020-04-01,16,255.28673515214578
AL,2020-05-01,17,217.7058396345363
AL,2020-06-01,18,213.26156640270355
AL,2020-07-01,19,214.35272116172416
AL,2020-08-01,20,162.15889553081527
AL,2020-09-01,21,137.94271028051887
AL,2020-10-01,22,141.87338957005093
AL,2020-11-01,23,131.38993820735948
AP,2016-05-01,-31,270.4211387613571
AP,2016-06-01,-30,233.68531377774448
AP,2016-07-01,-29,173.77729075041663
AP,2016-08-01,-28,145.51453018397146
AP,2016-09-01,-27,91.95762017591817
AP,2016-10-01,-26,81.47328857416427
AP,2016-11-01,-25,84.79953020229955
AP,2016-12-01,-24,58.27527239533279
AP,2017-01-01,-23,116.69295482316899
AP,2017-02-01,-22,149.54565496280392
AP,2017-03-01,-21,132.7384559044034
AP,2017-04-01,-20,173.60557735796198
AP,2017-05-01,-19,175.51266214727804
AP,2017-06-01,-18,222.24003689897762
AP,2017-07-01,-17,175.7029195480547
AP,2017-08-01,-16,178.1309840157288
AP,2017-09-01,-15,207.4591358755702
AP,2017-10-01,-14,154.4226948888845
AP,2017-11-01,-13,99.98390325568897
AP,2017-12-01,-12,83.64735322198356
AP,2018-01-01,-11,117.00258588242481
AP,2018-02-01,-10,99.63109114473974
AP,2018-03-01,-9,52.10521546805869
AP,2018-04-01,-8,15.71644706227805
AP,2018-05-01,-7,2.4972566002748238
AP,2018-06-01,-6,-17.68813103057019
AP,2018-07-01,-5,-75.00572206883277
AP,2018-08-01,-4,-111.75352302356453
AP,2018-09-01,-3,-85.83053266244602
AP,2018-10-01,-2,-72.08236518841528
AP,2018-11-01,-1,-63.07011534161532
AP,2018-12-01,0,-36.2180839773591
AP,2019-01-01,1,-22.886429631752904
AP,2019-02-01,2,-34.378433167580354
AP,2019-03-01,3,-18.780341241524763
AP,2019-04-01,4,-31.8166793382173
AP,2019-05-01,5,0.11653584301643605
AP,2019-06-01,6,42.05434756732069
AP,2019-07-01,7,106.85717898669076
AP,2019-08-01,8,113.4432100905624
AP,2019-09-01,9,72.27753113503314
AP,2019-10-01,10,128.56444504051944
AP,2019-11-01,11,180.88996310959993
AP,2019-12-01,12,163.03431106472704
AP,2020-01-01,13,129.48146154701448
AP,2020-02-01,14,211.8769520860622
AP,2020-03-01,15,296.9044647050545
AP,2020-04-01,16,227.60857872181276
AP,2020-05-01,17,180.05910627759118
AP,2020-06-01,18,182.8777830737707
AP,2020-07-01,19,183.10414430047803
AP,2020-08-01,20,130.76602024409746
AP,2020-09-01,21,119.7792769025476
AP,2020-10-01,22,146.69040344911423
AP,2020-11-01,23,133.733287867824
BA,2016-05-01,-31,274.8165890809065
BA,2016-06-01,-30,235.06033659321955
BA,2016-07-01,-29,186.67172282817052
BA,2016-08-01,-28,149.62525587745986
BA,2016-09-01,-27,98.12748669027617
BA,2016-10-01,-26,93.5669748095521
BA,2016-11-01,-25,86.2778327724216
BA,2016-12-01,-24,59.69687113732519
BA,2017-01-01,-23,109.56307081437312
BA,2017-02-01,-22,142.49878924417695
BA,2017-03-01,-21,117.29053307036416
BA,2017-04-01,-20,152.4048448688067
BA,2017-05-01,-19,156.36788427370925
BA,2017-06-01,-18,206.47359700604562
BA,2017-07-01,-17,158.215123091281
BA,2017-08-01,-16,167.19669020572408
BA,2017-09-01,-15,207.27461622054244
BA,2017-10-01,-14,159.91021676822126
BA,2017-11-01,-13,113.39238161316298
BA,2017-12-01,-12,99.35682521151544
BA,2018-01-01,-11,123.70416881516212
BA,2018-02-01,-10,98.77516294738606
BA,2018-03-01,-9,46.08612987754888
BA,2018-04-01,-8,9.20439648066887
BA,2018-05-01,-7,-9.863506179512797
BA,2018-06-01,-6,-25.895114869634565
BA,2018-07-01,-5,-77.74721558743929
BA,2018-08-01,-4,-115.2491767859306
BA,2018-09-01,-3,-93.48883789463773
BA,2018-10-01,-2,-73.9591907863981
BA,2018-11-01,-1,-61.25541742827984
BA,2018-12-01,0,-39.974008153289205
BA,2019-01-01,1,-24.292703939965712
BA,2019-02-01,2,-33.836046218455984
BA,2019-03-01,3,-18.320943742320395
BA,2019-04-01,4,-32.572159312552834
BA,2019-05-01,5,2.809792938914768
BA,2019-06-01,6,48.44712775376361
BA,2019-07-01,7,115.23310367731156
BA,2019-08-01,8,130.2110126076729
BA,2019-09-01,9,94.30978803614016
BA,2019-10-01,10,138.65579016074525
BA,2019-11-01,11,180.04508606591924
BA,2019-12-01,12,161.51854355128154
BA,2020-01-01,13,127.36349629598949
BA,2020-02-01,14,206.7124303641854
BA,2020-03-01,15,299.57034961293465
BA,2020-04-01,16,248.04334391399215
BA,2020-05-01,17,207.9925983574329
BA,2020-06-01,18,205.24435606163152
BA,2020-07-01,19,206.4593144045885
BA,2020-08-01,20,154.14212808401345
BA,2020-09-01,21,133.1272342416682
BA,2020-10-01,22,143.10333898470307
BA,2020-11-01,23,133.2953467787858
CE,2016-05-01,-31,275.12872427287374
CE,2016-06-01,-30,235.50639933086785
CE,2016-07-01,-29,188.22239091224486
CE,2016-08-01,-28,150.64850865244355
CE,2016-09-01,-27,99.10255215355077
CE,2016-10-01,-26,94.25496303686192
CE,2016-11-01,-25,86.34575644475309
CE,2016-12-01,-24,59.939814631349606
CE,2017-01-01,-23,109.35956519997684
CE,2017-02-01,-22,142.18128001667358
CE,2017-03-01,-21,116.54818726952787
CE,2017-04-01,-20,151.98413554883604
CE,2017-05-01,-19,156.2146425667475
CE,2017-06-01,-18,206.4297941150246
CE,2017-07-01,-17,158.05282214882783
CE,2017-08-01,-16,167.40557780109418
CE,2017-09-01,-15,208.02108564819886
CE,2017-10-01,-14,161.21310900493563
CE,2017-11-01,-13,115.17732450527738
CE,2017-12-01,-12,101.25260584236315
CE,2018-01-01,-11,124.69142800922633
CE,2018-02-01,-10,99.11907439046311
CE,2018-03-01,-9,46.45390120566345
CE,2018-04-01,-8,9.2778191826717
CE,2018-05-01,-7,-10.653027336779331
CE,2018-06-01,-6,-26.23402144552385
CE,2018-07-01,-5,-77.6282230754838
CE,2018-08-01,-4,-115.10123476336082
CE,2018-09-01,-3,-93.80732560966067
CE,2018-10-01,-2,-74.19589987891223
CE,2018-11-01,-1,-61.13978843209219
CE,2018-12-01,0,-40.27411927443326
CE,2019-01-01,1,-24.323266900725088
CE,2019-02-01,2,-33.65685030993151
CE,2019-03-01,3,-18.21923608701072
CE,2019-04-01,4,-32.3695428701137
CE,2019-05-01,5,3.4121230765005848
CE,2019-06-01,6,49.05491878954216
CE,2019-07-01,7,116.02925259879731
CE,2019-08-01,8,131.68169079826512
CE,2019-09-01,9,96.58201356294491
CE,2019-10-01,10,140.35373150563777
CE,2019-11-01,11,180.91062547646587
CE,2019-12-01,12,162.03209517798828
CE,2020-01-01,13,127.81735371150359
CE,2020-02-01,14,207.07995900163897
CE,2020-03-01,15,299.50606717428485
CE,2020-04-01,16,247.17851302756742
CE,2020-05-01,17,206.997431905476
CE,2020-06-01,18,204.24344834142357
CE,2020-07-01,19,205.83554068799054
CE,2020-08-01,20,153.39730436085657
CE,2020-09-01,21,132.49310472591625
CE,2020-10-01,22,143.19160947395622
CE,2020-11-01,23,134.87569116750325
DF,2016-05-01,-31,270.01074501724815
DF,2016-06-01,-30,235.1087809503264
DF,2016-07-01,-29,176.07400917256933
DF,2016-08-01,-28,147.3792431209912
DF,2016-09-01,-27,91.84475216074863
DF,2016-10-01,-26,76.3761716708559
DF,2016-11-01,-25,81.19792298097899
DF,2016-12-01,-24,56.4720708149996
DF,2017-01-01,-23,117.36672420965955
DF,2017-02-01,-22,150.54295807961742
DF,2017-03-01,-21,135.50954161397516
DF,2017-04-01,-20,182.40762709695406
DF,2017-05-01,-19,185.8010652370592
DF,2017-06-01,-18,232.02225831737303
DF,2017-07-01,-17,187.47704868949492
DF,2017-08-01,-16,189.52707343147898
DF,2017-09-01,-15,216.91916400451942
DF,2017-10-01,-14,164.26812238576701
DF,2017-11-01,-13,108.40792867831077
DF,2017-12-01,-12,91.57870668493618
DF,2018-01-01,-11,122.01419778660244
DF,2018-02-01,-10,104.54177453743404
DF,2018-03-01,-9,60.048120967478255
DF,2018-04-01,-8,22.357197097216414
DF,2018-05-01,-7,7.796111560287823
DF,2018-06-01,-6,-11.607783943171736
