dropped_donor,period_date,bim_event_time,loo_gap
AC,2015-08-01,-20,0.07429656392007278
AC,2015-10-01,-19,0.06036803712503325
AC,2015-12-01,-18,0.05872778420294633
AC,2016-02-01,-17,0.0588223402460315
AC,2016-04-01,-16,0.05571110595170303
AC,2016-06-01,-15,0.03566387858401754
AC,2016-08-01,-14,0.04447444182385407
AC,2016-10-01,-13,0.13704311680790315
AC,2016-12-01,-12,0.12621709325796804
AC,2017-02-01,-11,0.12763861474664218
AC,2017-04-01,-10,0.1481754942666802
AC,2017-06-01,-9,0.0770677697272788
AC,2017-08-01,-8,0.2342417713958893
AC,2017-10-01,-7,0.3577481892973484
AC,2017-12-01,-6,-0.03375745386923423
AC,2019-02-01,1,-0.1604947712874898
AC,2019-04-01,2,-0.13780435615566766
AC,2019-06-01,3,-0.07533407891883304
AC,2019-08-01,4,-0.027095371734644047
AC,2019-10-01,5,-0.026574218766639568
AC,2019-12-01,6,0.9112303458459019
AC,2020-02-01,7,1.0732809552024118
AC,2020-04-01,8,0.08579843435719159
AC,2020-06-01,9,-0.22071184867436866
AC,2020-08-01,10,0.2269254151596911
AC,2020-10-01,11,0.11080336979641103
AL,2015-08-01,-20,0.09768051818982215
AL,2015-10-01,-19,0.06659121914746802
AL,2015-12-01,-18,0.008886271664636958
AL,2016-02-01,-17,0.014442669653281115
AL,2016-04-01,-16,0.06634524679748477
AL,2016-06-01,-15,0.04463440943804198
AL,2016-08-01,-14,0.09644806017725838
AL,2016-10-01,-13,0.19568702960007034
AL,2016-12-01,-12,0.10064753592339315
AL,2017-02-01,-11,0.035110649232292346
AL,2017-04-01,-10,0.13387766894439856
AL,2017-06-01,-9,0.11395064524863763
AL,2017-08-01,-8,0.05245611397254191
AL,2017-10-01,-7,0.02812748545615662
AL,2017-12-01,-6,0.025383373415147403
AL,2019-02-01,1,-0.6615354825694748
AL,2019-04-01,2,-0.3050764499432077
AL,2019-06-01,3,-0.07238186748110742
AL,2019-08-01,4,-0.26025113131766275
AL,2019-10-01,5,-0.2654490047594509
AL,2019-12-01,6,0.8595490629405695
AL,2020-02-01,7,0.9748913477304297
AL,2020-04-01,8,-0.16243571798321543
AL,2020-06-01,9,-0.49796101057348086
AL,2020-08-01,10,0.0036966280642145577
AL,2020-10-01,11,-0.09935359494828688
AP,2015-08-01,-20,0.10135111766518357
AP,2015-10-01,-19,0.0701536786689756
AP,2015-12-01,-18,0.012259546452361825
AP,2016-02-01,-17,0.017762960720845378
AP,2016-04-01,-16,0.0699559754730581
AP,2016-06-01,-15,0.04841651831407745
AP,2016-08-01,-14,0.1004008527939213
AP,2016-10-01,-13,0.19968769609153103
AP,2016-12-01,-12,0.10433555174562681
AP,2017-02-01,-11,0.038411147988210104
AP,2017-04-01,-10,0.13741294550080507
AP,2017-06-01,-9,0.11752968147221221
AP,2017-08-01,-8,0.05575575645639841
AP,2017-10-01,-7,0.031372803078433265
AP,2017-12-01,-6,0.028757722944262376
AP,2019-02-01,1,-0.658867092451012
AP,2019-04-01,2,-0.3020826349845631
AP,2019-06-01,3,-0.06857844289951043
AP,2019-08-01,4,-0.2575035165388586
AP,2019-10-01,5,-0.26289911106615005
AP,2019-12-01,6,0.8628640596539086
