dropped_donor,period_date,event_time,loo_gap
AC,2016-02-01,-34,-0.03653681704817213
AC,2016-03-01,-33,-0.03653248567713341
AC,2016-04-01,-32,-0.01784338656496587
AC,2016-05-01,-31,-0.0251042694844843
AC,2016-06-01,-30,-0.020184438355904
AC,2016-07-01,-29,-0.0016709655073725571
AC,2016-08-01,-28,0.050890114293813404
AC,2016-09-01,-27,0.0815730843634217
AC,2016-10-01,-26,0.09190308070228337
AC,2016-11-01,-25,0.08175906376490971
AC,2016-12-01,-24,0.09790870031213927
AC,2017-01-01,-23,0.007823204281207197
AC,2017-02-01,-22,-0.049112773199524895
AC,2017-03-01,-21,-0.13740824723652523
AC,2017-04-01,-20,-0.11077332689070829
AC,2017-05-01,-19,-0.11108067002668154
AC,2017-06-01,-18,-0.09440389967013729
AC,2017-07-01,-17,-0.07420895385884307
AC,2017-08-01,-16,-0.04373805307074807
AC,2017-09-01,-15,-0.021816606587472975
AC,2017-10-01,-14,-0.02045077137829132
AC,2017-11-01,-13,-0.031254532821512804
AC,2017-12-01,-12,-0.014172310424386936
AC,2018-01-01,-11,-0.008585406749006097
AC,2018-02-01,-10,5.962920433875141e-4
AC,2018-03-01,-9,-0.02026656758826384
AC,2018-04-01,-8,-0.035371960581239925
AC,2018-05-01,-7,-0.027541997957461817
AC,2018-06-01,-6,-0.03273429224080093
AC,2018-07-01,-5,-0.013230556717401143
AC,2018-08-01,-4,-0.018427393863912123
AC,2018-09-01,-3,-0.014715414015004313
AC,2018-10-01,-2,-0.00637017071808188
AC,2018-11-01,-1,-0.019048235829917104
AC,2018-12-01,0,0.035843862964539674
AC,2019-01-01,1,0.01883487035361675
AC,2019-02-01,2,0.0057009051346517126
AC,2019-03-01,3,-0.06264266034709554
AC,2019-04-01,4,-0.06994873286513759
AC,2019-05-01,5,-0.0772172509048783
AC,2019-06-01,6,-0.07115760328485177
AC,2019-07-01,7,-0.06907359259973855
AC,2019-08-01,8,-0.0692733621927637
AC,2019-09-01,9,-0.07720383065034753
AC,2019-10-01,10,-0.08076626672217557
AC,2019-11-01,11,-0.040382668864587856
AC,2019-12-01,12,-0.05960949735210885
AC,2020-01-01,13,-0.06361209607058882
AC,2020-02-01,14,-0.0872469357308292
AC,2020-03-01,15,-0.05620012079739478
AC,2020-04-01,16,0.01148589019267554
AC,2020-05-01,17,0.07854861535281277
AC,2020-06-01,18,0.10807945687988152
AC,2020-07-01,19,0.020743540706944508
AC,2020-08-01,20,-0.08348457228016137
AC,2020-09-01,21,-0.11945693058230145
AC,2020-10-01,22,-0.12051400943495949
AC,2020-11-01,23,-0.08252604660093432
AL,2016-02-01,-34,0.006446441542982129
AL,2016-03-01,-33,0.0035171154002693328
AL,2016-04-01,-32,0.011785881517669239
AL,2016-05-01,-31,0.002784155907031405
AL,2016-06-01,-30,0.004515438048262155
AL,2016-07-01,-29,0.024656764139767695
AL,2016-08-01,-28,0.07813156152543765
AL,2016-09-01,-27,0.11643653404678567
AL,2016-10-01,-26,0.13082284175186665
AL,2016-11-01,-25,0.12446913929523706
AL,2016-12-01,-24,0.12349931366310152
AL,2017-01-01,-23,0.038004514077456086
AL,2017-02-01,-22,-0.01751764875726014
AL,2017-03-01,-21,-0.0806880179274998
AL,2017-04-01,-20,-0.056217462655761885
AL,2017-05-01,-19,-0.06449559461446874
AL,2017-06-01,-18,-0.0629853375348075
AL,2017-07-01,-17,-0.04802554824742966
AL,2017-08-01,-16,-0.02765732811330146
AL,2017-09-01,-15,-0.019195844926494843
AL,2017-10-01,-14,-0.027632100303289775
AL,2017-11-01,-13,-0.03352589851800225
AL,2017-12-01,-12,-0.044963561702999755
AL,2018-01-01,-11,-0.035396510735903775
AL,2018-02-01,-10,-0.028083852033091716
AL,2018-03-01,-9,-0.02228839500813784
AL,2018-04-01,-8,-0.03591696955340673
AL,2018-05-01,-7,-0.03759898878608059
AL,2018-06-01,-6,-0.04939143479825958
AL,2018-07-01,-5,-0.03408920529084636
AL,2018-08-01,-4,-0.045946813106059636
AL,2018-09-01,-3,-0.0490863005560902
AL,2018-10-01,-2,-0.05734068592856456
AL,2018-11-01,-1,-0.07197398056793425
AL,2018-12-01,0,-0.045689839037637014
AL,2019-01-01,1,-0.05031396122462972
AL,2019-02-01,2,-0.05344121238781252
AL,2019-03-01,3,-0.09063641791059496
AL,2019-04-01,4,-0.09066401985765005
AL,2019-05-01,5,-0.0856885667606555
AL,2019-06-01,6,-0.06794775960053911
AL,2019-07-01,7,-0.06597073299443235
AL,2019-08-01,8,-0.06998788840104275
AL,2019-09-01,9,-0.07655441077359626
AL,2019-10-01,10,-0.0763726577940389
AL,2019-11-01,11,-0.03856071600633726
AL,2019-12-01,12,-0.06474518710030885
AL,2020-01-01,13,-0.08093958675569635
AL,2020-02-01,14,-0.12233955053253354
AL,2020-03-01,15,-0.09683635796659207
AL,2020-04-01,16,-0.05222260662910205
AL,2020-05-01,17,0.00514565360440411
AL,2020-06-01,18,0.03306412306940487
AL,2020-07-01,19,-0.017849191166865452
AL,2020-08-01,20,-0.10543166648896385
AL,2020-09-01,21,-0.13962631522072044
AL,2020-10-01,22,-0.14480938894947926
AL,2020-11-01,23,-0.11989150350526678
AP,2016-02-01,-34,0.009929768402439976
AP,2016-03-01,-33,0.0063171423172381225
AP,2016-04-01,-32,0.010700033627665917
AP,2016-05-01,-31,0.002727756617708188
AP,2016-06-01,-30,0.002819360062287224
AP,2016-07-01,-29,0.023795763662860736
AP,2016-08-01,-28,0.07733173424216755
AP,2016-09-01,-27,0.12028845810389832
AP,2016-10-01,-26,0.13649449561990945
AP,2016-11-01,-25,0.1313285348453359
AP,2016-12-01,-24,0.11959413475364045
AP,2017-01-01,-23,0.03862912036161781
AP,2017-02-01,-22,-0.009885728543780559
AP,2017-03-01,-21,-0.05554995946809882
AP,2017-04-01,-20,-0.031016074282138817
AP,2017-05-01,-19,-0.04739470550615188
AP,2017-06-01,-18,-0.05450363454872331
AP,2017-07-01,-17,-0.043201652634377474
AP,2017-08-01,-16,-0.028734800415713302
AP,2017-09-01,-15,-0.02737404678270039
AP,2017-10-01,-14,-0.04291398736489693
AP,2017-11-01,-13,-0.04532313423673884
AP,2017-12-01,-12,-0.07704927402324646
AP,2018-01-01,-11,-0.06382624327923381
AP,2018-02-01,-10,-0.05642670098112479
AP,2018-03-01,-9,-0.03213589891440183
AP,2018-04-01,-8,-0.04654639008065864
AP,2018-05-01,-7,-0.05652075707112836
AP,2018-06-01,-6,-0.07255840572256123
AP,2018-07-01,-5,-0.061398760275444
AP,2018-08-01,-4,-0.07834702617039113
AP,2018-09-01,-3,-0.08718133349836332
AP,2018-10-01,-2,-0.10269386135226455
AP,2018-11-01,-1,-0.1159125923797717
AP,2018-12-01,0,-0.10942328747956687
AP,2019-01-01,1,-0.10562228146012576
AP,2019-02-01,2,-0.10271025286527014
AP,2019-03-01,3,-0.11684548793588334
AP,2019-04-01,4,-0.111674923226591
AP,2019-05-01,5,-0.09753207388222229
AP,2019-06-01,6,-0.07020814711531376
AP,2019-07-01,7,-0.06667535534409375
AP,2019-08-01,8,-0.0698927215052425
AP,2019-09-01,9,-0.07658511232904708
AP,2019-10-01,10,-0.07500132947345861
AP,2019-11-01,11,-0.04156823511091634
AP,2019-12-01,12,-0.06952557508472346
AP,2020-01-01,13,-0.0925391637619617
AP,2020-02-01,14,-0.1431194054362157
AP,2020-03-01,15,-0.12301248959995359
AP,2020-04-01,16,-0.09231054356818014
AP,2020-05-01,17,-0.04587700062453415
AP,2020-06-01,18,-0.020703026172769867
AP,2020-07-01,19,-0.0470837872740999
AP,2020-08-01,20,-0.11500434633786938
AP,2020-09-01,21,-0.14592968619454538
AP,2020-10-01,22,-0.1541406850632736
AP,2020-11-01,23,-0.14081465667059412
BA,2016-02-01,-34,0.005818531932860971
BA,2016-03-01,-33,0.0029906123367213766
BA,2016-04-01,-32,0.011470491224827128
BA,2016-05-01,-31,0.0024203667801208084
BA,2016-06-01,-30,0.0041869514759156345
BA,2016-07-01,-29,0.024237382515730488
BA,2016-08-01,-28,0.07760448468690573
BA,2016-09-01,-27,0.11581967371082502
BA,2016-10-01,-26,0.13023576781806767
BA,2016-11-01,-25,0.12393871956883196
BA,2016-12-01,-24,0.12337331398236095
BA,2017-01-01,-23,0.03765867314044247
BA,2017-02-01,-22,-0.017910706423056588
BA,2017-03-01,-21,-0.08177599109226819
BA,2017-04-01,-20,-0.05728285123032517
BA,2017-05-01,-19,-0.06554095663921977
BA,2017-06-01,-18,-0.06373655754750818
BA,2017-07-01,-17,-0.04862425287404015
BA,2017-08-01,-16,-0.027929726971366975
BA,2017-09-01,-15,-0.019251846712115217
BA,2017-10-01,-14,-0.02753211104904807
BA,2017-11-01,-13,-0.03365094310296346
BA,2017-12-01,-12,-0.04458332078656113
BA,2018-01-01,-11,-0.035062470699740445
BA,2018-02-01,-10,-0.027584805038743276
BA,2018-03-01,-9,-0.022071120456792492
BA,2018-04-01,-8,-0.035644163510431426
BA,2018-05-01,-7,-0.037064890072787904
BA,2018-06-01,-6,-0.048822037880175806
BA,2018-07-01,-5,-0.033609903496468974
BA,2018-08-01,-4,-0.04543839018515872
BA,2018-09-01,-3,-0.048380031912758525
BA,2018-10-01,-2,-0.05625123060794479
BA,2018-11-01,-1,-0.07083080421955934
BA,2018-12-01,0,-0.04411833757512351
BA,2019-01-01,1,-0.04899356159492996
BA,2019-02-01,2,-0.05229727302793563
BA,2019-03-01,3,-0.08988872534180281
BA,2019-04-01,4,-0.0898726448796916
BA,2019-05-01,5,-0.08502198038554365
BA,2019-06-01,6,-0.06746076311164284
BA,2019-07-01,7,-0.06557440263804093
BA,2019-08-01,8,-0.06962873252173285
BA,2019-09-01,9,-0.07644444149250162
BA,2019-10-01,10,-0.07637459508530586
BA,2019-11-01,11,-0.038459302063459155
BA,2019-12-01,12,-0.06441112691606232
BA,2020-01-01,13,-0.08033209735078461
BA,2020-02-01,14,-0.121443177228028
BA,2020-03-01,15,-0.09616542938765171
BA,2020-04-01,16,-0.05162704595063694
BA,2020-05-01,17,0.005206201068435945
BA,2020-06-01,18,0.03327728255282647
BA,2020-07-01,19,-0.017561776205567092
BA,2020-08-01,20,-0.10453420873366248
BA,2020-09-01,21,-0.13834626714440112
BA,2020-10-01,22,-0.14345899392925965
BA,2020-11-01,23,-0.11834137036605252
CE,2016-02-01,-34,0.006476225090840337
CE,2016-03-01,-33,0.003600528538116876
CE,2016-04-01,-32,0.012298073121826292
CE,2016-05-01,-31,0.0033549443145535207
CE,2016-06-01,-30,0.005297503649970281
CE,2016-07-01,-29,0.025515625672031028
CE,2016-08-01,-28,0.07910148585312893
CE,2016-09-01,-27,0.116850351891431
CE,2016-10-01,-26,0.1308450508629324
CE,2016-11-01,-25,0.12409370383770568
CE,2016-12-01,-24,0.12398259887340579
CE,2017-01-01,-23,0.03823316571159818
CE,2017-02-01,-22,-0.017441472275225856
CE,2017-03-01,-21,-0.08177097528401323
CE,2017-04-01,-20,-0.05714876186180806
CE,2017-05-01,-19,-0.06474013825343139
CE,2017-06-01,-18,-0.06244126622574164
CE,2017-07-01,-17,-0.04721276999724644
CE,2017-08-01,-16,-0.02639083074706594
CE,2017-09-01,-15,-0.017176596480581452
CE,2017-10-01,-14,-0.02489283262049824
CE,2017-11-01,-13,-0.031041221260280416
CE,2017-12-01,-12,-0.040415179399459156
CE,2018-01-01,-11,-0.03114891397675823
CE,2018-02-01,-10,-0.023957122614874038
CE,2018-03-01,-9,-0.02028153497077767
CE,2018-04-01,-8,-0.034104860267227366
CE,2018-05-01,-7,-0.03518202863469
CE,2018-06-01,-6,-0.04651847677163623
CE,2018-07-01,-5,-0.030731120292153413
CE,2018-08-01,-4,-0.04208037735329917
CE,2018-09-01,-3,-0.04477040643008845
CE,2018-10-01,-2,-0.05228407719061412
CE,2018-11-01,-1,-0.06694329830193713
CE,2018-12-01,0,-0.03859365708445406
CE,2019-01-01,1,-0.04397340942967087
CE,2019-02-01,2,-0.04778337343340677
CE,2019-03-01,3,-0.0875177767293609
CE,2019-04-01,4,-0.08834325513753694
CE,2019-05-01,5,-0.08440892964023039
CE,2019-06-01,6,-0.06757141264777555
CE,2019-07-01,7,-0.06554672069629408
CE,2019-08-01,8,-0.06942056352039305
CE,2019-09-01,9,-0.07577668344000887
CE,2019-10-01,10,-0.07580825698085114
CE,2019-11-01,11,-0.03767458329943718
CE,2019-12-01,12,-0.06373620469523456
CE,2020-01-01,13,-0.07922641334991809
CE,2020-02-01,14,-0.1195899261126554
CE,2020-03-01,15,-0.0934364428255936
CE,2020-04-01,16,-0.04713691471335402
CE,2020-05-01,17,0.011635113346823545
CE,2020-06-01,18,0.039687622870196115
