donor_state,scm_weight,outcome
AC,0.6108968319901553,Retail MA3 (log)
AP,0.30560993798142516,Retail MA3 (log)
MT,0.0834932300221405,Retail MA3 (log)
CE,4.4669691040060666e-12,Retail MA3 (log)
MA,1.805450433892224e-12,Retail MA3 (log)
AC,0.7265900062094025,Formal hiring 3m
GO,0.16291796665081082,Formal hiring 3m
MT,0.11049202713586412,Formal hiring 3m
SP,3.922159107863761e-12,Formal hiring 3m
MS,1.7211560265955602e-16,Formal hiring 3m
AC,0.948962342481814,ICMS 2-bim (log)
RS,0.045940191422824,ICMS 2-bim (log)
DF,0.00509746608067753,ICMS 2-bim (log)
BA,3.5025435345024204e-12,ICMS 2-bim (log)
MA,3.464922404676686e-12,ICMS 2-bim (log)
