competencia,period_date,year,month,uf,state_abbrev,state_name,macroregion,formal_hiring_balance_construction,source_regime,source_component,post_2020_caged_dummy,caged_method_break_dummy,series_version
200701,2007-01-01,2007,1,12,AC,Acre,North,-8,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200701,2007-01-01,2007,1,27,AL,Alagoas,Northeast,68,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200701,2007-01-01,2007,1,13,AM,Amazonas,North,18,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200701,2007-01-01,2007,1,16,AP,Amapa,North,-1,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200701,2007-01-01,2007,1,29,BA,Bahia,Northeast,346,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200701,2007-01-01,2007,1,23,CE,Ceara,Northeast,265,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200701,2007-01-01,2007,1,53,DF,Distrito Federal,Center-West,73,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200701,2007-01-01,2007,1,32,ES,Espirito Santo,Southeast,114,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200701,2007-01-01,2007,1,52,GO,Goias,Center-West,179,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200701,2007-01-01,2007,1,21,MA,Maranhao,Northeast,44,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200701,2007-01-01,2007,1,31,MG,Minas Gerais,Southeast,1265,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200701,2007-01-01,2007,1,50,MS,Mato Grosso do Sul,Center-West,-17,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200701,2007-01-01,2007,1,51,MT,Mato Grosso,Center-West,43,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200701,2007-01-01,2007,1,15,PA,Para,North,70,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200701,2007-01-01,2007,1,25,PB,Paraiba,Northeast,165,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200701,2007-01-01,2007,1,26,PE,Pernambuco,Northeast,123,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200701,2007-01-01,2007,1,22,PI,Piaui,Northeast,66,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200701,2007-01-01,2007,1,41,PR,Parana,South,371,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200701,2007-01-01,2007,1,33,RJ,Rio de Janeiro,Southeast,465,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200701,2007-01-01,2007,1,24,RN,Rio Grande do Norte,Northeast,219,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200701,2007-01-01,2007,1,11,RO,Rondonia,North,37,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200701,2007-01-01,2007,1,14,RR,Roraima,North,2,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200701,2007-01-01,2007,1,43,RS,Rio Grande do Sul,South,404,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200701,2007-01-01,2007,1,42,SC,Santa Catarina,South,213,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200701,2007-01-01,2007,1,28,SE,Sergipe,Northeast,55,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200701,2007-01-01,2007,1,35,SP,Sao Paulo,Southeast,904,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200701,2007-01-01,2007,1,17,TO,Tocantins,North,1,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200702,2007-02-01,2007,2,12,AC,Acre,North,-2,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200702,2007-02-01,2007,2,27,AL,Alagoas,Northeast,41,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200702,2007-02-01,2007,2,13,AM,Amazonas,North,61,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200702,2007-02-01,2007,2,16,AP,Amapa,North,0,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200702,2007-02-01,2007,2,29,BA,Bahia,Northeast,307,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200702,2007-02-01,2007,2,23,CE,Ceara,Northeast,329,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
