uf,descricao_da_uf,co_periodo,year,month,ipva_total_arrecadado_de_ipva,itcmd_total_arrecadado_de_itcmd,taxa_total_arrecadado_de_taxas,ortb_total_arrecadado_de_outras_receitas_tributarias,total_da_arrecadacao_de_outros_tributos,daic_total_arrecadado_de_divida_ativa_de_icms,daip_total_arrecadado_de_divida_ativa_de_ipva,dait_total_arrecadado_de_divida_ativa_de_itcmd,total_de_dividas_ativas,secao_a_agricultura_pecuaria_producao_florestal_pesca_e_aquicultura,divisao_1_agricultura_pecuaria_e_servicos_relacionados,divisao_2_producao_florestal,divisao_3_pesca_e_aquicultura,secao_b_industrias_extrativas,divisao_5_extracao_de_carvao_mineral,divisao_6_extracao_de_petroleo_e_gas_natural,divisao_7_extracao_de_minerais_metalicos,divisao_8_extracao_de_minerais_nao_metalicos,divisao_9_atividades_de_apoio_a_extracao_de_minerais,secao_c_industrias_de_transformacao,divisao_10_fabricacao_de_produtos_alimenticios,divisao_11_fabricacao_de_bebidas,divisao_12_fabricacao_de_produtos_do_fumo,divisao_13_fabricacao_de_produtos_texteis,divisao_14_confeccao_de_artigos_do_vestuario_e_acessorios,divisao_15_preparacao_de_couros_e_fabricacao_de_artefatos_de_couro_artigos_para_viagem_e_calcados,divisao_16_fabricacao_de_produtos_de_madeira,divisao_17_fabricacao_de_celulose_papel_e_produtos_de_papel,divisao_18_impressao_e_reproducao_de_gravacoes,divisao_19_fabricacao_de_coque_de_produtos_derivados_do_petroleo_e_de_biocombustiveis,divisao_20_fabricacao_de_produtos_quimicos,divisao_21_fabricacao_de_produtos_farmoquimicos_e_farmaceuticos,divisao_22_fabricacao_de_produtos_de_borracha_e_de_material_plastico,divisao_23_fabricacao_de_produtos_de_minerais_nao_metalicos,divisao_24_metalurgia,divisao_25_fabricacao_de_produtos_de_metal_exceto_maquinas_e_equipamentos,divisao_26_fabricacao_de_equipamentos_de_informatica_produtos_eletronicos_e_opticos,divisao_27_fabricacao_de_maquinas_aparelhos_e_materiais_eletricos,divisao_28_fabricacao_de_maquinas_e_equipamentos,divisao_29_fabricacao_de_veiculos_automotores_reboques_e_carrocerias,divisao_30_fabricacao_de_outros_equipamentos_de_transporte_exceto_veiculos_automotores,divisao_31_fabricacao_de_moveis,divisao_32_fabricacao_de_produtos_diversos,divisao_33_manutencao_reparacao_e_instalacao_de_maquinas_e_equipamentos,secao_d_eletricidade_e_gas,divisao_35_eletricidade_gas_e_outras_utilidades,secao_e_agua_esgoto_atividades_de_gestao_de_residuos_e_descontaminacao,divisao_36_captacao_tratamento_e_distribuicao_de_agua,divisao_37_esgoto_e_atividades_relacionadas,divisao_38_coleta_tratamento_e_disposicao_de_residuos_recuperacao_de_materiais,divisao_39_descontaminacao_e_outros_servicos_de_gestao_de_residuos,secao_f_construcao,divisao_41_construcao_de_edificios,divisao_42_obras_de_infra_estrutura,divisao_43_servicos_especializados_para_construcao,secao_g_comercio_reparacao_de_veiculos_automotores_e_motocicletas,divisao_45_comercio_e_reparacao_de_veiculos_automotores_e_motocicletas,divisao_46_comercio_por_atacado_exceto_veiculos_automotores_e_motocicletas,divisao_47_comercio_varejista,secao_h_transporte_armazenagem_e_correio,divisao_49_transporte_terrestre,divisao_50_transporte_aquaviario,divisao_51_transporte_aereo,divisao_52_armazenamento_e_atividades_auxiliares_dos_transportes,divisao_53_correio_e_outras_atividades_de_entrega,secao_i_alojamento_e_alimentacao,divisao_56_alimentacao,divisao_55_alojamento,secao_j_informacao_e_comunicacao,divisao_58_edicao_e_edicao_integrada_a_impressao,divisao_59_atividades_cinematograficas_producao_de_videos_e_de_programas_de_televisao_gravacao_de_som_e_edicao_de_musica,divisao_60_atividades_de_radio_e_de_televisao,divisao_61_telecomunicacoes,divisao_62_atividades_dos_servicos_de_tecnologia_da_informacao,divisao_63_atividades_de_prestacao_de_servicos_de_informacao,secao_k_atividades_financeiras_de_seguros_e_servicos_relacionados,divisao_64_atividades_de_servicos_financeiros,divisao_65_seguros_resseguros_previdencia_complementar_e_planos_de_saude,divisao_66_atividades_auxiliares_dos_servicos_financeiros_seguros_previdencia_complementar_e_planos_de_saude,secao_l_atividades_imobiliarias,divisao_68_atividades_imobiliarias,secao_m_atividades_profissionais_cientificas_e_tecnicas,divisao_69_atividades_juridicas_de_contabilidade_e_de_auditoria,divisao_70_atividades_de_sedes_de_empresas_e_de_consultoria_em_gestao_empresarial,divisao_71_servicos_de_arquitetura_e_engenharia_testes_e_analises_tecnicas,divisao_72_pesquisa_e_desenvolvimento_cientifico,divisao_73_publicidade_e_pesquisa_de_mercado,divisao_74_outras_atividades_profissionais_cientificas_e_tecnicas,divisao_75_atividades_veterinarias,secao_n_atividades_administrativas_e_servicos_complementares,divisao_77_alugueis_nao_imobiliarios_e_gestao_de_ativos_intangiveis_nao_financeiros,divisao_78_selecao_agenciamento_e_locacao_de_mao_de_obra,divisao_79_agencias_de_viagens_operadores_turisticos_e_servicos_de_reservas,divisao_80_atividades_de_vigilancia_seguranca_e_investigacao,divisao_81_servicos_para_edificios_e_atividades_paisagisticas,divisao_82_servicos_de_escritorio_de_apoio_administrativo_e_outros_servicos_prestados_as_empresas,secao_o_administracao_publica_defesa_e_seguridade_social,divisao_84_administracao_publica_defesa_e_seguridade_social,secao_p_educacao,divisao_85_educacao,secao_q_saude_humana_e_servicos_sociais,divisao_86_atividades_de_atencao_a_saude_humana,divisao_87_atividades_de_atencao_a_saude_humana_integradas_com_assistencia_social_prestadas_em_residencias_coletivas_e_particulares,divisao_88_servicos_de_assistencia_social_sem_alojamento,secao_r_artes_cultura_esporte_e_recreacao,divisao_90_atividades_artisticas_criativas_e_de_espetaculos,divisao_91_atividades_ligadas_ao_patrimonio_cultural_e_ambiental,divisao_92_atividades_de_exploracao_de_jogos_de_azar_e_apostas,divisao_93_atividades_esportivas_e_de_recreacao_e_lazer,secao_s_outras_atividades_de_servicos,divisao_94_atividades_de_organizacoes_associativas,divisao_95_reparacao_e_manutencao_de_equipamentos_de_informatica_e_comunicacao_e_de_objetos_pessoais_e_domesticos,divisao_96_outras_atividades_de_servicos_pessoais,secao_t_servicos_domesticos,divisao_97_servicos_domesticos,secao_u_organismos_internacionais_e_outras_instituicoes_extraterritoriais,divisao_99_organismos_internacionais_e_outras_instituicoes_extraterritoriais,secao_zz_total_icms_arrecadado_do_cnae_nao_identificado,divisao_zz_total_icms_arrecadado_do_cnae_nao_identificado,total_do_icms_total_da_secao,total_da_arrecadacao_icms_outros_tributos,state_abbrev,state_name,macroregion,is_identified_uf,include_in_panel,competencia,period_date,source_system,source_sheet,source_file,source_series_version,uf_mapping_status
1,AC,202401,2024,1,12317895.11,1874381.87,2169728.06,0,16362005.04,1660437.29,0,0,1660437.29,660527.96,651195.17,8250.15,1082.64,32284.38,0,0,0,32284.38,0,45005763.39,4752754.05,9975965.73,0,9161.81,138013.57,189468.44,140908.19,7026.11,36668.38,19655361.99,542807.11,24889.91,824461.86,1358960.97,680.7,143107.23,566988.62,224893.76,33649.3,5213029.61,1012829.48,64344.58,59455.41,30336.58,18420806.89,18420806.89,9266.54,4224.81,0,5041.73,0,824701.66,690820.13,31019.77,102861.76,91928099.3,5226517.37,49209205.49,37492376.44,366671.64,255713.85,25902.15,10682.13,56113.37,18260.14,705258.95,669517.73,35741.22,5719189.15,59754.88,16328.93,32592.83,5529626.82,56757.76,24127.93,2212.01,2212.01,0,0,10751.23,10751.23,225598.26,1372.25,11226.26,40188.11,0,34496.89,75122.37,63192.38,453215.6,40449.91,8858.06,10964.1,146205.4,42387.88,204350.25,0,0,30952.23,30952.23,48623.91,48619.56,4.35,0,39190.91,5898.29,0,0,33292.62,264969.28,17011.34,157887.19,90070.75,15.64,15.64,0,0,9361890.31,9361890.31,174109989.23999992,190471994.2799999,,,,,,202401,2024-01-01,confaz_boletim_tributos_estaduais,planilha1,confaz_boletim_tributos_estaduais_20260330.xls,20260330,unmapped
2,AL,202401,2024,1,99838246.27,5088834.41,586509.52,10302493.79,115816083.99,3199060.23,120303.09,26768.26,3346131.58,2338931.91,2125525.15,166799.49,46607.27,35802636.53,0,30492473.49,817115.18,1788510.07,2704537.79,226938093.95,19197025.64,56789612.7,261026.56,231560.66,1231967.5,86616.15,244482.99,1749518.01,195904.79,85699195.2,14375035.86,509604.72,9087825.62,5211173.17,1110704.58,2915733.33,1625812.76,1495304.89,2254734.24,18462012.98,1344059.55,1677774.31,826315.24,355092.5,83613310.65,83613310.65,473223.45,27007.27,2029.94,438660.39,5525.85,2487289.13,250807.12,1732596.41,503885.6,347377908.83,25120223.73,180470220.33,141787464.77,19250656.25,14135806.7,1008452.15,31513.43,1144177.38,2930706.59,11472714.6,8905405.51,2567309.09,16267155.23,61116.47,58681.85,87032.99,15818545.16,220625.51,21153.25,113143.85,97082.88,15589.12,471.85,162289.19,162289.19,959728.88,1598.07,52823.02,75655.16,21782.63,69999.62,701337.28,36533.1,1405353.15,241683.17,9228.1,54787.8,347541.37,34851.85,717260.86,213.59,213.59,45251.08,45251.08,79667.31,78868.05,329.61,469.65,72377.1,10615.93,0,0,61761.17,1921878.54,1045928.29,705103.61,170846.64,101.44,101.44,0,0,778058.39,778058.39,751559983.0500001,867376067.0400001,,,,,,202401,2024-01-01,confaz_boletim_tributos_estaduais,planilha1,confaz_boletim_tributos_estaduais_20260330.xls,20260330,unmapped
3,AP,202401,2024,1,9987904.18,184014.79,5436136.3,21197281.56,36805336.83,681113.47,0,0,681113.47,8151.28,4829.71,2348.1,973.47,195443.48,0,731.71,17464.72,177247.05,0,26677191.84,1141509.07,10881488.9,0,2796.68,24752.01,956.25,101834.51,265724.38,9080.12,4727517.68,776285.65,24666.65,782527.86,1751933.1,81123.23,231837.84,284947.82,796251.59,83271.28,4410965.08,88176.32,69258.63,62058.15,78229.04,12420709.74,12420709.74,422534.15,396568.75,0,25965.4,0,157748.42,133116.76,5565.99,19065.67,63520465.6,4295358.96,38301208.8,20923897.84,900926.13,247874.86,347596.18,7955.4,280331.91,17167.78,198526.1,183225.52,15300.58,6329433.36,446.33,75421.1,8202.85,6242840.49,1707.46,815.13,3100.14,3100.14,0,0,397.46,397.46,208678.3,6624.48,109.27,160253.16,0,358.49,38979.74,2353.16,120196.99,1567.91,1.65,445.99,100679.96,2893.5,14607.98,0,0,1654.21,1654.21,691646.28,691523.35,122.93,0,40872.33,2,0,0,40870.33,48785.17,19192.16,19124.82,10468.19,0,0,0,0,14802843.26,14802843.26,126749304.23999998,163554641.07,,,,,,202401,2024-01-01,confaz_boletim_tributos_estaduais,planilha1,confaz_boletim_tributos_estaduais_20260330.xls,20260330,unmapped
4,AM,202401,2024,1,82908121.5,7487989.98,9901349.2,64410519.35,164707980.03,2816458.71,3372443.53,1203.28,6190105.52,28090.76,23765.58,2388.7,1936.48,59819835.34,0,57487245.08,2049360.58,283229.68,0,520211299.52,7256853.48,55971903.32,0,312498.12,284261.94,12359.1,448394.71,1965052.04,230705.18,76600362.85,10682339.76,3636197.28,22096056.72,4739821.96,928238.96,16148803.64,153063410.81,8422887.24,24588312.78,23065719.62,103214045.36,954641.34,5373861.27,214572.04,64276855.61,64276855.61,710134.94,368908.28,43.08,341183.58,0,390258.43,0,34163.97,356094.46,436139812.68,22432621.49,217480158.51,196227032.68,77672818.46,58086296.14,10134145.15,368098.77,9046409.09,37869.31,5511137.11,5510819.91,317.2,27573499.58,87240.27,15885.43,32476.59,27371761.97,65259.96,875.36,0,0,0,0,0,0,9573.84,283.47,0,9288.07,0,2.3,0,0,1180620.53,0,285.82,2460.45,1174736.83,14.5,3122.93,0.54,0.54,0,0,1711.46,1711.46,0,0,938454.91,0,938279.2,0,175.71,279040.28,1409.77,277447.53,182.98,0,0,0,0,36586523.82,36586523.82,1231329667.8099997,1396037647.8399997,,,,,,202401,2024-01-01,confaz_boletim_tributos_estaduais,planilha1,confaz_boletim_tributos_estaduais_20260330.xls,20260330,unmapped
5,BA,202401,2024,1,318147045.3,20544069.51,39619854.96,290722365.95,669033335.72,12949483.45,0,0,12949483.45,11650741.81,10597693.39,714286.2,338762.22,39890820.29,0,24485504.56,5895077.08,8384425.79,1125812.86,1540032802.99,77986909.18,339779295.9,30184.12,5152917.4,3045419.1,2571837.15,1250275.77,19721424.09,340157.86,672990242.7,150649042.7,4256503.12,57563112.32,41798131.57,14041261.64,14915096.93,6163429.81,11869790.8,8314459.28,94354669.66,2941593.04,5302746.71,2691002.88,2303299.26,317739932.2,317739932.2,4759653.37,3509589.76,2293.38,1247698.86,71.37,900245.47,17997.94,52272.61,829974.92,1213556424.54,70584203.44,603963022.3,539009198.8,44676240.53,33929529.24,2026264.55,483277.27,7773853.16,463316.31,35315829.73,29923939.32,5391890.41,91867726.14,314700.76,241152.32,235384.9,90035540.08,618535.78,422412.3,118171.14,116726.31,0,1444.83,155446.59,155446.59,5005454.24,3004.69,141514.13,925640.54,50668.66,226095.47,3527265.67,131265.08,6565259.59,1537288.83,35417.78,88293.55,1956280.54,449671.58,2498307.31,65370.41,65370.41,241116.28,241116.28,50594.86,50260.34,334.52,0,343937.08,43199.53,13562.88,137.02,287037.65,1715809.88,271731.23,1005962.17,438116.48,642.63,642.63,0,0,84673539.47,84673539.47,3399325759.2400002,4068359094.96,,,,,,202401,2024-01-01,confaz_boletim_tributos_estaduais,planilha1,confaz_boletim_tributos_estaduais_20260330.xls,20260330,unmapped
6,CE,202401,2024,1,496557621.35,9745529.97,1358429.4,257854.25,507919434.97,31275672.46,9248485.85,615609.43,41139767.74,2176745.18,1038485.43,66704.2,1071555.55,5506560.24,0,1821055.59,27.65,3685477,0,594789084.19,53432574.09,118463461.64,82599.18,6080072.22,9970478.89,16962261.42,1061492.41,5045663.57,831264.99,250547449.95,18936003.37,2877010.81,12522153.02,25258337.58,6252372.32,8182036.19,2370596.21,7331261.68,3288267.4,34081894.39,3179303.81,5135009.38,2594393.04,303126.63,157483463.27,157483463.27,499735.25,108582.77,54077.87,337074.61,0,1732994.43,933712.89,357293.51,441988.03,732379163.84,60643931.42,436095857.13,235639375.29,28463320.66,23321488.6,3099941.14,224529.89,1550323.16,267037.87,18529638.55,17339766.31,1189872.24,40824002.17,294713.29,1648.04,18356.37,40476937.63,32346.84,0,416216.93,64744.01,351172.11,300.81,45145.73,45145.73,165577.98,94.29,5717.06,107190.83,4910.66,40042.01,7081.97,541.16,2055764.48,274710.7,1011.68,253.62,1287658.2,17167.6,474962.68,9511538.69,9511538.69,151423.87,151423.87,399952.52,393101.97,222.52,6628.03,10698.21,1,135.67,0,10561.54,71203.13,17781.08,4892.01,48530.04,0,0,0,0,38677685.39,38677685.39,1633889914.7100005,2141809349.6800005,,,,,,202401,2024-01-01,confaz_boletim_tributos_estaduais,planilha1,confaz_boletim_tributos_estaduais_20260330.xls,20260330,unmapped
7,DF,202401,2024,1,174004915.1,28037654.65,33677988.19,3870547.25,239591105.19,9550085.1,6976993.99,339182.07,16866261.16,1615085.82,1580428.18,29891.55,4766.09,129026.49,0,0,1056.27,127970.22,0,199804755.02,14871278.66,54830584.3,129194.18,284713.65,511563.4,66274.69,546743.56,258210.37,166297.44,27070380.38,3646511.1,3138054.91,3583098.3,10073542,1139647.63,11574091.23,6023581.62,2555397.21,1061938.68,54677355.12,1010424.61,1064556.55,1518914.25,2401.18,87040988.36,87040988.36,560629.39,34538.12,11880.36,514210.91,0,24900.17,13976.32,7839.09,3084.76,546548609.61,41809381.29,326325244.97,178413983.35,11926760.42,10702823.77,46.78,277346.17,845313.27,101230.43,15678863.62,15645571.63,33291.99,43451486.25,54525.29,225.94,143152.42,43253581.6,0,1,0,0,0,0,0,0,3405.78,0,0,0,0,3405.78,0,0,402456.7,0,0,0,336264.93,0,66191.77,0,0,24.6,24.6,0,0,0,0,8.08,8.08,0,0,0,1641.13,0,1638.01,3.12,0,0,0,0,75259470.7,75259470.7,982448112.1400001,1222039217.3300002,,,,,,202401,2024-01-01,confaz_boletim_tributos_estaduais,planilha1,confaz_boletim_tributos_estaduais_20260330.xls,20260330,unmapped
8,ES,202401,2024,1,67369304.33,15111278.26,66009451.72,95326146.17,243816180.48,9265732.86,45138.31,10104.23,9320975.4,118439.85,0,118439.85,0,2799314.55,0,0,0,2247438.42,551876.13,215531927.05,33160480.32,76449785.85,0,426023.93,2804354.51,105893.64,1241578.67,0,321625.85,0,19929901.96,3052869.05,8395234.62,21089904.03,0,12658994.88,1455326.32,2392929.21,6050311.98,17239273.87,2762162.62,2351790.64,0,3643485.1,0,0,0,0,0,0,0,4361452.81,148655.86,1938255.76,2274541.19,747126451.55,78687924.75,423665607.2,244772919.6,56655328.04,56655328.04,0,0,0,0,13826384.51,13487651.8,338732.71,433941.13,43012.89,51277.83,0,0,339650.41,0,0,0,0,0,49849.64,49849.64,138352.79,0,13311.19,0,0,93922.64,0,31118.96,2647698.58,1286306.66,0,0,423921.68,99243.62,838226.62,0,0,0,0,37985.28,37927.45,57.83,0,50595.5,12927.12,0,0,37668.38,495478.53,41582.63,283836.01,170059.89,173.92,173.92,0,0,755427553,755427553,1799700926.7299998,2043517107.2099998,,,,,,202401,2024-01-01,confaz_boletim_tributos_estaduais,planilha1,confaz_boletim_tributos_estaduais_20260330.xls,20260330,unmapped
9,GO,202401,2024,1,353695135.4,73715904.73,191796343.5,316131612.9,935338996.53,12432038.1,17356666.51,220529.26,30009233.87,44171692.26,39832695.31,4279704.68,59292.27,10710814.16,1848,0,4787138.63,5833055.4,88772.13,645449986.53,116256216.2,128383944.8,430467.34,1450665.91,8002823.49,1414055.29,984652.19,5555967.48,736188.03,194969352.9,42645754.44,18459113.99,15404172.17,14171207.75,4897933.13,13238710.68,2257615.72,2349794.85,7526363.9,55567256.34,1798375.77,4221654.61,3000091.55,1727608,128752076.1,128752076.1,2393725.15,892938.58,40150.59,1458620.02,2015.96,2932244.69,302225.25,836523.15,1793496.29,1184630366.2,109569630.4,693342000.7,381718735.1,62772438.71,58401001.37,258832.89,210447.61,3452373.91,449782.93,20098861.74,17921974.2,2176887.54,46932251.49,118879.86,229596.45,67994.29,46181435.16,221698.07,112647.66,145307.21,128655.07,9312.73,7339.41,239593.39,239593.39,1222367.88,3490.99,98360.2,490442.47,31958.26,278867.83,180557.5,138690.63,10170814.76,1086991.04,26232.17,51048.17,1006023.98,65665.02,7934854.38,1859.22,1859.22,123550.49,123550.49,414008.87,411724.36,182.12,2102.39,449360.8,33912.25,3512.8,0,411935.75,1148969.69,338511.13,540448.64,270009.92,671.49,671.49,0,0,72897925.34,72897925.34,2235658886.17,3170997882.7,,,,,,202401,2024-01-01,confaz_boletim_tributos_estaduais,planilha1,confaz_boletim_tributos_estaduais_20260330.xls,20260330,unmapped
10,MA,202401,2024,1,97476778.91,3207395.25,1187536.32,59999730.1,161871440.58,6420218.17,21637450.22,0,28057668.39,7205846.69,6387749.36,799013.3,19084.03,7735310.85,0,2162115.37,3676184.56,1878742.42,18268.5,203966128.18,11877531.42,108935281.6,68823.04,595225.89,623844.51,457795.89,25369.08,1269931.86,296253.22,3627692.9,24127299.83,637261.87,3813857.37,10934255.07,6103605.28,1550596.61,1062746.73,177147.63,1421748.07,21111038.28,2411486.25,1714008.39,684272.54,439054.85,104913281.4,104913281.4,712869.57,14145.15,10865.03,687859.39,0,3021945.91,1148221.36,1040036.96,833687.59,469207912.21,34749634.81,215352357,219105920.4,31989487.52,28293751.85,1754866.88,10385.2,1811014.56,119469.03,5930184.15,5643528.27,286655.88,26642197.2,28534.87,69168.03,16138.34,26434214.07,47675.3,46466.59,308980.55,306207.17,0,2773.38,123267.62,123267.62,1937820.86,8302.35,24001.46,278230.1,712.1,363072.52,1214918.53,48583.8,2225502,950813.97,18064.41,15393.27,681834.74,64806.59,494589.02,25.2,25.2,60640.47,60640.47,63406.96,60986.27,2419.75,0.94,232563.6,8057.14,0,0,224506.46,418887.96,63333.16,246054.67,109500.13,56.88,56.88,0,0,39558037.31,39558037.31,906254353.0900002,1068125793.6700002,,,,,,202401,2024-01-01,confaz_boletim_tributos_estaduais,planilha1,confaz_boletim_tributos_estaduais_20260330.xls,20260330,unmapped
