id_arrecadacao,state_abbrev,co_periodo,year,month,va_icms_primario,va_icms_secundario,va_icms_terciario,va_icms_terciario_atacadista,va_icms_terciario_varejista,va_icms_terciario_transportes,va_icms_terciario_comunicacao,va_icms_terciario_outros,va_icms_energia,va_icms_energia_secundario,va_icms_energia_terciario,va_icms_combustiveis,va_icms_combustiveis_secundario,va_icms_combustiveis_terciario,va_icms_divida_ativa,va_icms_outras,va_icms_total,va_outros_tributos_ipva,va_outros_tributos_itcd,va_outros_tributos_taxas,va_outros_tributos_outros,va_outros_tributos_total,va_receita_tributaria_total,uf,state_name,macroregion,include_in_panel,competencia,period_date,source_system,source_sheet,source_file,source_series_version,uf_mapping_status
1,RO,199701,1997,1,0,2120658,13802145,7996,6463126,797494,1377163,5156363,248115,0,248115,2097663,2097663,0,19576,1114972,19403131,713802,0,2327166,260533,3301502,22704634,11,Rondonia,North,TRUE,199701,1997-01-01,confaz_boletim_tributos_estaduais,arrecadacao_por_setor,confaz_boletim_tributos_estaduais_20260330.xls,20260330,mapped
270,AC,199701,1997,1,131244,27081,3950833,0,0,0,0,0,0,0,0,0,0,0,0,0,4109158,224459,2289,0,0,226749,4335907,12,Acre,North,TRUE,199701,1997-01-01,confaz_boletim_tributos_estaduais,arrecadacao_por_setor,confaz_boletim_tributos_estaduais_20260330.xls,20260330,mapped
538,AM,199701,1997,1,303315,50114692,52859305,0,0,0,0,0,4505085,0,0,2534220,0,0,0,0,110316617,2113990,14462,8,0,2128460,112445077,13,Amazonas,North,TRUE,199701,1997-01-01,confaz_boletim_tributos_estaduais,arrecadacao_por_setor,confaz_boletim_tributos_estaduais_20260330.xls,20260330,mapped
807,RR,199701,1997,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4459840,14790265,0,0,0,14790265,14790265,14,Roraima,North,TRUE,199701,1997-01-01,confaz_boletim_tributos_estaduais,arrecadacao_por_setor,confaz_boletim_tributos_estaduais_20260330.xls,20260330,mapped
1076,PA,199701,1997,1,3086657,11398886,43345260,9760190,19016223,3324847,2529398,8714602,4834010,0,0,4701730,0,0,57990,401730,67826263,2276149,49220,395980,0,2721349,70547612,15,Para,North,TRUE,199701,1997-01-01,confaz_boletim_tributos_estaduais,arrecadacao_por_setor,confaz_boletim_tributos_estaduais_20260330.xls,20260330,mapped
1343,AP,199701,1997,1,77112,1065006,4878949,0,0,0,0,0,0,0,0,209209,0,0,5889,0,6236165,232420,1021,143345,1112294,1489080,7725245,16,Amapa,North,TRUE,199701,1997-01-01,confaz_boletim_tributos_estaduais,arrecadacao_por_setor,confaz_boletim_tributos_estaduais_20260330.xls,20260330,mapped
1611,TO,199701,1997,1,2423311,340361,7980294,0,0,0,0,0,1156091,0,0,2328750,0,0,38964,0,14267772,135735,4727,249990,89042,479495,14747266,17,Tocantins,North,TRUE,199701,1997-01-01,confaz_boletim_tributos_estaduais,arrecadacao_por_setor,confaz_boletim_tributos_estaduais_20260330.xls,20260330,mapped
1880,MA,199701,1997,1,2757000,5952000,20374000,0,0,0,0,0,0,0,0,0,0,0,0,0,29083000,555000,5000,0,0,560000,29643000,21,Maranhao,Northeast,TRUE,199701,1997-01-01,confaz_boletim_tributos_estaduais,arrecadacao_por_setor,confaz_boletim_tributos_estaduais_20260330.xls,20260330,mapped
2148,PI,199701,1997,1,282233,3895901,21120994,6844696,12136504,704535,413871,1021387,228527,0,0,959520,0,0,122186,0,26609361,696366,11298,754014,14664,1476341,28085703,22,Piaui,Northeast,TRUE,199701,1997-01-01,confaz_boletim_tributos_estaduais,arrecadacao_por_setor,confaz_boletim_tributos_estaduais_20260330.xls,20260330,mapped
2417,CE,199701,1997,1,420304,38460617,56620278,20815084,23703330,2930449,9171414,0,7332877,0,0,11811949,0,0,607631,2052886,117306542,21042593,217400,315310,0,21575302,138881844,23,Ceara,Northeast,TRUE,199701,1997-01-01,confaz_boletim_tributos_estaduais,arrecadacao_por_setor,confaz_boletim_tributos_estaduais_20260330.xls,20260330,mapped
2686,RN,199701,1997,1,1801463,6135155,28883718,0,0,0,0,0,0,0,0,0,0,0,0,0,36820336,1367611,28359,0,0,1395970,38216306,24,Rio Grande do Norte,Northeast,TRUE,199701,1997-01-01,confaz_boletim_tributos_estaduais,arrecadacao_por_setor,confaz_boletim_tributos_estaduais_20260330.xls,20260330,mapped
2955,PB,199701,1997,1,1867008,9595538,31236151,0,0,0,0,0,1681005,0,1681005,506051,0,506051,251533,0,45137286,1267276,30363,64662,1343749,2706051,47843337,25,Paraiba,Northeast,TRUE,199701,1997-01-01,confaz_boletim_tributos_estaduais,arrecadacao_por_setor,confaz_boletim_tributos_estaduais_20260330.xls,20260330,mapped
