competencia,period_date,year,month,uf,state_abbrev,state_name,macroregion,formal_hiring_balance,source_series
200601,2006-01-01,2006,1,11,RO,Rondonia,North,7,old_caged_adjusted
200601,2006-01-01,2006,1,12,AC,Acre,North,4,old_caged_adjusted
200601,2006-01-01,2006,1,13,AM,Amazonas,North,28,old_caged_adjusted
200601,2006-01-01,2006,1,14,RR,Roraima,North,11,old_caged_adjusted
200601,2006-01-01,2006,1,15,PA,Para,North,-9,old_caged_adjusted
200601,2006-01-01,2006,1,16,AP,Amapa,North,20,old_caged_adjusted
200601,2006-01-01,2006,1,17,TO,Tocantins,North,13,old_caged_adjusted
200601,2006-01-01,2006,1,21,MA,Maranhao,Northeast,15,old_caged_adjusted
200601,2006-01-01,2006,1,22,PI,Piaui,Northeast,12,old_caged_adjusted
200601,2006-01-01,2006,1,23,CE,Ceara,Northeast,63,old_caged_adjusted
200601,2006-01-01,2006,1,24,RN,Rio Grande do Norte,Northeast,16,old_caged_adjusted
200601,2006-01-01,2006,1,25,PB,Paraiba,Northeast,11,old_caged_adjusted
200601,2006-01-01,2006,1,26,PE,Pernambuco,Northeast,40,old_caged_adjusted
200601,2006-01-01,2006,1,27,AL,Alagoas,Northeast,30,old_caged_adjusted
200601,2006-01-01,2006,1,28,SE,Sergipe,Northeast,19,old_caged_adjusted
200601,2006-01-01,2006,1,29,BA,Bahia,Northeast,97,old_caged_adjusted
200601,2006-01-01,2006,1,31,MG,Minas Gerais,Southeast,64,old_caged_adjusted
200601,2006-01-01,2006,1,32,ES,Espirito Santo,Southeast,2,old_caged_adjusted
200601,2006-01-01,2006,1,33,RJ,Rio de Janeiro,Southeast,-38,old_caged_adjusted
200601,2006-01-01,2006,1,35,SP,Sao Paulo,Southeast,228,old_caged_adjusted
200601,2006-01-01,2006,1,41,PR,Parana,South,45,old_caged_adjusted
200601,2006-01-01,2006,1,42,SC,Santa Catarina,South,40,old_caged_adjusted
200601,2006-01-01,2006,1,43,RS,Rio Grande do Sul,South,67,old_caged_adjusted
200601,2006-01-01,2006,1,50,MS,Mato Grosso do Sul,Center-West,13,old_caged_adjusted
200601,2006-01-01,2006,1,51,MT,Mato Grosso,Center-West,54,old_caged_adjusted
200601,2006-01-01,2006,1,52,GO,Goias,Center-West,-93,old_caged_adjusted
200601,2006-01-01,2006,1,53,DF,Distrito Federal,Center-West,4,old_caged_adjusted
200602,2006-02-01,2006,2,11,RO,Rondonia,North,87,old_caged_adjusted
200602,2006-02-01,2006,2,12,AC,Acre,North,26,old_caged_adjusted
200602,2006-02-01,2006,2,13,AM,Amazonas,North,110,old_caged_adjusted
200602,2006-02-01,2006,2,14,RR,Roraima,North,26,old_caged_adjusted
200602,2006-02-01,2006,2,15,PA,Para,North,49,old_caged_adjusted
200602,2006-02-01,2006,2,16,AP,Amapa,North,7,old_caged_adjusted
200602,2006-02-01,2006,2,17,TO,Tocantins,North,9,old_caged_adjusted
