period,period_date,year,uf,state_abbrev,state_name,macroregion,pnad_legacy_population_10_plus,labor_force_pnad_legacy,non_labor_force_pnad_legacy,unemployed_pnad_legacy,unemployment_rate_pnad_legacy,occupied_pnad_legacy,previd_contributors_any_work_pnad_legacy,previd_non_contributors_any_work_pnad_legacy,formalization_proxy_pnad_legacy,labor_income_nominal_pnad_legacy,labor_income_real_pnad_legacy,ipca_reference_index,is_observed_pnad_legacy_year,imputation_method,labor_market_age_concept,formalization_rule,income_deflator_rule,source_system,source_frequency
2001,2001-09-01,2001,12,AC,Acre,North,306000,180000,126000,14000,0.07777777777777778,166000,73000,92000,0.4397590361445783,625,2676.9115938923724,1773.52,TRUE,,Pessoas de 10 anos ou mais,previd_contributors_any_work_pnad_legacy / occupied_pnad_legacy,"IPCA national index, September of PNAD year to 202604",SIDRA/PNAD legacy,annual
2001,2001-09-01,2001,27,AL,Alagoas,Northeast,2293000,1324000,969000,146000,0.11027190332326284,1178000,339000,839000,0.28777589134125636,251,1075.0476961071768,1773.52,TRUE,,Pessoas de 10 anos ou mais,previd_contributors_any_work_pnad_legacy / occupied_pnad_legacy,"IPCA national index, September of PNAD year to 202604",SIDRA/PNAD legacy,annual
2001,2001-09-01,2001,13,AM,Amazonas,North,1712000,904000,808000,93000,0.10287610619469026,811000,361000,450000,0.44512946979038226,518,2218.624329017998,1773.52,TRUE,,Pessoas de 10 anos ou mais,previd_contributors_any_work_pnad_legacy / occupied_pnad_legacy,"IPCA national index, September of PNAD year to 202604",SIDRA/PNAD legacy,annual
2001,2001-09-01,2001,16,AP,Amapa,North,367000,178000,189000,32000,0.1797752808988764,146000,82000,64000,0.5616438356164384,662,2835.384760250801,1773.52,TRUE,,Pessoas de 10 anos ou mais,previd_contributors_any_work_pnad_legacy / occupied_pnad_legacy,"IPCA national index, September of PNAD year to 202604",SIDRA/PNAD legacy,annual
2001,2001-09-01,2001,29,BA,Bahia,Northeast,10882000,6521000,4361000,654000,0.10029136635485356,5867000,1662000,4205000,0.28327935912732233,296,1267.7853308674275,1773.52,TRUE,,Pessoas de 10 anos ou mais,previd_contributors_any_work_pnad_legacy / occupied_pnad_legacy,"IPCA national index, September of PNAD year to 202604",SIDRA/PNAD legacy,annual
2001,2001-09-01,2001,23,CE,Ceara,Northeast,6071000,3660000,2411000,262000,0.0715846994535519,3398000,867000,2530000,0.2551500882872278,274,1173.558042762416,1773.52,TRUE,,Pessoas de 10 anos ou mais,previd_contributors_any_work_pnad_legacy / occupied_pnad_legacy,"IPCA national index, September of PNAD year to 202604",SIDRA/PNAD legacy,annual
2001,2001-09-01,2001,53,DF,Distrito Federal,Center-West,1730000,1085000,645000,157000,0.1447004608294931,928000,584000,344000,0.6293103448275862,1024,4385.851955433262,1773.52,TRUE,,Pessoas de 10 anos ou mais,previd_contributors_any_work_pnad_legacy / occupied_pnad_legacy,"IPCA national index, September of PNAD year to 202604",SIDRA/PNAD legacy,annual
2001,2001-09-01,2001,32,ES,Espirito Santo,Southeast,2612000,1675000,936000,151000,0.09014925373134329,1525000,676000,849000,0.4432786885245902,454,1944.5085818034192,1773.52,TRUE,,Pessoas de 10 anos ou mais,previd_contributors_any_work_pnad_legacy / occupied_pnad_legacy,"IPCA national index, September of PNAD year to 202604",SIDRA/PNAD legacy,annual
2001,2001-09-01,2001,52,GO,Goias,Center-West,4229000,2655000,1574000,214000,0.08060263653483993,2441000,990000,1451000,0.4055714870954527,483,2068.7172797600256,1773.52,TRUE,,Pessoas de 10 anos ou mais,previd_contributors_any_work_pnad_legacy / occupied_pnad_legacy,"IPCA national index, September of PNAD year to 202604",SIDRA/PNAD legacy,annual
2001,2001-09-01,2001,21,MA,Maranhao,Northeast,4493000,2820000,1673000,191000,0.06773049645390071,2628000,489000,2139000,0.1860730593607306,246,1053.6324033560377,1773.52,TRUE,,Pessoas de 10 anos ou mais,previd_contributors_any_work_pnad_legacy / occupied_pnad_legacy,"IPCA national index, September of PNAD year to 202604",SIDRA/PNAD legacy,annual
