period,period_date,year,uf,state_abbrev,state_name,macroregion,population,source_system,source_frequency,reference_date_rule,source_table_id,observation_status,imputation_rule
1999,1999-07-01,1999,12,AC,Acre,North,527937,IBGE/SeculoXX,annual,1 July,IBGE_SECULOXX_1999,observed,
1999,1999-07-01,1999,27,AL,Alagoas,Northeast,2713203,IBGE/SeculoXX,annual,1 July,IBGE_SECULOXX_1999,observed,
1999,1999-07-01,1999,13,AM,Amazonas,North,2580860,IBGE/SeculoXX,annual,1 July,IBGE_SECULOXX_1999,observed,
1999,1999-07-01,1999,16,AP,Amapa,North,439781,IBGE/SeculoXX,annual,1 July,IBGE_SECULOXX_1999,observed,
1999,1999-07-01,1999,29,BA,Bahia,Northeast,12993011,IBGE/SeculoXX,annual,1 July,IBGE_SECULOXX_1999,observed,
1999,1999-07-01,1999,23,CE,Ceara,Northeast,7106605,IBGE/SeculoXX,annual,1 July,IBGE_SECULOXX_1999,observed,
1999,1999-07-01,1999,53,DF,Distrito Federal,Center-West,1969868,IBGE/SeculoXX,annual,1 July,IBGE_SECULOXX_1999,observed,
1999,1999-07-01,1999,32,ES,Espirito Santo,Southeast,2938062,IBGE/SeculoXX,annual,1 July,IBGE_SECULOXX_1999,observed,
1999,1999-07-01,1999,52,GO,Goias,Center-West,4848725,IBGE/SeculoXX,annual,1 July,IBGE_SECULOXX_1999,observed,
1999,1999-07-01,1999,21,MA,Maranhao,Northeast,5418349,IBGE/SeculoXX,annual,1 July,IBGE_SECULOXX_1999,observed,
1999,1999-07-01,1999,31,MG,Minas Gerais,Southeast,17295955,IBGE/SeculoXX,annual,1 July,IBGE_SECULOXX_1999,observed,
1999,1999-07-01,1999,50,MS,Mato Grosso do Sul,Center-West,2026600,IBGE/SeculoXX,annual,1 July,IBGE_SECULOXX_1999,observed,
1999,1999-07-01,1999,51,MT,Mato Grosso,Center-West,2375549,IBGE/SeculoXX,annual,1 July,IBGE_SECULOXX_1999,observed,
1999,1999-07-01,1999,15,PA,Para,North,5886454,IBGE/SeculoXX,annual,1 July,IBGE_SECULOXX_1999,observed,
1999,1999-07-01,1999,25,PB,Paraiba,Northeast,3375609,IBGE/SeculoXX,annual,1 July,IBGE_SECULOXX_1999,observed,
1999,1999-07-01,1999,26,PE,Pernambuco,Northeast,7580826,IBGE/SeculoXX,annual,1 July,IBGE_SECULOXX_1999,observed,
1999,1999-07-01,1999,22,PI,Piaui,Northeast,2734152,IBGE/SeculoXX,annual,1 July,IBGE_SECULOXX_1999,observed,
1999,1999-07-01,1999,41,PR,Parana,South,9375592,IBGE/SeculoXX,annual,1 July,IBGE_SECULOXX_1999,observed,
1999,1999-07-01,1999,33,RJ,Rio de Janeiro,Southeast,13807358,IBGE/SeculoXX,annual,1 July,IBGE_SECULOXX_1999,observed,
1999,1999-07-01,1999,24,RN,Rio Grande do Norte,Northeast,2654501,IBGE/SeculoXX,annual,1 July,IBGE_SECULOXX_1999,observed,
1999,1999-07-01,1999,11,RO,Rondonia,North,1296856,IBGE/SeculoXX,annual,1 July,IBGE_SECULOXX_1999,observed,
1999,1999-07-01,1999,14,RR,Roraima,North,266922,IBGE/SeculoXX,annual,1 July,IBGE_SECULOXX_1999,observed,
1999,1999-07-01,1999,43,RS,Rio Grande do Sul,South,9971910,IBGE/SeculoXX,annual,1 July,IBGE_SECULOXX_1999,observed,
1999,1999-07-01,1999,42,SC,Santa Catarina,South,5098448,IBGE/SeculoXX,annual,1 July,IBGE_SECULOXX_1999,observed,
1999,1999-07-01,1999,28,SE,Sergipe,Northeast,1712786,IBGE/SeculoXX,annual,1 July,IBGE_SECULOXX_1999,observed,
1999,1999-07-01,1999,35,SP,Sao Paulo,Southeast,35816740,IBGE/SeculoXX,annual,1 July,IBGE_SECULOXX_1999,observed,
1999,1999-07-01,1999,17,TO,Tocantins,North,1134895,IBGE/SeculoXX,annual,1 July,IBGE_SECULOXX_1999,observed,
2000,2000-07-01,2000,12,AC,Acre,North,557226,IBGE/SeculoXX,annual,Census 2000 historical table,IBGE_SECULOXX_2000,observed,
2000,2000-07-01,2000,27,AL,Alagoas,Northeast,2819172,IBGE/SeculoXX,annual,Census 2000 historical table,IBGE_SECULOXX_2000,observed,
2000,2000-07-01,2000,13,AM,Amazonas,North,2813085,IBGE/SeculoXX,annual,Census 2000 historical table,IBGE_SECULOXX_2000,observed,
2000,2000-07-01,2000,16,AP,Amapa,North,475843,IBGE/SeculoXX,annual,Census 2000 historical table,IBGE_SECULOXX_2000,observed,
2000,2000-07-01,2000,29,BA,Bahia,Northeast,13066910,IBGE/SeculoXX,annual,Census 2000 historical table,IBGE_SECULOXX_2000,observed,
2000,2000-07-01,2000,23,CE,Ceara,Northeast,7418476,IBGE/SeculoXX,annual,Census 2000 historical table,IBGE_SECULOXX_2000,observed,
2000,2000-07-01,2000,53,DF,Distrito Federal,Center-West,2043169,IBGE/SeculoXX,annual,Census 2000 historical table,IBGE_SECULOXX_2000,observed,
2000,2000-07-01,2000,32,ES,Espirito Santo,Southeast,3094390,IBGE/SeculoXX,annual,Census 2000 historical table,IBGE_SECULOXX_2000,observed,
2000,2000-07-01,2000,52,GO,Goias,Center-West,4996439,IBGE/SeculoXX,annual,Census 2000 historical table,IBGE_SECULOXX_2000,observed,
2000,2000-07-01,2000,21,MA,Maranhao,Northeast,5642960,IBGE/SeculoXX,annual,Census 2000 historical table,IBGE_SECULOXX_2000,observed,
2000,2000-07-01,2000,31,MG,Minas Gerais,Southeast,17866402,IBGE/SeculoXX,annual,Census 2000 historical table,IBGE_SECULOXX_2000,observed,
2000,2000-07-01,2000,50,MS,Mato Grosso do Sul,Center-West,2074877,IBGE/SeculoXX,annual,Census 2000 historical table,IBGE_SECULOXX_2000,observed,
2000,2000-07-01,2000,51,MT,Mato Grosso,Center-West,2502260,IBGE/SeculoXX,annual,Census 2000 historical table,IBGE_SECULOXX_2000,observed,
2000,2000-07-01,2000,15,PA,Para,North,6189550,IBGE/SeculoXX,annual,Census 2000 historical table,IBGE_SECULOXX_2000,observed,
2000,2000-07-01,2000,25,PB,Paraiba,Northeast,3439344,IBGE/SeculoXX,annual,Census 2000 historical table,IBGE_SECULOXX_2000,observed,
2000,2000-07-01,2000,26,PE,Pernambuco,Northeast,7911937,IBGE/SeculoXX,annual,Census 2000 historical table,IBGE_SECULOXX_2000,observed,
