state_abbrev,period,period_date,year,bimester,uf,state_name,macroregion,total_revenue_nominal,total_revenue_real,state_tax_revenue_nominal,state_tax_revenue_real,federal_current_transfers_nominal,federal_capital_transfers_nominal,federal_transfers_nominal,federal_transfers_real,transfer_dependency_ratio,own_revenue_ratio,liquidated_expenditure_total_nominal,liquidated_expenditure_total_real,liquidated_expenditure_health_nominal,liquidated_expenditure_health_real,liquidated_expenditure_education_nominal,liquidated_expenditure_education_real,liquidated_expenditure_public_security_nominal,liquidated_expenditure_public_security_real,public_investment_liquidated_cumulative_nominal,public_investment_liquidated_nominal,public_investment_liquidated_real,public_investment_flow_is_derived,public_investment_negative_flow_flag,ipca_month_code,deflator_base_month,source_system,source_frequency,fiscal_series_version,original_public_investment_missing,investment_recovered_from_raw,public_investment_imputed_adjacent_mean,public_investment_imputation_method
AC,2015B1,2015-02-01,2015,1,12,Acre,North,816467799.02,1490734623.4821749,186453327.33,340432814.4329886,,,0,0,0,0.2283658064087751,549535893.16,1003361288.4220386,80867425.4,147650490.4422922,101184913.86,184746850.57538745,65328459,119278918.0993164,24439497.69,24439497.69,44622464.51204279,TRUE,FALSE,201502,202604,Siconfi/RREO,bimonthly,rreo_annex01_02_06_v1,TRUE,TRUE,FALSE,
AC,2015B2,2015-04-01,2015,2,12,Acre,North,835031264.38,1494155181.9928613,181348808.6,324494750.887092,,,0,0,0,0.21717607032911415,672801209.33,1203870389.353485,124294390.42,222404975.071895,133623478.17,239097888.73816141,63620826.94,113839316.33464336,54984647.7,30545150.01,54655671.133556075,TRUE,FALSE,201504,202604,Siconfi/RREO,bimonthly,rreo_annex01_02_06_v1,TRUE,TRUE,FALSE,
AC,2015B3,2015-06-01,2015,3,12,Acre,North,755050416.24,1330606027.8296168,158758329.62,279775741.8802442,,,0,0,0,0.21026189272311735,716541243.03,1262742297.2788432,120741340.22,212779374.26352137,160472027.98,282795748.6488689,66322470.96,116878393.47125116,92832610.33,37847962.629999995,66698496.06511631,TRUE,FALSE,201506,202604,Siconfi/RREO,bimonthly,rreo_annex01_02_06_v1,TRUE,TRUE,FALSE,
AC,2015B4,2015-08-01,2015,4,12,Acre,North,695472488.93,1215389235.0284204,176414778.85,308297778.16817474,,,0,0,0,0.25366176471109314,742423641.13,1297439820.5862403,122199661.14,213552879.57138088,163148498.78,285113979.7540106,66977748.46,117048532.84702504,176787328.22,83954717.89,146717033.3514431,TRUE,FALSE,201508,202604,Siconfi/RREO,bimonthly,rreo_annex01_02_06_v1,TRUE,TRUE,FALSE,
AC,2015B5,2015-10-01,2015,5,12,Acre,North,672868876.72,1160061404.637825,171855527.01,296287985.6025127,,,0,0,0,0.25540715725734775,862130560.32,1486358521.5313723,123513856.49,212944397.94939208,152126286.64,262273735.44485015,68059625.13,117338380.56576714,256700336.73,79913008.50999999,137774238.2035034,TRUE,FALSE,201510,202604,Siconfi/RREO,bimonthly,rreo_annex01_02_06_v1,TRUE,TRUE,FALSE,
AC,2015B6,2015-12-01,2015,6,12,Acre,North,866025450.25,1464090444.4722817,223198263.51,377335844.7300404,,,0,0,0,0.2577271412122683,1270157578.88,2147310536.515329,169972251.26,287352697.1099632,239330178.2,404608232.789598,92480533.86,156346289.69048744,362537770.08,105837433.35,178927276.08695006,TRUE,FALSE,201512,202604,Siconfi/RREO,bimonthly,rreo_annex01_02_06_v1,TRUE,TRUE,FALSE,
AC,2016B1,2016-02-01,2016,1,12,Acre,North,806219976.99,1333887912.2608936,179559474.74,297080473.96916837,,,0,0,0,0.22271771956132907,570513513.65,943912457.3424758,87155301.16,144198117.16997904,110429045.8,182704439.92849812,58318092.44,96487064.06687596,10169268.83,10169268.83,16825016.938319713,TRUE,FALSE,201602,202604,Siconfi/RREO,bimonthly,rreo_annex01_02_06_v1,TRUE,TRUE,FALSE,
AC,2016B2,2016-04-01,2016,2,12,Acre,North,738998185.4,1210053076.8444154,190524208.01,311968836.555476,,,0,0,0,0.2578141756963508,736223956.81,1205510489.450399,115628164.05,189332285.8470084,144341564.36,236348285.45054537,66484929.23,108863992.85946706,40035651.6,29866382.770000003,48903920.3059612,TRUE,FALSE,201604,202604,Siconfi/RREO,bimonthly,rreo_annex01_02_06_v1,TRUE,TRUE,FALSE,
AC,2016B3,2016-06-01,2016,3,12,Acre,North,821849230.22,1330644987.9852755,177577958.89,287514074.7048953,,,0,0,0,0.21607121155599832,785362104.32,1271569175.2698145,121663517.09,196983757.2192323,160408067.55,259714535.54890335,70723961.36,114508210.5740447,76819804.4,36784152.800000004,59556724.95732832,TRUE,FALSE,201606,202604,Siconfi/RREO,bimonthly,rreo_annex01_02_06_v1,TRUE,TRUE,FALSE,
AC,2016B4,2016-08-01,2016,4,12,Acre,North,722930064.77,1159329377.525207,186874593.3,299682108.24748605,,,0,0,0,0.25849608752881803,714258789.51,1145423656.0184886,126840689.35,203408523.9984972,164604614.99,263968778.07930964,64604670.9,103603510.97522368,133785460.48,56965656.08,91353177.60584858,TRUE,FALSE,201608,202604,Siconfi/RREO,bimonthly,rreo_annex01_02_06_v1,TRUE,TRUE,FALSE,
