nivel_territorial_codigo,nivel_territorial,unidade_de_medida_codigo,unidade_de_medida,valor,unidade_da_federacao_codigo,unidade_da_federacao,ano_codigo,ano,variavel_codigo,variavel,downloaded_at
3,Unidade da Federação,45,Pessoas,1407886,11,Rondônia,2001,2001,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,1431777,11,Rondônia,2002,2002,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,1455907,11,Rondônia,2003,2003,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,1562085,11,Rondônia,2004,2004,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,1534594,11,Rondônia,2005,2005,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,1562417,11,Rondônia,2006,2006,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,1493565,11,Rondônia,2008,2008,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,1503928,11,Rondônia,2009,2009,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,1576455,11,Rondônia,2011,2011,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,1590011,11,Rondônia,2012,2012,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,1728214,11,Rondônia,2013,2013,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,1748531,11,Rondônia,2014,2014,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,1768204,11,Rondônia,2015,2015,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,1787279,11,Rondônia,2016,2016,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,1805788,11,Rondônia,2017,2017,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,1757589,11,Rondônia,2018,2018,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,1777225,11,Rondônia,2019,2019,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,1796460,11,Rondônia,2020,2020,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,1815278,11,Rondônia,2021,2021,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,1746227,11,Rondônia,2024,2024,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,1751950,11,Rondônia,2025,2025,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,574355,12,Acre,2001,2001,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,586942,12,Acre,2002,2002,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,600595,12,Acre,2003,2003,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,630328,12,Acre,2004,2004,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,669736,12,Acre,2005,2005,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,686652,12,Acre,2006,2006,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,680075,12,Acre,2008,2008,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,691132,12,Acre,2009,2009,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,746386,12,Acre,2011,2011,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,758786,12,Acre,2012,2012,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,776463,12,Acre,2013,2013,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,790101,12,Acre,2014,2014,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,803513,12,Acre,2015,2015,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,816687,12,Acre,2016,2016,9324,População residente estimada,2026-06-03
3,Unidade da Federação,45,Pessoas,829619,12,Acre,2017,2017,9324,População residente estimada,2026-06-03
