nivel_territorial_codigo,nivel_territorial,unidade_de_medida_codigo,unidade_de_medida,valor,brasil_codigo,brasil,variavel_codigo,variavel,mes_codigo,mes,downloaded_at
1,Brasil,30,Número-índice,7.6183e-9,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),197912,dezembro 1979,2026-05-13
1,Brasil,30,Número-índice,8.1223e-9,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198001,janeiro 1980,2026-05-13
1,Brasil,30,Número-índice,8.4973e-9,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198002,fevereiro 1980,2026-05-13
1,Brasil,30,Número-índice,9.0104e-9,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198003,março 1980,2026-05-13
1,Brasil,30,Número-índice,9.4867e-9,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198004,abril 1980,2026-05-13
1,Brasil,30,Número-índice,1.00277e-8,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198005,maio 1980,2026-05-13
1,Brasil,30,Número-índice,1.05597e-8,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198006,junho 1980,2026-05-13
1,Brasil,30,Número-índice,1.11453e-8,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198007,julho 1980,2026-05-13
1,Brasil,30,Número-índice,1.16965e-8,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198008,agosto 1980,2026-05-13
1,Brasil,30,Número-índice,1.21913e-8,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198009,setembro 1980,2026-05-13
1,Brasil,30,Número-índice,1.33471e-8,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198010,outubro 1980,2026-05-13
1,Brasil,30,Número-índice,1.42378e-8,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198011,novembro 1980,2026-05-13
1,Brasil,30,Número-índice,1.51795e-8,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198012,dezembro 1980,2026-05-13
1,Brasil,30,Número-índice,1.62174e-8,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198101,janeiro 1981,2026-05-13
1,Brasil,30,Número-índice,1.72555e-8,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198102,fevereiro 1981,2026-05-13
1,Brasil,30,Número-índice,1.81134e-8,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198103,março 1981,2026-05-13
1,Brasil,30,Número-índice,1.92839e-8,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198104,abril 1981,2026-05-13
1,Brasil,30,Número-índice,2.0356e-8,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198105,maio 1981,2026-05-13
1,Brasil,30,Número-índice,2.14792e-8,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198106,junho 1981,2026-05-13
1,Brasil,30,Número-índice,2.28229e-8,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198107,julho 1981,2026-05-13
1,Brasil,30,Número-índice,2.40772e-8,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198108,agosto 1981,2026-05-13
1,Brasil,30,Número-índice,2.53429e-8,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198109,setembro 1981,2026-05-13
1,Brasil,30,Número-índice,2.66297e-8,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198110,outubro 1981,2026-05-13
1,Brasil,30,Número-índice,2.80335e-8,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198111,novembro 1981,2026-05-13
1,Brasil,30,Número-índice,2.96946e-8,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198112,dezembro 1981,2026-05-13
1,Brasil,30,Número-índice,3.17628e-8,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198201,janeiro 1982,2026-05-13
1,Brasil,30,Número-índice,3.38708e-8,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198202,fevereiro 1982,2026-05-13
1,Brasil,30,Número-índice,3.58057e-8,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198203,março 1982,2026-05-13
1,Brasil,30,Número-índice,3.79137e-8,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198204,abril 1982,2026-05-13
1,Brasil,30,Número-índice,4.04382e-8,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198205,maio 1982,2026-05-13
1,Brasil,30,Número-índice,4.33113e-8,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198206,junho 1982,2026-05-13
1,Brasil,30,Número-índice,4.6065e-8,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198207,julho 1982,2026-05-13
1,Brasil,30,Número-índice,4.88164e-8,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198208,agosto 1982,2026-05-13
