nivel_territorial_codigo,nivel_territorial,unidade_de_medida_codigo,unidade_de_medida,valor,unidade_da_federacao_codigo,unidade_da_federacao,variavel_codigo,variavel,ano_codigo,ano,sexo_codigo,sexo,classes_de_rendimento_mensal_de_todos_os_trabalhos_codigo,classes_de_rendimento_mensal_de_todos_os_trabalhos,downloaded_at
3,Unidade da Federação,38,Reais,524,11,Rondônia,778,Valor do rendimento médio mensal de todos os trabalhos das pessoas de 10 anos ou mais de idade ocupadas na semana de referência,2001,2001,6794,Total,99149,Total,2026-05-27
3,Unidade da Federação,38,Reais,564,11,Rondônia,778,Valor do rendimento médio mensal de todos os trabalhos das pessoas de 10 anos ou mais de idade ocupadas na semana de referência,2002,2002,6794,Total,99149,Total,2026-05-27
3,Unidade da Federação,38,Reais,593,11,Rondônia,778,Valor do rendimento médio mensal de todos os trabalhos das pessoas de 10 anos ou mais de idade ocupadas na semana de referência,2003,2003,6794,Total,99149,Total,2026-05-27
3,Unidade da Federação,38,Reais,574,11,Rondônia,778,Valor do rendimento médio mensal de todos os trabalhos das pessoas de 10 anos ou mais de idade ocupadas na semana de referência,2004,2004,6794,Total,99149,Total,2026-05-27
3,Unidade da Federação,38,Reais,651,11,Rondônia,778,Valor do rendimento médio mensal de todos os trabalhos das pessoas de 10 anos ou mais de idade ocupadas na semana de referência,2005,2005,6794,Total,99149,Total,2026-05-27
3,Unidade da Federação,38,Reais,731,11,Rondônia,778,Valor do rendimento médio mensal de todos os trabalhos das pessoas de 10 anos ou mais de idade ocupadas na semana de referência,2006,2006,6794,Total,99149,Total,2026-05-27
3,Unidade da Federação,38,Reais,710,11,Rondônia,778,Valor do rendimento médio mensal de todos os trabalhos das pessoas de 10 anos ou mais de idade ocupadas na semana de referência,2007,2007,6794,Total,99149,Total,2026-05-27
3,Unidade da Federação,38,Reais,773,11,Rondônia,778,Valor do rendimento médio mensal de todos os trabalhos das pessoas de 10 anos ou mais de idade ocupadas na semana de referência,2008,2008,6794,Total,99149,Total,2026-05-27
3,Unidade da Federação,38,Reais,913,11,Rondônia,778,Valor do rendimento médio mensal de todos os trabalhos das pessoas de 10 anos ou mais de idade ocupadas na semana de referência,2009,2009,6794,Total,99149,Total,2026-05-27
3,Unidade da Federação,38,Reais,1153,11,Rondônia,778,Valor do rendimento médio mensal de todos os trabalhos das pessoas de 10 anos ou mais de idade ocupadas na semana de referência,2011,2011,6794,Total,99149,Total,2026-05-27
3,Unidade da Federação,38,Reais,1183,11,Rondônia,778,Valor do rendimento médio mensal de todos os trabalhos das pessoas de 10 anos ou mais de idade ocupadas na semana de referência,2012,2012,6794,Total,99149,Total,2026-05-27
3,Unidade da Federação,38,Reais,1309,11,Rondônia,778,Valor do rendimento médio mensal de todos os trabalhos das pessoas de 10 anos ou mais de idade ocupadas na semana de referência,2013,2013,6794,Total,99149,Total,2026-05-27
3,Unidade da Federação,38,Reais,1458,11,Rondônia,778,Valor do rendimento médio mensal de todos os trabalhos das pessoas de 10 anos ou mais de idade ocupadas na semana de referência,2014,2014,6794,Total,99149,Total,2026-05-27
3,Unidade da Federação,38,Reais,1594,11,Rondônia,778,Valor do rendimento médio mensal de todos os trabalhos das pessoas de 10 anos ou mais de idade ocupadas na semana de referência,2015,2015,6794,Total,99149,Total,2026-05-27
3,Unidade da Federação,38,Reais,625,12,Acre,778,Valor do rendimento médio mensal de todos os trabalhos das pessoas de 10 anos ou mais de idade ocupadas na semana de referência,2001,2001,6794,Total,99149,Total,2026-05-27
3,Unidade da Federação,38,Reais,587,12,Acre,778,Valor do rendimento médio mensal de todos os trabalhos das pessoas de 10 anos ou mais de idade ocupadas na semana de referência,2002,2002,6794,Total,99149,Total,2026-05-27
3,Unidade da Federação,38,Reais,629,12,Acre,778,Valor do rendimento médio mensal de todos os trabalhos das pessoas de 10 anos ou mais de idade ocupadas na semana de referência,2003,2003,6794,Total,99149,Total,2026-05-27
3,Unidade da Federação,38,Reais,516,12,Acre,778,Valor do rendimento médio mensal de todos os trabalhos das pessoas de 10 anos ou mais de idade ocupadas na semana de referência,2004,2004,6794,Total,99149,Total,2026-05-27
3,Unidade da Federação,38,Reais,557,12,Acre,778,Valor do rendimento médio mensal de todos os trabalhos das pessoas de 10 anos ou mais de idade ocupadas na semana de referência,2005,2005,6794,Total,99149,Total,2026-05-27
3,Unidade da Federação,38,Reais,630,12,Acre,778,Valor do rendimento médio mensal de todos os trabalhos das pessoas de 10 anos ou mais de idade ocupadas na semana de referência,2006,2006,6794,Total,99149,Total,2026-05-27
3,Unidade da Federação,38,Reais,727,12,Acre,778,Valor do rendimento médio mensal de todos os trabalhos das pessoas de 10 anos ou mais de idade ocupadas na semana de referência,2007,2007,6794,Total,99149,Total,2026-05-27
3,Unidade da Federação,38,Reais,769,12,Acre,778,Valor do rendimento médio mensal de todos os trabalhos das pessoas de 10 anos ou mais de idade ocupadas na semana de referência,2008,2008,6794,Total,99149,Total,2026-05-27
3,Unidade da Federação,38,Reais,1020,12,Acre,778,Valor do rendimento médio mensal de todos os trabalhos das pessoas de 10 anos ou mais de idade ocupadas na semana de referência,2009,2009,6794,Total,99149,Total,2026-05-27
3,Unidade da Federação,38,Reais,952,12,Acre,778,Valor do rendimento médio mensal de todos os trabalhos das pessoas de 10 anos ou mais de idade ocupadas na semana de referência,2011,2011,6794,Total,99149,Total,2026-05-27
3,Unidade da Federação,38,Reais,1025,12,Acre,778,Valor do rendimento médio mensal de todos os trabalhos das pessoas de 10 anos ou mais de idade ocupadas na semana de referência,2012,2012,6794,Total,99149,Total,2026-05-27
3,Unidade da Federação,38,Reais,1147,12,Acre,778,Valor do rendimento médio mensal de todos os trabalhos das pessoas de 10 anos ou mais de idade ocupadas na semana de referência,2013,2013,6794,Total,99149,Total,2026-05-27
3,Unidade da Federação,38,Reais,1300,12,Acre,778,Valor do rendimento médio mensal de todos os trabalhos das pessoas de 10 anos ou mais de idade ocupadas na semana de referência,2014,2014,6794,Total,99149,Total,2026-05-27
3,Unidade da Federação,38,Reais,1273,12,Acre,778,Valor do rendimento médio mensal de todos os trabalhos das pessoas de 10 anos ou mais de idade ocupadas na semana de referência,2015,2015,6794,Total,99149,Total,2026-05-27
3,Unidade da Federação,38,Reais,518,13,Amazonas,778,Valor do rendimento médio mensal de todos os trabalhos das pessoas de 10 anos ou mais de idade ocupadas na semana de referência,2001,2001,6794,Total,99149,Total,2026-05-27
3,Unidade da Federação,38,Reais,525,13,Amazonas,778,Valor do rendimento médio mensal de todos os trabalhos das pessoas de 10 anos ou mais de idade ocupadas na semana de referência,2002,2002,6794,Total,99149,Total,2026-05-27
3,Unidade da Federação,38,Reais,576,13,Amazonas,778,Valor do rendimento médio mensal de todos os trabalhos das pessoas de 10 anos ou mais de idade ocupadas na semana de referência,2003,2003,6794,Total,99149,Total,2026-05-27
3,Unidade da Federação,38,Reais,543,13,Amazonas,778,Valor do rendimento médio mensal de todos os trabalhos das pessoas de 10 anos ou mais de idade ocupadas na semana de referência,2004,2004,6794,Total,99149,Total,2026-05-27
3,Unidade da Federação,38,Reais,579,13,Amazonas,778,Valor do rendimento médio mensal de todos os trabalhos das pessoas de 10 anos ou mais de idade ocupadas na semana de referência,2005,2005,6794,Total,99149,Total,2026-05-27
3,Unidade da Federação,38,Reais,646,13,Amazonas,778,Valor do rendimento médio mensal de todos os trabalhos das pessoas de 10 anos ou mais de idade ocupadas na semana de referência,2006,2006,6794,Total,99149,Total,2026-05-27
3,Unidade da Federação,38,Reais,749,13,Amazonas,778,Valor do rendimento médio mensal de todos os trabalhos das pessoas de 10 anos ou mais de idade ocupadas na semana de referência,2007,2007,6794,Total,99149,Total,2026-05-27
3,Unidade da Federação,38,Reais,800,13,Amazonas,778,Valor do rendimento médio mensal de todos os trabalhos das pessoas de 10 anos ou mais de idade ocupadas na semana de referência,2008,2008,6794,Total,99149,Total,2026-05-27
3,Unidade da Federação,38,Reais,840,13,Amazonas,778,Valor do rendimento médio mensal de todos os trabalhos das pessoas de 10 anos ou mais de idade ocupadas na semana de referência,2009,2009,6794,Total,99149,Total,2026-05-27
3,Unidade da Federação,38,Reais,994,13,Amazonas,778,Valor do rendimento médio mensal de todos os trabalhos das pessoas de 10 anos ou mais de idade ocupadas na semana de referência,2011,2011,6794,Total,99149,Total,2026-05-27
3,Unidade da Federação,38,Reais,1072,13,Amazonas,778,Valor do rendimento médio mensal de todos os trabalhos das pessoas de 10 anos ou mais de idade ocupadas na semana de referência,2012,2012,6794,Total,99149,Total,2026-05-27
3,Unidade da Federação,38,Reais,1303,13,Amazonas,778,Valor do rendimento médio mensal de todos os trabalhos das pessoas de 10 anos ou mais de idade ocupadas na semana de referência,2013,2013,6794,Total,99149,Total,2026-05-27
3,Unidade da Federação,38,Reais,1386,13,Amazonas,778,Valor do rendimento médio mensal de todos os trabalhos das pessoas de 10 anos ou mais de idade ocupadas na semana de referência,2014,2014,6794,Total,99149,Total,2026-05-27
3,Unidade da Federação,38,Reais,1311,13,Amazonas,778,Valor do rendimento médio mensal de todos os trabalhos das pessoas de 10 anos ou mais de idade ocupadas na semana de referência,2015,2015,6794,Total,99149,Total,2026-05-27
3,Unidade da Federação,38,Reais,499,14,Roraima,778,Valor do rendimento médio mensal de todos os trabalhos das pessoas de 10 anos ou mais de idade ocupadas na semana de referência,2001,2001,6794,Total,99149,Total,2026-05-27
3,Unidade da Federação,38,Reais,535,14,Roraima,778,Valor do rendimento médio mensal de todos os trabalhos das pessoas de 10 anos ou mais de idade ocupadas na semana de referência,2002,2002,6794,Total,99149,Total,2026-05-27
3,Unidade da Federação,38,Reais,571,14,Roraima,778,Valor do rendimento médio mensal de todos os trabalhos das pessoas de 10 anos ou mais de idade ocupadas na semana de referência,2003,2003,6794,Total,99149,Total,2026-05-27
