nivel_territorial_codigo,nivel_territorial,unidade_de_medida_codigo,unidade_de_medida,valor,unidade_da_federacao_codigo,unidade_da_federacao,variavel_codigo,variavel,trimestre_codigo,trimestre,downloaded_at
3,Unidade da Federação,2,%,8.1,11,Rondônia,4099,"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade",201201,1º trimestre 2012,2026-05-27
3,Unidade da Federação,2,%,6.3,11,Rondônia,4099,"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade",201202,2º trimestre 2012,2026-05-27
3,Unidade da Federação,2,%,5.9,11,Rondônia,4099,"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade",201203,3º trimestre 2012,2026-05-27
3,Unidade da Federação,2,%,5.2,11,Rondônia,4099,"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade",201204,4º trimestre 2012,2026-05-27
3,Unidade da Federação,2,%,6.2,11,Rondônia,4099,"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade",201301,1º trimestre 2013,2026-05-27
3,Unidade da Federação,2,%,4.8,11,Rondônia,4099,"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade",201302,2º trimestre 2013,2026-05-27
3,Unidade da Federação,2,%,4.6,11,Rondônia,4099,"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade",201303,3º trimestre 2013,2026-05-27
3,Unidade da Federação,2,%,4.9,11,Rondônia,4099,"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade",201304,4º trimestre 2013,2026-05-27
3,Unidade da Federação,2,%,5,11,Rondônia,4099,"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade",201401,1º trimestre 2014,2026-05-27
3,Unidade da Federação,2,%,4.2,11,Rondônia,4099,"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade",201402,2º trimestre 2014,2026-05-27
3,Unidade da Federação,2,%,4.2,11,Rondônia,4099,"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade",201403,3º trimestre 2014,2026-05-27
