series_block,source_type,frequency,source_url,target_path,status,notes
old_caged_tables,old_caged_summary_xls,monthly,https://www.gov.br/trabalho-e-emprego/pt-br/assuntos/estatisticas-trabalho/caged/4-tabelas.xls,C:/Users/Usuario/OneDrive/Papers/2026/Ruptura Institucional de Governadores/data/raw/mte/old_caged_tables_legacy.xls,ready_to_download,Official old Caged tables workbook on gov.br
old_caged_municipal_balance,old_caged_adjusted_balance_xls,monthly,https://www.gov.br/trabalho-e-emprego/pt-br/assuntos/estatisticas-trabalho/caged/6-saldomunicipioajustado.xls,C:/Users/Usuario/OneDrive/Papers/2026/Ruptura Institucional de Governadores/data/raw/mte/old_caged_adjusted_balance_legacy.xls,ready_to_download,Official old Caged adjusted balance workbook on gov.br
new_caged_2020_01,new_caged_ftp_archive,monthly,ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2020/202001/CAGEDMOV202001.7z,C:/Users/Usuario/OneDrive/Papers/2026/Ruptura Institucional de Governadores/data/raw/mte/CAGEDMOV202001.7z,ready_to_download,FTP month folder: ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2020/202001/
new_caged_2020_02,new_caged_ftp_archive,monthly,ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2020/202002/CAGEDMOV202002.7z,C:/Users/Usuario/OneDrive/Papers/2026/Ruptura Institucional de Governadores/data/raw/mte/CAGEDMOV202002.7z,ready_to_download,FTP month folder: ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2020/202002/
new_caged_2020_03,new_caged_ftp_archive,monthly,ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2020/202003/CAGEDMOV202003.7z,C:/Users/Usuario/OneDrive/Papers/2026/Ruptura Institucional de Governadores/data/raw/mte/CAGEDMOV202003.7z,ready_to_download,FTP month folder: ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2020/202003/
new_caged_2020_04,new_caged_ftp_archive,monthly,ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2020/202004/CAGEDMOV202004.7z,C:/Users/Usuario/OneDrive/Papers/2026/Ruptura Institucional de Governadores/data/raw/mte/CAGEDMOV202004.7z,ready_to_download,FTP month folder: ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2020/202004/
new_caged_2020_05,new_caged_ftp_archive,monthly,ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2020/202005/CAGEDMOV202005.7z,C:/Users/Usuario/OneDrive/Papers/2026/Ruptura Institucional de Governadores/data/raw/mte/CAGEDMOV202005.7z,ready_to_download,FTP month folder: ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2020/202005/
new_caged_2020_06,new_caged_ftp_archive,monthly,ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2020/202006/CAGEDMOV202006.7z,C:/Users/Usuario/OneDrive/Papers/2026/Ruptura Institucional de Governadores/data/raw/mte/CAGEDMOV202006.7z,ready_to_download,FTP month folder: ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2020/202006/
new_caged_2020_07,new_caged_ftp_archive,monthly,ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2020/202007/CAGEDMOV202007.7z,C:/Users/Usuario/OneDrive/Papers/2026/Ruptura Institucional de Governadores/data/raw/mte/CAGEDMOV202007.7z,ready_to_download,FTP month folder: ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2020/202007/
new_caged_2020_08,new_caged_ftp_archive,monthly,ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2020/202008/CAGEDMOV202008.7z,C:/Users/Usuario/OneDrive/Papers/2026/Ruptura Institucional de Governadores/data/raw/mte/CAGEDMOV202008.7z,ready_to_download,FTP month folder: ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2020/202008/
new_caged_2020_09,new_caged_ftp_archive,monthly,ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2020/202009/CAGEDMOV202009.7z,C:/Users/Usuario/OneDrive/Papers/2026/Ruptura Institucional de Governadores/data/raw/mte/CAGEDMOV202009.7z,ready_to_download,FTP month folder: ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2020/202009/
new_caged_2020_10,new_caged_ftp_archive,monthly,ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2020/202010/CAGEDMOV202010.7z,C:/Users/Usuario/OneDrive/Papers/2026/Ruptura Institucional de Governadores/data/raw/mte/CAGEDMOV202010.7z,ready_to_download,FTP month folder: ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2020/202010/
new_caged_2020_11,new_caged_ftp_archive,monthly,ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2020/202011/CAGEDMOV202011.7z,C:/Users/Usuario/OneDrive/Papers/2026/Ruptura Institucional de Governadores/data/raw/mte/CAGEDMOV202011.7z,ready_to_download,FTP month folder: ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2020/202011/
new_caged_2020_12,new_caged_ftp_archive,monthly,ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2020/202012/CAGEDMOV202012.7z,C:/Users/Usuario/OneDrive/Papers/2026/Ruptura Institucional de Governadores/data/raw/mte/CAGEDMOV202012.7z,ready_to_download,FTP month folder: ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2020/202012/
new_caged_2021_01,new_caged_ftp_archive,monthly,ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2021/202101/CAGEDMOV202101.7z,C:/Users/Usuario/OneDrive/Papers/2026/Ruptura Institucional de Governadores/data/raw/mte/CAGEDMOV202101.7z,ready_to_download,FTP month folder: ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2021/202101/
new_caged_2021_02,new_caged_ftp_archive,monthly,ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2021/202102/CAGEDMOV202102.7z,C:/Users/Usuario/OneDrive/Papers/2026/Ruptura Institucional de Governadores/data/raw/mte/CAGEDMOV202102.7z,ready_to_download,FTP month folder: ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2021/202102/
new_caged_2021_03,new_caged_ftp_archive,monthly,ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2021/202103/CAGEDMOV202103.7z,C:/Users/Usuario/OneDrive/Papers/2026/Ruptura Institucional de Governadores/data/raw/mte/CAGEDMOV202103.7z,ready_to_download,FTP month folder: ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2021/202103/
new_caged_2021_04,new_caged_ftp_archive,monthly,ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2021/202104/CAGEDMOV202104.7z,C:/Users/Usuario/OneDrive/Papers/2026/Ruptura Institucional de Governadores/data/raw/mte/CAGEDMOV202104.7z,ready_to_download,FTP month folder: ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2021/202104/
new_caged_2021_05,new_caged_ftp_archive,monthly,ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2021/202105/CAGEDMOV202105.7z,C:/Users/Usuario/OneDrive/Papers/2026/Ruptura Institucional de Governadores/data/raw/mte/CAGEDMOV202105.7z,ready_to_download,FTP month folder: ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2021/202105/
new_caged_2021_06,new_caged_ftp_archive,monthly,ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2021/202106/CAGEDMOV202106.7z,C:/Users/Usuario/OneDrive/Papers/2026/Ruptura Institucional de Governadores/data/raw/mte/CAGEDMOV202106.7z,ready_to_download,FTP month folder: ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2021/202106/
new_caged_2021_07,new_caged_ftp_archive,monthly,ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2021/202107/CAGEDMOV202107.7z,C:/Users/Usuario/OneDrive/Papers/2026/Ruptura Institucional de Governadores/data/raw/mte/CAGEDMOV202107.7z,ready_to_download,FTP month folder: ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2021/202107/
new_caged_2021_08,new_caged_ftp_archive,monthly,ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2021/202108/CAGEDMOV202108.7z,C:/Users/Usuario/OneDrive/Papers/2026/Ruptura Institucional de Governadores/data/raw/mte/CAGEDMOV202108.7z,ready_to_download,FTP month folder: ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2021/202108/
new_caged_2021_09,new_caged_ftp_archive,monthly,ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2021/202109/CAGEDMOV202109.7z,C:/Users/Usuario/OneDrive/Papers/2026/Ruptura Institucional de Governadores/data/raw/mte/CAGEDMOV202109.7z,ready_to_download,FTP month folder: ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2021/202109/
new_caged_2021_10,new_caged_ftp_archive,monthly,ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2021/202110/CAGEDMOV202110.7z,C:/Users/Usuario/OneDrive/Papers/2026/Ruptura Institucional de Governadores/data/raw/mte/CAGEDMOV202110.7z,ready_to_download,FTP month folder: ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2021/202110/
new_caged_2021_11,new_caged_ftp_archive,monthly,ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2021/202111/CAGEDMOV202111.7z,C:/Users/Usuario/OneDrive/Papers/2026/Ruptura Institucional de Governadores/data/raw/mte/CAGEDMOV202111.7z,ready_to_download,FTP month folder: ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2021/202111/
new_caged_2021_12,new_caged_ftp_archive,monthly,ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2021/202112/CAGEDMOV202112.7z,C:/Users/Usuario/OneDrive/Papers/2026/Ruptura Institucional de Governadores/data/raw/mte/CAGEDMOV202112.7z,ready_to_download,FTP month folder: ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2021/202112/
new_caged_2022_01,new_caged_ftp_archive,monthly,ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2022/202201/CAGEDMOV202201.7z,C:/Users/Usuario/OneDrive/Papers/2026/Ruptura Institucional de Governadores/data/raw/mte/CAGEDMOV202201.7z,ready_to_download,FTP month folder: ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2022/202201/
new_caged_2022_02,new_caged_ftp_archive,monthly,ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2022/202202/CAGEDMOV202202.7z,C:/Users/Usuario/OneDrive/Papers/2026/Ruptura Institucional de Governadores/data/raw/mte/CAGEDMOV202202.7z,ready_to_download,FTP month folder: ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2022/202202/
new_caged_2022_03,new_caged_ftp_archive,monthly,ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2022/202203/CAGEDMOV202203.7z,C:/Users/Usuario/OneDrive/Papers/2026/Ruptura Institucional de Governadores/data/raw/mte/CAGEDMOV202203.7z,ready_to_download,FTP month folder: ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2022/202203/
