series_block,target_path,status,bytes,error_message
new_caged_2020_01,C:/Users/Usuario/OneDrive/Papers/2026/Ruptura Institucional de Governadores/data/raw/mte/CAGEDMOV202001.7z,already_present,34261878,
new_caged_2020_02,C:/Users/Usuario/OneDrive/Papers/2026/Ruptura Institucional de Governadores/data/raw/mte/CAGEDMOV202002.7z,already_present,35514017,
new_caged_2020_03,C:/Users/Usuario/OneDrive/Papers/2026/Ruptura Institucional de Governadores/data/raw/mte/CAGEDMOV202003.7z,already_present,37219967,
new_caged_2020_04,C:/Users/Usuario/OneDrive/Papers/2026/Ruptura Institucional de Governadores/data/raw/mte/CAGEDMOV202004.7z,already_present,26891712,
new_caged_2020_05,C:/Users/Usuario/OneDrive/Papers/2026/Ruptura Institucional de Governadores/data/raw/mte/CAGEDMOV202005.7z,already_present,22443117,
new_caged_2020_06,C:/Users/Usuario/OneDrive/Papers/2026/Ruptura Institucional de Governadores/data/raw/mte/CAGEDMOV202006.7z,already_present,23096019,
new_caged_2020_07,C:/Users/Usuario/OneDrive/Papers/2026/Ruptura Institucional de Governadores/data/raw/mte/CAGEDMOV202007.7z,already_present,25363835,
new_caged_2020_08,C:/Users/Usuario/OneDrive/Papers/2026/Ruptura Institucional de Governadores/data/raw/mte/CAGEDMOV202008.7z,already_present,28783068,
new_caged_2020_09,C:/Users/Usuario/OneDrive/Papers/2026/Ruptura Institucional de Governadores/data/raw/mte/CAGEDMOV202009.7z,already_present,31578726,
new_caged_2020_10,C:/Users/Usuario/OneDrive/Papers/2026/Ruptura Institucional de Governadores/data/raw/mte/CAGEDMOV202010.7z,already_present,34847905,
new_caged_2020_11,C:/Users/Usuario/OneDrive/Papers/2026/Ruptura Institucional de Governadores/data/raw/mte/CAGEDMOV202011.7z,already_present,33905289,
new_caged_2020_12,C:/Users/Usuario/OneDrive/Papers/2026/Ruptura Institucional de Governadores/data/raw/mte/CAGEDMOV202012.7z,already_present,32633265,
new_caged_2021_01,C:/Users/Usuario/OneDrive/Papers/2026/Ruptura Institucional de Governadores/data/raw/mte/CAGEDMOV202101.7z,already_present,36106920,
new_caged_2021_02,C:/Users/Usuario/OneDrive/Papers/2026/Ruptura Institucional de Governadores/data/raw/mte/CAGEDMOV202102.7z,already_present,38629865,
new_caged_2021_03,C:/Users/Usuario/OneDrive/Papers/2026/Ruptura Institucional de Governadores/data/raw/mte/CAGEDMOV202103.7z,already_present,39176786,
new_caged_2021_04,C:/Users/Usuario/OneDrive/Papers/2026/Ruptura Institucional de Governadores/data/raw/mte/CAGEDMOV202104.7z,already_present,34216378,
new_caged_2021_05,C:/Users/Usuario/OneDrive/Papers/2026/Ruptura Institucional de Governadores/data/raw/mte/CAGEDMOV202105.7z,already_present,36157691,
new_caged_2021_06,C:/Users/Usuario/OneDrive/Papers/2026/Ruptura Institucional de Governadores/data/raw/mte/CAGEDMOV202106.7z,already_present,37140243,
new_caged_2021_07,C:/Users/Usuario/OneDrive/Papers/2026/Ruptura Institucional de Governadores/data/raw/mte/CAGEDMOV202107.7z,already_present,38493488,
new_caged_2021_08,C:/Users/Usuario/OneDrive/Papers/2026/Ruptura Institucional de Governadores/data/raw/mte/CAGEDMOV202108.7z,already_present,41689836,
new_caged_2021_09,C:/Users/Usuario/OneDrive/Papers/2026/Ruptura Institucional de Governadores/data/raw/mte/CAGEDMOV202109.7z,already_present,41632850,
new_caged_2021_10,C:/Users/Usuario/OneDrive/Papers/2026/Ruptura Institucional de Governadores/data/raw/mte/CAGEDMOV202110.7z,already_present,41620849,
new_caged_2021_11,C:/Users/Usuario/OneDrive/Papers/2026/Ruptura Institucional de Governadores/data/raw/mte/CAGEDMOV202111.7z,already_present,40730397,
new_caged_2021_12,C:/Users/Usuario/OneDrive/Papers/2026/Ruptura Institucional de Governadores/data/raw/mte/CAGEDMOV202112.7z,already_present,39725730,
new_caged_2022_01,C:/Users/Usuario/OneDrive/Papers/2026/Ruptura Institucional de Governadores/data/raw/mte/CAGEDMOV202201.7z,already_present,43192205,
new_caged_2022_02,C:/Users/Usuario/OneDrive/Papers/2026/Ruptura Institucional de Governadores/data/raw/mte/CAGEDMOV202202.7z,already_present,47209395,
new_caged_2022_03,C:/Users/Usuario/OneDrive/Papers/2026/Ruptura Institucional de Governadores/data/raw/mte/CAGEDMOV202203.7z,already_present,48101588,
new_caged_2022_04,C:/Users/Usuario/OneDrive/Papers/2026/Ruptura Institucional de Governadores/data/raw/mte/CAGEDMOV202204.7z,already_present,44867258,
new_caged_2022_05,C:/Users/Usuario/OneDrive/Papers/2026/Ruptura Institucional de Governadores/data/raw/mte/CAGEDMOV202205.7z,already_present,46526509,
new_caged_2022_06,C:/Users/Usuario/OneDrive/Papers/2026/Ruptura Institucional de Governadores/data/raw/mte/CAGEDMOV202206.7z,already_present,44999866,
new_caged_2022_07,C:/Users/Usuario/OneDrive/Papers/2026/Ruptura Institucional de Governadores/data/raw/mte/CAGEDMOV202207.7z,already_present,45429180,
new_caged_2022_08,C:/Users/Usuario/OneDrive/Papers/2026/Ruptura Institucional de Governadores/data/raw/mte/CAGEDMOV202208.7z,already_present,49004603,
new_caged_2022_09,C:/Users/Usuario/OneDrive/Papers/2026/Ruptura Institucional de Governadores/data/raw/mte/CAGEDMOV202209.7z,already_present,45611759,
new_caged_2022_10,C:/Users/Usuario/OneDrive/Papers/2026/Ruptura Institucional de Governadores/data/raw/mte/CAGEDMOV202210.7z,already_present,43580858,
new_caged_2022_11,C:/Users/Usuario/OneDrive/Papers/2026/Ruptura Institucional de Governadores/data/raw/mte/CAGEDMOV202211.7z,already_present,42601431,
new_caged_2022_12,C:/Users/Usuario/OneDrive/Papers/2026/Ruptura Institucional de Governadores/data/raw/mte/CAGEDMOV202212.7z,already_present,40425035,
new_caged_2023_01,C:/Users/Usuario/OneDrive/Papers/2026/Ruptura Institucional de Governadores/data/raw/mte/CAGEDMOV202301.7z,already_present,46719858,
new_caged_2023_02,C:/Users/Usuario/OneDrive/Papers/2026/Ruptura Institucional de Governadores/data/raw/mte/CAGEDMOV202302.7z,already_present,46755851,
new_caged_2023_03,C:/Users/Usuario/OneDrive/Papers/2026/Ruptura Institucional de Governadores/data/raw/mte/CAGEDMOV202303.7z,already_present,52898207,
new_caged_2023_04,C:/Users/Usuario/OneDrive/Papers/2026/Ruptura Institucional de Governadores/data/raw/mte/CAGEDMOV202304.7z,already_present,45282290,
new_caged_2023_05,C:/Users/Usuario/OneDrive/Papers/2026/Ruptura Institucional de Governadores/data/raw/mte/CAGEDMOV202305.7z,already_present,49004467,
new_caged_2023_06,C:/Users/Usuario/OneDrive/Papers/2026/Ruptura Institucional de Governadores/data/raw/mte/CAGEDMOV202306.7z,already_present,46886297,
new_caged_2023_07,C:/Users/Usuario/OneDrive/Papers/2026/Ruptura Institucional de Governadores/data/raw/mte/CAGEDMOV202307.7z,already_present,46260497,
new_caged_2023_08,C:/Users/Usuario/OneDrive/Papers/2026/Ruptura Institucional de Governadores/data/raw/mte/CAGEDMOV202308.7z,already_present,50031370,
new_caged_2023_09,C:/Users/Usuario/OneDrive/Papers/2026/Ruptura Institucional de Governadores/data/raw/mte/CAGEDMOV202309.7z,already_present,45365331,
new_caged_2023_10,C:/Users/Usuario/OneDrive/Papers/2026/Ruptura Institucional de Governadores/data/raw/mte/CAGEDMOV202310.7z,downloaded,46890697,
new_caged_2023_11,C:/Users/Usuario/OneDrive/Papers/2026/Ruptura Institucional de Governadores/data/raw/mte/CAGEDMOV202311.7z,already_present,45657398,
new_caged_2023_12,C:/Users/Usuario/OneDrive/Papers/2026/Ruptura Institucional de Governadores/data/raw/mte/CAGEDMOV202312.7z,already_present,43449338,
new_caged_2024_01,C:/Users/Usuario/OneDrive/Papers/2026/Ruptura Institucional de Governadores/data/raw/mte/CAGEDMOV202401.7z,already_present,50252445,
new_caged_2024_02,C:/Users/Usuario/OneDrive/Papers/2026/Ruptura Institucional de Governadores/data/raw/mte/CAGEDMOV202402.7z,already_present,53343727,
new_caged_2024_03,C:/Users/Usuario/OneDrive/Papers/2026/Ruptura Institucional de Governadores/data/raw/mte/CAGEDMOV202403.7z,downloaded,54276556,
new_caged_2024_04,C:/Users/Usuario/OneDrive/Papers/2026/Ruptura Institucional de Governadores/data/raw/mte/CAGEDMOV202404.7z,downloaded,54334120,
new_caged_2024_05,C:/Users/Usuario/OneDrive/Papers/2026/Ruptura Institucional de Governadores/data/raw/mte/CAGEDMOV202405.7z,downloaded,52013075,
new_caged_2024_06,C:/Users/Usuario/OneDrive/Papers/2026/Ruptura Institucional de Governadores/data/raw/mte/CAGEDMOV202406.7z,already_present,50057151,
new_caged_2024_07,C:/Users/Usuario/OneDrive/Papers/2026/Ruptura Institucional de Governadores/data/raw/mte/CAGEDMOV202407.7z,already_present,53309299,
new_caged_2024_08,C:/Users/Usuario/OneDrive/Papers/2026/Ruptura Institucional de Governadores/data/raw/mte/CAGEDMOV202408.7z,already_present,53870229,
new_caged_2024_09,C:/Users/Usuario/OneDrive/Papers/2026/Ruptura Institucional de Governadores/data/raw/mte/CAGEDMOV202409.7z,already_present,51790288,
new_caged_2024_10,C:/Users/Usuario/OneDrive/Papers/2026/Ruptura Institucional de Governadores/data/raw/mte/CAGEDMOV202410.7z,already_present,54686311,
