target_path,status,bytes,error_message
C:/Users/yuri.silva/OneDrive/Trabalho - UFRR/Papers/paper-governor-removal-impacts/data/raw/mte/CAGEDEST_AJUSTES_2007.7z,downloaded,15008605,
C:/Users/yuri.silva/OneDrive/Trabalho - UFRR/Papers/paper-governor-removal-impacts/data/raw/mte/CAGEDEST_AJUSTES_2008.7z,downloaded,17510755,
C:/Users/yuri.silva/OneDrive/Trabalho - UFRR/Papers/paper-governor-removal-impacts/data/raw/mte/CAGEDEST_AJUSTES_2009.7z,already_present,19882682,
C:/Users/yuri.silva/OneDrive/Trabalho - UFRR/Papers/paper-governor-removal-impacts/data/raw/mte/CAGEDEST_AJUSTES_012010.7z,downloaded,2121653,
C:/Users/yuri.silva/OneDrive/Trabalho - UFRR/Papers/paper-governor-removal-impacts/data/raw/mte/CAGEDEST_AJUSTES_022010.7z,downloaded,3191990,
C:/Users/yuri.silva/OneDrive/Trabalho - UFRR/Papers/paper-governor-removal-impacts/data/raw/mte/CAGEDEST_AJUSTES_032010.7z,downloaded,2192125,
C:/Users/yuri.silva/OneDrive/Trabalho - UFRR/Papers/paper-governor-removal-impacts/data/raw/mte/CAGEDEST_AJUSTES_042010.7z,downloaded,2349204,
C:/Users/yuri.silva/OneDrive/Trabalho - UFRR/Papers/paper-governor-removal-impacts/data/raw/mte/CAGEDEST_AJUSTES_052010.7z,downloaded,1911304,
C:/Users/yuri.silva/OneDrive/Trabalho - UFRR/Papers/paper-governor-removal-impacts/data/raw/mte/CAGEDEST_AJUSTES_062010.7z,downloaded,1785157,
C:/Users/yuri.silva/OneDrive/Trabalho - UFRR/Papers/paper-governor-removal-impacts/data/raw/mte/CAGEDEST_AJUSTES_072010.7z,downloaded,1975486,
C:/Users/yuri.silva/OneDrive/Trabalho - UFRR/Papers/paper-governor-removal-impacts/data/raw/mte/CAGEDEST_AJUSTES_082010.7z,downloaded,1689411,
C:/Users/yuri.silva/OneDrive/Trabalho - UFRR/Papers/paper-governor-removal-impacts/data/raw/mte/CAGEDEST_AJUSTES_092010.7z,downloaded,1983229,
C:/Users/yuri.silva/OneDrive/Trabalho - UFRR/Papers/paper-governor-removal-impacts/data/raw/mte/CAGEDEST_AJUSTES_102010.7z,downloaded,1922197,
C:/Users/yuri.silva/OneDrive/Trabalho - UFRR/Papers/paper-governor-removal-impacts/data/raw/mte/CAGEDEST_AJUSTES_112010.7z,downloaded,1470501,
C:/Users/yuri.silva/OneDrive/Trabalho - UFRR/Papers/paper-governor-removal-impacts/data/raw/mte/CAGEDEST_AJUSTES_122010.7z,downloaded,1397627,
C:/Users/yuri.silva/OneDrive/Trabalho - UFRR/Papers/paper-governor-removal-impacts/data/raw/mte/CAGEDEST_AJUSTES_012011.7z,downloaded,2234089,
C:/Users/yuri.silva/OneDrive/Trabalho - UFRR/Papers/paper-governor-removal-impacts/data/raw/mte/CAGEDEST_AJUSTES_022011.7z,downloaded,2098850,
C:/Users/yuri.silva/OneDrive/Trabalho - UFRR/Papers/paper-governor-removal-impacts/data/raw/mte/CAGEDEST_AJUSTES_032011.7z,downloaded,3030789,
C:/Users/yuri.silva/OneDrive/Trabalho - UFRR/Papers/paper-governor-removal-impacts/data/raw/mte/CAGEDEST_AJUSTES_042011.7z,downloaded,1822555,
C:/Users/yuri.silva/OneDrive/Trabalho - UFRR/Papers/paper-governor-removal-impacts/data/raw/mte/CAGEDEST_AJUSTES_052011.7z,downloaded,2431223,
C:/Users/yuri.silva/OneDrive/Trabalho - UFRR/Papers/paper-governor-removal-impacts/data/raw/mte/CAGEDEST_AJUSTES_062011.7z,downloaded,1732173,
C:/Users/yuri.silva/OneDrive/Trabalho - UFRR/Papers/paper-governor-removal-impacts/data/raw/mte/CAGEDEST_AJUSTES_072011.7z,downloaded,2057177,
C:/Users/yuri.silva/OneDrive/Trabalho - UFRR/Papers/paper-governor-removal-impacts/data/raw/mte/CAGEDEST_AJUSTES_082011.7z,downloaded,2011813,
C:/Users/yuri.silva/OneDrive/Trabalho - UFRR/Papers/paper-governor-removal-impacts/data/raw/mte/CAGEDEST_AJUSTES_092011.7z,downloaded,2240651,
C:/Users/yuri.silva/OneDrive/Trabalho - UFRR/Papers/paper-governor-removal-impacts/data/raw/mte/CAGEDEST_AJUSTES_102011.7z,downloaded,1817346,
C:/Users/yuri.silva/OneDrive/Trabalho - UFRR/Papers/paper-governor-removal-impacts/data/raw/mte/CAGEDEST_AJUSTES_112011.7z,downloaded,1633600,
C:/Users/yuri.silva/OneDrive/Trabalho - UFRR/Papers/paper-governor-removal-impacts/data/raw/mte/CAGEDEST_AJUSTES_122011.7z,downloaded,1646759,
C:/Users/yuri.silva/OneDrive/Trabalho - UFRR/Papers/paper-governor-removal-impacts/data/raw/mte/CAGEDEST_AJUSTES_012012.7z,downloaded,1316365,
C:/Users/yuri.silva/OneDrive/Trabalho - UFRR/Papers/paper-governor-removal-impacts/data/raw/mte/CAGEDEST_AJUSTES_022012.7z,downloaded,1871836,
C:/Users/yuri.silva/OneDrive/Trabalho - UFRR/Papers/paper-governor-removal-impacts/data/raw/mte/CAGEDEST_AJUSTES_032012.7z,downloaded,1990847,
C:/Users/yuri.silva/OneDrive/Trabalho - UFRR/Papers/paper-governor-removal-impacts/data/raw/mte/CAGEDEST_AJUSTES_042012.7z,downloaded,2485744,
C:/Users/yuri.silva/OneDrive/Trabalho - UFRR/Papers/paper-governor-removal-impacts/data/raw/mte/CAGEDEST_AJUSTES_052012.7z,downloaded,1791625,
C:/Users/yuri.silva/OneDrive/Trabalho - UFRR/Papers/paper-governor-removal-impacts/data/raw/mte/CAGEDEST_AJUSTES_062012.7z,downloaded,2338413,
C:/Users/yuri.silva/OneDrive/Trabalho - UFRR/Papers/paper-governor-removal-impacts/data/raw/mte/CAGEDEST_AJUSTES_072012.7z,downloaded,1861567,
C:/Users/yuri.silva/OneDrive/Trabalho - UFRR/Papers/paper-governor-removal-impacts/data/raw/mte/CAGEDEST_AJUSTES_082012.7z,downloaded,1997702,
C:/Users/yuri.silva/OneDrive/Trabalho - UFRR/Papers/paper-governor-removal-impacts/data/raw/mte/CAGEDEST_AJUSTES_092012.7z,downloaded,1897886,
C:/Users/yuri.silva/OneDrive/Trabalho - UFRR/Papers/paper-governor-removal-impacts/data/raw/mte/CAGEDEST_AJUSTES_102012.7z,downloaded,1811383,
C:/Users/yuri.silva/OneDrive/Trabalho - UFRR/Papers/paper-governor-removal-impacts/data/raw/mte/CAGEDEST_AJUSTES_112012.7z,downloaded,1931304,
C:/Users/yuri.silva/OneDrive/Trabalho - UFRR/Papers/paper-governor-removal-impacts/data/raw/mte/CAGEDEST_AJUSTES_122012.7z,downloaded,1343942,
C:/Users/yuri.silva/OneDrive/Trabalho - UFRR/Papers/paper-governor-removal-impacts/data/raw/mte/CAGEDEST_AJUSTES_012013.7z,downloaded,2347461,
C:/Users/yuri.silva/OneDrive/Trabalho - UFRR/Papers/paper-governor-removal-impacts/data/raw/mte/CAGEDEST_AJUSTES_022013.7z,downloaded,1542968,
C:/Users/yuri.silva/OneDrive/Trabalho - UFRR/Papers/paper-governor-removal-impacts/data/raw/mte/CAGEDEST_AJUSTES_032013.7z,downloaded,1812480,
C:/Users/yuri.silva/OneDrive/Trabalho - UFRR/Papers/paper-governor-removal-impacts/data/raw/mte/CAGEDEST_AJUSTES_042013.7z,downloaded,2439230,
C:/Users/yuri.silva/OneDrive/Trabalho - UFRR/Papers/paper-governor-removal-impacts/data/raw/mte/CAGEDEST_AJUSTES_052013.7z,downloaded,1992417,
C:/Users/yuri.silva/OneDrive/Trabalho - UFRR/Papers/paper-governor-removal-impacts/data/raw/mte/CAGEDEST_AJUSTES_062013.7z,downloaded,2121594,
C:/Users/yuri.silva/OneDrive/Trabalho - UFRR/Papers/paper-governor-removal-impacts/data/raw/mte/CAGEDEST_AJUSTES_072013.7z,downloaded,2082900,
C:/Users/yuri.silva/OneDrive/Trabalho - UFRR/Papers/paper-governor-removal-impacts/data/raw/mte/CAGEDEST_AJUSTES_082013.7z,downloaded,2231137,
C:/Users/yuri.silva/OneDrive/Trabalho - UFRR/Papers/paper-governor-removal-impacts/data/raw/mte/CAGEDEST_AJUSTES_092013.7z,downloaded,1969803,
C:/Users/yuri.silva/OneDrive/Trabalho - UFRR/Papers/paper-governor-removal-impacts/data/raw/mte/CAGEDEST_AJUSTES_102013.7z,downloaded,2265475,
C:/Users/yuri.silva/OneDrive/Trabalho - UFRR/Papers/paper-governor-removal-impacts/data/raw/mte/CAGEDEST_AJUSTES_112013.7z,downloaded,1543526,
C:/Users/yuri.silva/OneDrive/Trabalho - UFRR/Papers/paper-governor-removal-impacts/data/raw/mte/CAGEDEST_AJUSTES_122013.7z,downloaded,1690325,
C:/Users/yuri.silva/OneDrive/Trabalho - UFRR/Papers/paper-governor-removal-impacts/data/raw/mte/CAGEDEST_AJUSTES_012014.7z,downloaded,3846552,
C:/Users/yuri.silva/OneDrive/Trabalho - UFRR/Papers/paper-governor-removal-impacts/data/raw/mte/CAGEDEST_AJUSTES_022014.7z,downloaded,1949284,
C:/Users/yuri.silva/OneDrive/Trabalho - UFRR/Papers/paper-governor-removal-impacts/data/raw/mte/CAGEDEST_AJUSTES_032014.7z,downloaded,2552987,
C:/Users/yuri.silva/OneDrive/Trabalho - UFRR/Papers/paper-governor-removal-impacts/data/raw/mte/CAGEDEST_AJUSTES_042014.7z,downloaded,1032842,
C:/Users/yuri.silva/OneDrive/Trabalho - UFRR/Papers/paper-governor-removal-impacts/data/raw/mte/CAGEDEST_AJUSTES_052014.7z,downloaded,1898620,
C:/Users/yuri.silva/OneDrive/Trabalho - UFRR/Papers/paper-governor-removal-impacts/data/raw/mte/CAGEDEST_AJUSTES_062014.7z,downloaded,1924465,
C:/Users/yuri.silva/OneDrive/Trabalho - UFRR/Papers/paper-governor-removal-impacts/data/raw/mte/CAGEDEST_AJUSTES_072014.7z,downloaded,1997705,
C:/Users/yuri.silva/OneDrive/Trabalho - UFRR/Papers/paper-governor-removal-impacts/data/raw/mte/CAGEDEST_AJUSTES_082014.7z,downloaded,1860056,
C:/Users/yuri.silva/OneDrive/Trabalho - UFRR/Papers/paper-governor-removal-impacts/data/raw/mte/CAGEDEST_AJUSTES_092014.7z,downloaded,2520268,
C:/Users/yuri.silva/OneDrive/Trabalho - UFRR/Papers/paper-governor-removal-impacts/data/raw/mte/CAGEDEST_AJUSTES_102014.7z,downloaded,1864530,
C:/Users/yuri.silva/OneDrive/Trabalho - UFRR/Papers/paper-governor-removal-impacts/data/raw/mte/CAGEDEST_AJUSTES_112014.7z,downloaded,1766101,
C:/Users/yuri.silva/OneDrive/Trabalho - UFRR/Papers/paper-governor-removal-impacts/data/raw/mte/CAGEDEST_AJUSTES_122014.7z,downloaded,1427452,
C:/Users/yuri.silva/OneDrive/Trabalho - UFRR/Papers/paper-governor-removal-impacts/data/raw/mte/CAGEDEST_AJUSTES_012015.7z,downloaded,1923363,
C:/Users/yuri.silva/OneDrive/Trabalho - UFRR/Papers/paper-governor-removal-impacts/data/raw/mte/CAGEDEST_AJUSTES_022015.7z,downloaded,1321274,
C:/Users/yuri.silva/OneDrive/Trabalho - UFRR/Papers/paper-governor-removal-impacts/data/raw/mte/CAGEDEST_AJUSTES_032015.7z,downloaded,2057091,
C:/Users/yuri.silva/OneDrive/Trabalho - UFRR/Papers/paper-governor-removal-impacts/data/raw/mte/CAGEDEST_AJUSTES_042015.7z,downloaded,2107178,
C:/Users/yuri.silva/OneDrive/Trabalho - UFRR/Papers/paper-governor-removal-impacts/data/raw/mte/CAGEDEST_AJUSTES_052015.7z,downloaded,2032374,
C:/Users/yuri.silva/OneDrive/Trabalho - UFRR/Papers/paper-governor-removal-impacts/data/raw/mte/CAGEDEST_AJUSTES_062015.7z,downloaded,2179432,
C:/Users/yuri.silva/OneDrive/Trabalho - UFRR/Papers/paper-governor-removal-impacts/data/raw/mte/CAGEDEST_AJUSTES_072015.7z,downloaded,1561725,
C:/Users/yuri.silva/OneDrive/Trabalho - UFRR/Papers/paper-governor-removal-impacts/data/raw/mte/CAGEDEST_AJUSTES_082015.7z,downloaded,1703545,
C:/Users/yuri.silva/OneDrive/Trabalho - UFRR/Papers/paper-governor-removal-impacts/data/raw/mte/CAGEDEST_AJUSTES_092015.7z,downloaded,1308877,
C:/Users/yuri.silva/OneDrive/Trabalho - UFRR/Papers/paper-governor-removal-impacts/data/raw/mte/CAGEDEST_AJUSTES_102015.7z,downloaded,1517960,
C:/Users/yuri.silva/OneDrive/Trabalho - UFRR/Papers/paper-governor-removal-impacts/data/raw/mte/CAGEDEST_AJUSTES_112015.7z,downloaded,1662335,
C:/Users/yuri.silva/OneDrive/Trabalho - UFRR/Papers/paper-governor-removal-impacts/data/raw/mte/CAGEDEST_AJUSTES_122015.7z,downloaded,1433871,
C:/Users/yuri.silva/OneDrive/Trabalho - UFRR/Papers/paper-governor-removal-impacts/data/raw/mte/CAGEDEST_AJUSTES_012016.7z,downloaded,1288283,
C:/Users/yuri.silva/OneDrive/Trabalho - UFRR/Papers/paper-governor-removal-impacts/data/raw/mte/CAGEDEST_AJUSTES_022016.7z,downloaded,986869,
C:/Users/yuri.silva/OneDrive/Trabalho - UFRR/Papers/paper-governor-removal-impacts/data/raw/mte/CAGEDEST_AJUSTES_032016.7z,downloaded,1602703,
C:/Users/yuri.silva/OneDrive/Trabalho - UFRR/Papers/paper-governor-removal-impacts/data/raw/mte/CAGEDEST_AJUSTES_042016.7z,downloaded,1462329,
C:/Users/yuri.silva/OneDrive/Trabalho - UFRR/Papers/paper-governor-removal-impacts/data/raw/mte/CAGEDEST_AJUSTES_052016.7z,downloaded,1344755,
C:/Users/yuri.silva/OneDrive/Trabalho - UFRR/Papers/paper-governor-removal-impacts/data/raw/mte/CAGEDEST_AJUSTES_062016.7z,downloaded,1604144,
C:/Users/yuri.silva/OneDrive/Trabalho - UFRR/Papers/paper-governor-removal-impacts/data/raw/mte/CAGEDEST_AJUSTES_072016.7z,downloaded,1003781,
C:/Users/yuri.silva/OneDrive/Trabalho - UFRR/Papers/paper-governor-removal-impacts/data/raw/mte/CAGEDEST_AJUSTES_082016.7z,downloaded,1064754,
C:/Users/yuri.silva/OneDrive/Trabalho - UFRR/Papers/paper-governor-removal-impacts/data/raw/mte/CAGEDEST_AJUSTES_092016.7z,downloaded,928988,
C:/Users/yuri.silva/OneDrive/Trabalho - UFRR/Papers/paper-governor-removal-impacts/data/raw/mte/CAGEDEST_AJUSTES_102016.7z,downloaded,1079370,
C:/Users/yuri.silva/OneDrive/Trabalho - UFRR/Papers/paper-governor-removal-impacts/data/raw/mte/CAGEDEST_AJUSTES_112016.7z,downloaded,871622,
C:/Users/yuri.silva/OneDrive/Trabalho - UFRR/Papers/paper-governor-removal-impacts/data/raw/mte/CAGEDEST_AJUSTES_122016.7z,downloaded,718103,
C:/Users/yuri.silva/OneDrive/Trabalho - UFRR/Papers/paper-governor-removal-impacts/data/raw/mte/CAGEDEST_AJUSTES_012017.7z,downloaded,1205518,
C:/Users/yuri.silva/OneDrive/Trabalho - UFRR/Papers/paper-governor-removal-impacts/data/raw/mte/CAGEDEST_AJUSTES_022017.7z,downloaded,562201,
