competencia,year,month,state_abbrev,formal_hiring_balance,n_records,source_series,query_scope
200805,2008,5,AC,816,3414,old_caged_basedosdados_microdados_antigos,failed_months
200805,2008,5,AL,-7645,20085,old_caged_basedosdados_microdados_antigos,failed_months
200805,2008,5,AM,2041,28573,old_caged_basedosdados_microdados_antigos,failed_months
200805,2008,5,AP,214,3276,old_caged_basedosdados_microdados_antigos,failed_months
200805,2008,5,BA,13619,100579,old_caged_basedosdados_microdados_antigos,failed_months
200805,2008,5,CE,3510,50844,old_caged_basedosdados_microdados_antigos,failed_months
200805,2008,5,DF,772,40278,old_caged_basedosdados_microdados_antigos,failed_months
200805,2008,5,ES,11004,71642,old_caged_basedosdados_microdados_antigos,failed_months
200805,2008,5,GO,6482,87134,old_caged_basedosdados_microdados_antigos,failed_months
200805,2008,5,MA,1705,21227,old_caged_basedosdados_microdados_antigos,failed_months
200805,2008,5,MG,37968,326842,old_caged_basedosdados_microdados_antigos,failed_months
200805,2008,5,MS,3326,40366,old_caged_basedosdados_microdados_antigos,failed_months
200805,2008,5,MT,2882,51568,old_caged_basedosdados_microdados_antigos,failed_months
200805,2008,5,PA,2050,41942,old_caged_basedosdados_microdados_antigos,failed_months
200805,2008,5,PB,632,13726,old_caged_basedosdados_microdados_antigos,failed_months
200805,2008,5,PE,4361,55745,old_caged_basedosdados_microdados_antigos,failed_months
200805,2008,5,PI,1910,10430,old_caged_basedosdados_microdados_antigos,failed_months
200805,2008,5,PR,16739,189285,old_caged_basedosdados_microdados_antigos,failed_months
200805,2008,5,RJ,16195,205805,old_caged_basedosdados_microdados_antigos,failed_months
200805,2008,5,RN,851,23385,old_caged_basedosdados_microdados_antigos,failed_months
200805,2008,5,RO,129,15489,old_caged_basedosdados_microdados_antigos,failed_months
200805,2008,5,RR,-299,2125,old_caged_basedosdados_microdados_antigos,failed_months
200805,2008,5,RS,2296,176080,old_caged_basedosdados_microdados_antigos,failed_months
200805,2008,5,SC,4183,145093,old_caged_basedosdados_microdados_antigos,failed_months
200805,2008,5,SE,174,13916,old_caged_basedosdados_microdados_antigos,failed_months
200805,2008,5,SP,75734,827486,old_caged_basedosdados_microdados_antigos,failed_months
200805,2008,5,TO,1335,9859,old_caged_basedosdados_microdados_antigos,failed_months
200808,2008,8,AC,346,3362,old_caged_basedosdados_microdados_antigos,failed_months
200808,2008,8,AL,1506,14520,old_caged_basedosdados_microdados_antigos,failed_months
200808,2008,8,AM,4634,32780,old_caged_basedosdados_microdados_antigos,failed_months
200808,2008,8,AP,384,4428,old_caged_basedosdados_microdados_antigos,failed_months
200808,2008,8,BA,4793,103319,old_caged_basedosdados_microdados_antigos,failed_months
200808,2008,8,CE,9947,57273,old_caged_basedosdados_microdados_antigos,failed_months
200808,2008,8,DF,4266,43596,old_caged_basedosdados_microdados_antigos,failed_months
200808,2008,8,ES,3520,64290,old_caged_basedosdados_microdados_antigos,failed_months
200808,2008,8,GO,6962,87330,old_caged_basedosdados_microdados_antigos,failed_months
200808,2008,8,MA,4815,24515,old_caged_basedosdados_microdados_antigos,failed_months
200808,2008,8,MG,19770,352560,old_caged_basedosdados_microdados_antigos,failed_months
200808,2008,8,MS,1562,39220,old_caged_basedosdados_microdados_antigos,failed_months
200808,2008,8,MT,2971,54991,old_caged_basedosdados_microdados_antigos,failed_months
200808,2008,8,PA,5939,49629,old_caged_basedosdados_microdados_antigos,failed_months
200808,2008,8,PB,8191,22427,old_caged_basedosdados_microdados_antigos,failed_months
200808,2008,8,PE,13367,65683,old_caged_basedosdados_microdados_antigos,failed_months
200808,2008,8,PI,2118,12506,old_caged_basedosdados_microdados_antigos,failed_months
200808,2008,8,PR,14695,201113,old_caged_basedosdados_microdados_antigos,failed_months
200808,2008,8,RJ,17565,218189,old_caged_basedosdados_microdados_antigos,failed_months
200808,2008,8,RN,7160,31476,old_caged_basedosdados_microdados_antigos,failed_months
200808,2008,8,RO,1362,16230,old_caged_basedosdados_microdados_antigos,failed_months
