year,bimester,uf,annex_name,no_anexo,rows,status,error_message,downloaded_at
2015,1,11,annex01,RREO-Anexo 01,390,downloaded,,2026-05-28
2015,1,11,annex02,RREO-Anexo 02,836,downloaded,,2026-05-28
2015,1,11,annex06,RREO-Anexo 06,149,downloaded,,2026-05-28
2015,1,12,annex01,RREO-Anexo 01,459,downloaded,,2026-05-28
2015,1,12,annex02,RREO-Anexo 02,1124,downloaded,,2026-05-28
2015,1,12,annex06,RREO-Anexo 06,150,downloaded,,2026-05-28
2015,1,13,annex01,RREO-Anexo 01,505,downloaded,,2026-05-28
2015,1,13,annex02,RREO-Anexo 02,1254,downloaded,,2026-05-28
2015,1,13,annex06,RREO-Anexo 06,168,downloaded,,2026-05-28
2015,1,14,annex01,RREO-Anexo 01,435,downloaded,,2026-05-28
2015,1,14,annex02,RREO-Anexo 02,829,downloaded,,2026-05-28
2015,1,14,annex06,RREO-Anexo 06,129,downloaded,,2026-05-28
2015,1,15,annex01,RREO-Anexo 01,464,downloaded,,2026-05-28
2015,1,15,annex02,RREO-Anexo 02,1344,downloaded,,2026-05-28
2015,1,15,annex06,RREO-Anexo 06,167,downloaded,,2026-05-28
2015,1,16,annex01,RREO-Anexo 01,392,downloaded,,2026-05-28
2015,1,16,annex02,RREO-Anexo 02,855,downloaded,,2026-05-28
2015,1,16,annex06,RREO-Anexo 06,137,downloaded,,2026-05-28
2015,1,17,annex01,RREO-Anexo 01,434,downloaded,,2026-05-28
2015,1,17,annex02,RREO-Anexo 02,1028,downloaded,,2026-05-28
2015,1,17,annex06,RREO-Anexo 06,167,downloaded,,2026-05-28
2015,1,21,annex01,RREO-Anexo 01,306,downloaded,,2026-05-28
2015,1,21,annex02,RREO-Anexo 02,1101,downloaded,,2026-05-28
2015,1,21,annex06,RREO-Anexo 06,140,downloaded,,2026-05-28
2015,1,22,annex01,RREO-Anexo 01,418,downloaded,,2026-05-28
2015,1,22,annex02,RREO-Anexo 02,869,downloaded,,2026-05-28
2015,1,22,annex06,RREO-Anexo 06,156,downloaded,,2026-05-28
2015,1,23,annex01,RREO-Anexo 01,486,downloaded,,2026-05-28
2015,1,23,annex02,RREO-Anexo 02,1198,downloaded,,2026-05-28
2015,1,23,annex06,RREO-Anexo 06,157,downloaded,,2026-05-28
2015,1,24,annex01,RREO-Anexo 01,426,downloaded,,2026-05-28
2015,1,24,annex02,RREO-Anexo 02,995,downloaded,,2026-05-28
2015,1,24,annex06,RREO-Anexo 06,155,downloaded,,2026-05-28
2015,1,25,annex01,RREO-Anexo 01,518,downloaded,,2026-05-28
2015,1,25,annex02,RREO-Anexo 02,1198,downloaded,,2026-05-28
2015,1,25,annex06,RREO-Anexo 06,162,downloaded,,2026-05-28
2015,1,26,annex01,RREO-Anexo 01,586,downloaded,,2026-05-28
2015,1,26,annex02,RREO-Anexo 02,1310,downloaded,,2026-05-28
2015,1,26,annex06,RREO-Anexo 06,165,downloaded,,2026-05-28
2015,1,27,annex01,RREO-Anexo 01,288,downloaded,,2026-05-28
2015,1,27,annex02,RREO-Anexo 02,997,downloaded,,2026-05-28
2015,1,27,annex06,RREO-Anexo 06,117,downloaded,,2026-05-28
2015,1,28,annex01,RREO-Anexo 01,417,downloaded,,2026-05-28
2015,1,28,annex02,RREO-Anexo 02,1132,downloaded,,2026-05-28
2015,1,28,annex06,RREO-Anexo 06,147,downloaded,,2026-05-28
2015,1,29,annex01,RREO-Anexo 01,483,downloaded,,2026-05-28
2015,1,29,annex02,RREO-Anexo 02,1316,downloaded,,2026-05-28
2015,1,29,annex06,RREO-Anexo 06,163,downloaded,,2026-05-28
2015,1,31,annex01,RREO-Anexo 01,303,downloaded,,2026-05-28
2015,1,31,annex02,RREO-Anexo 02,868,downloaded,,2026-05-28
2015,1,31,annex06,RREO-Anexo 06,119,downloaded,,2026-05-28
2015,1,32,annex01,RREO-Anexo 01,550,downloaded,,2026-05-28
2015,1,32,annex02,RREO-Anexo 02,1154,downloaded,,2026-05-28
2015,1,32,annex06,RREO-Anexo 06,162,downloaded,,2026-05-28
2015,1,33,annex01,RREO-Anexo 01,590,downloaded,,2026-05-28
2015,1,33,annex02,RREO-Anexo 02,1230,downloaded,,2026-05-28
2015,1,33,annex06,RREO-Anexo 06,171,downloaded,,2026-05-28
2015,1,35,annex01,RREO-Anexo 01,605,downloaded,,2026-05-28
2015,1,35,annex02,RREO-Anexo 02,1332,downloaded,,2026-05-28
2015,1,35,annex06,RREO-Anexo 06,165,downloaded,,2026-05-28
2015,1,41,annex01,RREO-Anexo 01,489,downloaded,,2026-05-28
2015,1,41,annex02,RREO-Anexo 02,1013,downloaded,,2026-05-28
2015,1,41,annex06,RREO-Anexo 06,164,downloaded,,2026-05-28
2015,1,42,annex01,RREO-Anexo 01,582,downloaded,,2026-05-28
2015,1,42,annex02,RREO-Anexo 02,1163,downloaded,,2026-05-28
2015,1,42,annex06,RREO-Anexo 06,165,downloaded,,2026-05-28
2015,1,43,annex01,RREO-Anexo 01,526,downloaded,,2026-05-28
2015,1,43,annex02,RREO-Anexo 02,1146,downloaded,,2026-05-28
2015,1,43,annex06,RREO-Anexo 06,163,downloaded,,2026-05-28
2015,1,50,annex01,RREO-Anexo 01,473,downloaded,,2026-05-28
2015,1,50,annex02,RREO-Anexo 02,967,downloaded,,2026-05-28
2015,1,50,annex06,RREO-Anexo 06,158,downloaded,,2026-05-28
2015,1,51,annex01,RREO-Anexo 01,503,downloaded,,2026-05-28
2015,1,51,annex02,RREO-Anexo 02,1086,downloaded,,2026-05-28
2015,1,51,annex06,RREO-Anexo 06,167,downloaded,,2026-05-28
2015,1,52,annex01,RREO-Anexo 01,465,downloaded,,2026-05-28
2015,1,52,annex02,RREO-Anexo 02,1047,downloaded,,2026-05-28
2015,1,52,annex06,RREO-Anexo 06,164,downloaded,,2026-05-28
2015,1,53,annex01,RREO-Anexo 01,431,downloaded,,2026-05-28
2015,1,53,annex02,RREO-Anexo 02,1088,downloaded,,2026-05-28
2015,1,53,annex06,RREO-Anexo 06,162,downloaded,,2026-05-28
2015,2,11,annex01,RREO-Anexo 01,453,downloaded,,2026-05-28
2015,2,11,annex02,RREO-Anexo 02,881,downloaded,,2026-05-28
2015,2,11,annex06,RREO-Anexo 06,157,downloaded,,2026-05-28
2015,2,12,annex01,RREO-Anexo 01,478,downloaded,,2026-05-28
2015,2,12,annex02,RREO-Anexo 02,1167,downloaded,,2026-05-28
2015,2,12,annex06,RREO-Anexo 06,153,downloaded,,2026-05-28
2015,2,13,annex01,RREO-Anexo 01,537,downloaded,,2026-05-28
2015,2,13,annex02,RREO-Anexo 02,1287,downloaded,,2026-05-28
2015,2,13,annex06,RREO-Anexo 06,170,downloaded,,2026-05-28
2015,2,14,annex01,RREO-Anexo 01,425,downloaded,,2026-05-28
