donor_state,scm_weight,outcome
RN,0.48535183675328386,Retail volume
CE,0.15121995003387054,Retail volume
PI,0.11438282620100824,Retail volume
MT,0.08978485140984553,Retail volume
AC,0.06120590788872602,Retail volume
CE,0.39599110435858265,Services volume
MG,0.2789693753830436,Services volume
PE,0.2738608165534011,Services volume
AC,0.05117870370497158,Services volume
SE,3.1037399008377064e-16,Services volume
SE,0.443646291492959,Formal hiring
BA,0.29347222138208934,Formal hiring
RN,0.1940906614146772,Formal hiring
MT,0.03504715344246059,Formal hiring
GO,0.02114621601202119,Formal hiring
PA,0.18818230378270911,Construction
PB,0.1797052114567983,Construction
AM,0.16744054143574588,Construction
ES,0.15443892101724457,Construction
MA,0.1239165772226059,Construction
RN,0.456072939714524,ICMS
SE,0.3962254823463019,ICMS
MA,0.14770157793917235,ICMS
AM,4.742193864035583e-16,ICMS
PA,2.5865538663740317e-16,ICMS
RN,0.36349140529442114,Tax revenue
SE,0.3633760459928088,Tax revenue
MA,0.2467698134139995,Tax revenue
PB,0.02636273529876982,Tax revenue
MS,2.0830887739790935e-16,Tax revenue
ES,0.26530997947633245,Public investment
PI,0.2358746524237284,Public investment
MS,0.18739344342626296,Public investment
MA,0.1571806632708695,Public investment
MT,0.08930154236786393,Public investment
PB,0.492094928732859,Total expenditure
PE,0.15879210713314992,Total expenditure
BA,0.14583194113512055,Total expenditure
RN,0.1020084574196647,Total expenditure
SE,0.10127256557920584,Total expenditure
