pseudo_treated_state,outcome,channel_slug,period_date,analysis_period,augmented_gap
AC,retail,consumption,2019-10-01,pre,-5.2498922856671015
AC,retail,consumption,2019-11-01,pre,-1.6919842019804179
AC,retail,consumption,2019-12-01,pre,4.617217019316257
AC,retail,consumption,2020-01-01,pre,-0.9771663577527221
AC,retail,consumption,2020-02-01,pre,4.1509066228834826
AC,retail,consumption,2020-03-01,pre,5.96518028782468
AC,retail,consumption,2020-04-01,pre,13.465001529732106
AC,retail,consumption,2020-05-01,pre,11.339469626999716
AC,retail,consumption,2020-06-01,pre,-1.021553646207039
AC,retail,consumption,2020-07-01,pre,-3.5668729600820512
AC,retail,consumption,2020-08-01,pre,-2.21543553442514
AC,retail,consumption,2020-09-01,pre,-2.227785912419236
AC,retail,consumption,2020-10-01,pre,-1.8267031648873058
AC,retail,consumption,2020-11-01,pre,9.298666227429564
AC,retail,consumption,2020-12-01,pre,-4.722169728097612
AC,retail,consumption,2021-01-01,pre,2.0787516292037367
AC,retail,consumption,2021-02-01,pre,-11.261276995038898
AC,retail,consumption,2021-03-01,pre,10.067604496070345
AC,retail,consumption,2021-04-01,pre,-1.4019364106811167
AC,retail,consumption,2021-05-01,pre,-6.5792511438351795
AC,retail,consumption,2021-06-01,pre,0.5834654331980857
AC,retail,consumption,2021-07-01,pre,-3.6264447010832015
AC,retail,consumption,2021-08-01,pre,-0.98737345093501
AC,retail,consumption,2021-09-01,pre,-0.3297733114715129
AC,retail,consumption,2021-10-01,pre,3.727255940563424
AC,retail,consumption,2021-11-01,pre,3.398728811311315
AC,retail,consumption,2021-12-01,pre,1.7846695925858853
AC,retail,consumption,2022-01-01,pre,1.5154373474969276
AC,retail,consumption,2022-02-01,pre,-2.088341349133799
AC,retail,consumption,2022-03-01,pre,-0.5141096081873684
AC,retail,consumption,2022-04-01,pre,0.9288945255933214
AC,retail,consumption,2022-05-01,pre,0.9133372879454527
AC,retail,consumption,2022-06-01,pre,-1.5864709939919805
AC,retail,consumption,2022-07-01,pre,-0.5872009827237008
AC,retail,consumption,2022-08-01,pre,0.2650274242120645
AC,retail,consumption,2022-09-01,pre,0.7170786378724046
AC,retail,consumption,2022-10-01,post,-4.84055994808142
AC,retail,consumption,2022-11-01,post,-0.5243125968910789
AC,retail,consumption,2022-12-01,post,4.8604215937957065
AC,retail,consumption,2023-01-01,post,3.111510128412675
AC,retail,consumption,2023-02-01,post,3.1417525496529493
AC,retail,consumption,2023-03-01,post,2.725483245791807
AC,retail,consumption,2023-04-01,post,2.50902874275441
AC,retail,consumption,2023-05-01,post,5.776403318640774
AC,retail,consumption,2023-06-01,post,7.394676203518671
AC,retail,consumption,2023-07-01,post,6.972717757081796
AC,retail,consumption,2023-08-01,post,5.321027724264994
AC,retail,consumption,2023-09-01,post,2.9769321684958356
AC,retail,consumption,2023-10-01,post,2.6987046331333033
AC,retail,consumption,2023-11-01,post,1.1889090910331248
AC,retail,consumption,2023-12-01,post,-0.2559344379828872
AC,retail,consumption,2024-01-01,post,1.7784659202925042
AC,retail,consumption,2024-02-01,post,0.45065762486446204
AC,retail,consumption,2024-03-01,post,-0.5876293213106578
AC,retail,consumption,2024-04-01,post,-0.9779431315028404
AC,retail,consumption,2024-05-01,post,-4.941503538571851
AC,retail,consumption,2024-06-01,post,-5.79482083397383
AC,retail,consumption,2024-07-01,post,-4.006778775730282
AC,retail,consumption,2024-08-01,post,-5.201258905219078
AC,retail,consumption,2024-09-01,post,-1.119243232812579
AC,services,consumption,2019-10-01,pre,-4.167877667933396
AC,services,consumption,2019-11-01,pre,-0.7960257244187403
AC,services,consumption,2019-12-01,pre,2.455253262750901
AC,services,consumption,2020-01-01,pre,-2.093304947091468
AC,services,consumption,2020-02-01,pre,9.595579171531568
AC,services,consumption,2020-03-01,pre,0.23313829814999565
AC,services,consumption,2020-04-01,pre,-12.140565385699574
AC,services,consumption,2020-05-01,pre,-11.054622293312576
AC,services,consumption,2020-06-01,pre,0.7740796255246636
AC,services,consumption,2020-07-01,pre,-11.666973005684596
AC,services,consumption,2020-08-01,pre,-5.4937131424176755
AC,services,consumption,2020-09-01,pre,-4.082848979942227
AC,services,consumption,2020-10-01,pre,-5.9306528651950146
