dropped_donor,period_date,analysis_period,loo_gap
AC,2019-10-01,pre,0
AC,2019-11-01,pre,1.3643841942720343
AC,2019-12-01,pre,-3.229631476529633
AC,2020-01-01,pre,1.401676160828643
AC,2020-02-01,pre,2.4263047396506465
AC,2020-03-01,pre,-1.115014159729654
AC,2020-04-01,pre,-4.709704665807266
AC,2020-05-01,pre,-9.271957126341377
AC,2020-06-01,pre,-5.572989164282674
AC,2020-07-01,pre,-4.545624591920898
AC,2020-08-01,pre,-8.498794906130371
AC,2020-09-01,pre,-4.080339538200917
AC,2020-10-01,pre,-4.515072784098152
AC,2020-11-01,pre,-0.5355858344109663
AC,2020-12-01,pre,1.9070113837139786
AC,2021-01-01,pre,-7.6766981132456635
AC,2021-02-01,pre,-2.1097369031648725
AC,2021-03-01,pre,-0.5550322512781065
AC,2021-04-01,pre,-2.3846860835578525
AC,2021-05-01,pre,1.849228796317533
AC,2021-06-01,pre,1.4243122764097933
AC,2021-07-01,pre,4.7030611240830495
AC,2021-08-01,pre,6.941138690664317
AC,2021-09-01,pre,3.645952588249429
AC,2021-10-01,pre,2.4971230040808905
AC,2021-11-01,pre,5.539884184456923
AC,2021-12-01,pre,5.075432016824536
AC,2022-01-01,pre,7.49035751073302
AC,2022-02-01,pre,7.319683688676633
AC,2022-03-01,pre,9.006373857066919
AC,2022-04-01,pre,13.984229381441608
AC,2022-05-01,pre,3.5461177193806606
AC,2022-06-01,pre,2.771308797178193
AC,2022-07-01,pre,3.6784890216279535
AC,2022-08-01,pre,9.127960206842914
AC,2022-09-01,pre,16.890673438071488
AC,2022-10-01,post,11.417407764895785
AC,2022-11-01,post,4.004130081106723
AC,2022-12-01,post,8.72671151280781
AC,2023-01-01,post,7.489544310502794
AC,2023-02-01,post,7.6239496179733806
AC,2023-03-01,post,8.723369270500697
AC,2023-04-01,post,5.179912302660512
AC,2023-05-01,post,9.269508782558262
AC,2023-06-01,post,16.407896904090748
AC,2023-07-01,post,7.638768080066228
AC,2023-08-01,post,6.881877286589997
AC,2023-09-01,post,6.8187542037402125
AC,2023-10-01,post,9.093689688080403
AC,2023-11-01,post,0.7038510173174046
AC,2023-12-01,post,6.795628486348207
AC,2024-01-01,post,10.054387589814922
AC,2024-02-01,post,7.46944539930594
AC,2024-03-01,post,2.7369263885338313
