donor_state,scm_weight,outcome
GO,0.689682236229029,Retail volume
BA,0.16488249129825056,Retail volume
AC,0.08714251014868972,Retail volume
RO,0.03344773495613212,Retail volume
PE,0.01288715075672596,Retail volume
MA,0.6705063196105797,Services volume
MT,0.20730620968124833,Services volume
AP,0.1221874707081672,Services volume
RS,3.0298669876872797e-15,Services volume
CE,6.813622732572429e-16,Services volume
MG,0.3036179114151911,Formal hiring
PE,0.2630955223054478,Formal hiring
RO,0.167381746061907,Formal hiring
SP,0.1577710044207158,Formal hiring
AC,0.1081338157967381,Formal hiring
RS,0.4506314581026917,Construction
MS,0.15795274434583015,Construction
RN,0.11935436678509022,Construction
CE,0.06713603796631387,Construction
AL,0.06416623011904635,Construction
SP,0.38277965017245463,ICMS
PB,0.1926133617283739,ICMS
RO,0.17783349048402944,ICMS
AC,0.13425692898861932,ICMS
MA,0.10845398205136282,ICMS
SP,0.4216179384126392,Tax revenue
MA,0.23997880747362255,Tax revenue
AC,0.19251653232479937,Tax revenue
RO,0.0536360897840698,Tax revenue
PA,0.04772242736880394,Tax revenue
