period_date,analysis_period,treated_value,scm_synthetic_value,augmentation_correction,augmented_synthetic_value,scm_gap,augmented_gap,outcome
2014-05-01,pre,-50.108485729873,-62.17035464036824,-5.277435395752413,-67.44779003612065,12.061868910495235,17.339304306247648,formal_hiring
2014-06-01,pre,-41.3024824236835,-23.14870287160034,-0.6950406491370693,-23.84374352073741,-18.15377955208316,-17.45873890294609,formal_hiring
2014-07-01,pre,-37.8239494707526,-5.701358897356629,-1.6323273455225622,-7.333686242879191,-32.122590573395975,-30.490263227873413,formal_hiring
2014-08-01,pre,-43.3502654499781,-1.765387383986547,-2.9171557400464105,-4.682543124032957,-41.58487806599155,-38.66772232594515,formal_hiring
2014-09-01,pre,-27.5244885826333,-8.06478302480552,-4.579499493835142,-12.644282518640662,-19.459705557827782,-14.880206063992638,formal_hiring
2014-10-01,pre,-44.5980103358577,-34.72157235369753,-3.8142927044365744,-38.53586505813411,-9.87643798216017,-6.0621452777235945,formal_hiring
2014-11-01,pre,-11.2288087355757,-45.47094168488,-19.207039111617586,-64.6779807964976,34.242132949304306,53.449172060921896,formal_hiring
2014-12-01,pre,15.7403038605235,-27.28251501758426,14.56594913373043,-12.71656588385383,43.022818878107756,28.45686974437733,formal_hiring
2015-01-01,pre,-31.404103077287,-52.43804737121749,3.1649065813966133,-49.27314078982088,21.033944293930492,17.869037712533878,formal_hiring
2015-02-01,pre,-45.0853454686546,-51.36701183724958,-24.583762537939574,-75.95077437518916,6.281666368594976,30.865428906534554,formal_hiring
2015-03-01,pre,-42.546746031424,-43.19247605681277,-7.377900088409632,-50.570376145222404,0.6457300253887723,8.023630113798404,formal_hiring
2015-04-01,pre,-88.2364804512538,-113.10450634821319,-0.8043062902747212,-113.90881263848792,24.868025896959395,25.67233218723412,formal_hiring
2015-05-01,pre,-109.889118251573,-77.79106757213063,0.0011798207902704119,-77.78988775134036,-32.098050679442366,-32.099230500232636,formal_hiring
2015-06-01,pre,-107.307836493549,-97.71302700823024,-15.446214935394693,-113.15924194362493,-9.594809485318763,5.85140545007593,formal_hiring
2015-07-01,pre,-102.331725454333,-87.40818130569124,-0.2627031198170582,-87.6708844255083,-14.923544148641753,-14.660841028824692,formal_hiring
2015-08-01,pre,-90.6649335522765,-79.44418384150177,0.03614150411573959,-79.40804233738604,-11.220749710774726,-11.256891214890459,formal_hiring
2015-09-01,pre,-85.5788715716241,-80.66358926263578,-0.6673855710397415,-81.33097483367553,-4.915282308988324,-4.2478967379485795,formal_hiring
2015-10-01,pre,-124.018688254721,-86.3685198718025,1.9875846449995287,-84.38093522680298,-37.650168382918494,-39.63775302791802,formal_hiring
2015-11-01,pre,-97.7482075615162,-63.73736666674421,0.15320435799411145,-63.584162308750095,-34.01084089477199,-34.1640452527661,formal_hiring
2015-12-01,pre,-90.7237934690275,-77.11585739347777,4.787960183682332,-72.32789720979544,-13.60793607554973,-18.39589625923206,formal_hiring
2016-01-01,pre,-99.9230941836582,-64.35616315467956,3.673207524559675,-60.68295563011989,-35.56693102897863,-39.2401385535383,formal_hiring
2016-02-01,pre,-82.8908312482887,-104.84685813090354,1.7061494014628582,-103.14070872944069,21.956026882614836,20.249877481151984,formal_hiring
2016-03-01,pre,-79.3995375358842,-64.76226580188097,2.3307352502626175,-62.43153055161835,-14.637271734003235,-16.968006984265855,formal_hiring
2016-04-01,pre,-44.9077696363134,-58.779253798686085,2.391199843850625,-56.38805395483546,13.871484162372688,11.480284318522067,formal_hiring
2016-05-01,pre,-7.03628174254435,-52.485717705943685,11.1685978384904,-41.317119867453286,45.44943596339934,34.28083812490894,formal_hiring
2016-06-01,pre,-34.8947866753956,-35.240854092370725,-18.566793724742563,-53.80764781711329,0.34606741697512433,18.91286114171769,formal_hiring
2016-07-01,pre,-58.6739231160877,-34.72072424953916,0.6867508631364055,-34.03397338640276,-23.95319886654854,-24.639949729684943,formal_hiring
2016-08-01,pre,-13.6747690178175,-28.484899748846203,30.027811771094587,1.5429120222483839,14.810130731028703,-15.217681040065884,formal_hiring
2016-09-01,pre,-31.2426648576659,-59.05208404922428,29.26654903400367,-29.785535015220606,27.809419191558376,-1.457129842445294,formal_hiring
2016-10-01,pre,-22.0830897604584,-49.92501469201316,1.8462532097143804,-48.07876148229877,27.841924931554757,25.995671721840374,formal_hiring
2016-11-01,pre,-36.2377888244039,-61.704519297233446,26.32194254282578,-35.382576754407665,25.466730472829546,-0.8552120699962344,formal_hiring
2016-12-01,pre,-20.5756702597993,-38.459967436019994,10.716586799127901,-27.74338063689209,17.884297176220695,7.167710377092792,formal_hiring
2017-01-01,pre,-9.15580637487595,-53.07461066542308,1.5258953871855576,-51.54871527823752,43.91880429054713,42.39290890336157,formal_hiring
2017-02-01,pre,-35.5467460538609,-46.56243500684049,2.2646180805663865,-44.2978169262741,11.015688952979588,8.751070872413202,formal_hiring
2017-03-01,pre,-21.9436009943729,16.216437180176715,0.0016964055949596638,16.218133585771675,-38.16003817454961,-38.161734580144575,formal_hiring
2017-04-01,pre,-5.14174249859193,-9.359673785533284,0.0012599365910424176,-9.358413848942241,4.217931286941353,4.216671350350311,formal_hiring
2017-05-01,post,16.3794280645596,8.743696889878619,-0.12849278310730505,8.615204106771314,7.635731174680982,7.764223957788287,formal_hiring
2017-06-01,post,-3.33349300145648,10.677041445319098,0.0011091352197937566,10.678150580538892,-14.010534446775578,-14.011643581995372,formal_hiring
2017-07-01,post,3.92511219158244,8.152624914833016,-0.1571477040038271,7.995477210829189,-4.227512723250576,-4.070365019246749,formal_hiring
2017-08-01,post,-8.29852761620267,-32.6143570302449,-0.27490874035697166,-32.889265770601874,24.315829414042234,24.590738154399205,formal_hiring
2017-09-01,post,-42.1985531761215,-43.82300604405432,2.7458183826856346,-41.07718766136868,1.624452867932817,-1.1213655147528172,formal_hiring
2017-10-01,post,31.9182144219447,20.695306269933113,0.3098225394309378,21.005128809364052,11.222908152011588,10.913085612580648,formal_hiring
2017-11-01,post,0.127550208181866,-22.873961024724466,4.125038234922542e-6,-22.87395689968623,23.00151123290633,23.001507107868097,formal_hiring
2017-12-01,post,43.0722359774512,18.215564583333354,1.706494579025516,19.92205916235887,24.856671394117846,23.15017681509233,formal_hiring
2018-01-01,post,17.2116061159687,18.29085841667895,-0.028604967000266247,18.262253449678685,-1.0792523007102517,-1.0506473337099855,formal_hiring
2018-02-01,post,8.7284128895046,-3.4948150037679264,2.650409116209182,-0.8444058875587444,12.223227893272526,9.572818777063345,formal_hiring
2018-03-01,post,37.0408758152087,14.541756672450688,-0.11917178169579533,14.422584890754893,22.499119142758012,22.61829092445381,formal_hiring
2018-04-01,post,4.82722795980283,33.59829161534336,-2.593379152111564,31.0049124632318,-28.771063655540534,-26.17768450342897,formal_hiring
2018-05-01,post,-8.10679093622769,12.803389347518054,-0.68484854849532,12.118540799022735,-20.910180283745746,-20.225331735250425,formal_hiring
2018-06-01,post,7.7694235206225,-4.550593348655091,0.8568404913987326,-3.6937528572563583,12.320016869277591,11.46317637787886,formal_hiring
2018-07-01,post,-12.293981615182,-2.6536971447936253,-21.301475546774807,-23.955172691568432,-9.640284470388375,11.661191076386432,formal_hiring
2018-08-01,post,0.0116617424875329,14.602821745596708,-8.595567334406725,6.007254411189983,-14.591160003109175,-5.99559266870245,formal_hiring
2018-09-01,post,-10.680130300735,8.062519889280994,-0.0020224847203612335,8.060497404560632,-18.742650190015993,-18.74062770529563,formal_hiring
2018-10-01,post,2.94452730081958,-14.950627462913994,-5.384267422628974,-20.33489488554297,17.895154763733572,23.27942218636255,formal_hiring
2018-11-01,post,-8.40354008670043,-7.299916090141126,1.3269730377918696,-5.972943052349256,-1.1036239965593033,-2.430597034351173,formal_hiring
2018-12-01,post,55.4405518385369,-20.688379311027862,-0.0011323125040108893,-20.689511623531875,76.12893114956476,76.13006346206878,formal_hiring
2019-01-01,post,26.4570634102985,1.2172626863830551,-0.11893161768602548,1.0983310686970296,25.239800723915444,25.35873234160147,formal_hiring
2019-02-01,post,37.7240738324078,0.37883318389105014,-0.5131195548525914,-0.13428637096154128,37.34524064851675,37.85836020336934,formal_hiring
2019-03-01,post,29.2175021839721,22.74331023761429,-0.7089974653628427,22.034312772251447,6.474191946357813,7.1831894117206545,formal_hiring
2019-04-01,post,60.8520251408582,43.2074788240501,5.081559486304553e-5,43.20752963964496,17.644546316808103,17.644495501213243,formal_hiring
