dropped_donor,period_date,analysis_period,loo_gap
AC,2014-05-01,pre,-14.95068453919071
AC,2014-06-01,pre,-8.401566382154321
AC,2014-07-01,pre,-14.210775827448652
AC,2014-08-01,pre,-11.056370162978904
AC,2014-09-01,pre,3.272073470408481
AC,2014-10-01,pre,6.433433463435321
AC,2014-11-01,pre,4.234870678286374
AC,2014-12-01,pre,-25.650053874827726
AC,2015-01-01,pre,11.092173635425418
AC,2015-02-01,pre,9.39725157819754
AC,2015-03-01,pre,3.6557656502717837
AC,2015-04-01,pre,1.4808414568034856
AC,2015-05-01,pre,10.113020634265098
AC,2015-06-01,pre,13.227671117772239
AC,2015-07-01,pre,1.537567640901063
AC,2015-08-01,pre,4.188666205659402
AC,2015-09-01,pre,1.229810174531707
AC,2015-10-01,pre,-12.545301119732368
AC,2015-11-01,pre,-2.5206244051082707
AC,2015-12-01,pre,14.80214485723096
AC,2016-01-01,pre,1.4668822614361634
AC,2016-02-01,pre,-7.982399613213737
AC,2016-03-01,pre,7.947188047374994
AC,2016-04-01,pre,11.411257312084903
AC,2016-05-01,pre,3.8396259890461097
AC,2016-06-01,pre,9.380534603575555
AC,2016-07-01,pre,4.407229739553998
AC,2016-08-01,pre,-2.410487151372269
AC,2016-09-01,pre,0.07797544366864173
AC,2016-10-01,pre,2.2523545773524347
AC,2016-11-01,pre,3.2671049096577116
AC,2016-12-01,pre,-4.372235248872565
AC,2017-01-01,pre,-1.3535505775952945
AC,2017-02-01,pre,-8.751649748689617
AC,2017-03-01,pre,-4.004472423210266
AC,2017-04-01,pre,2.4257231529797876
AC,2017-05-01,post,4.700919038448611
AC,2017-06-01,post,-5.479935919068276
AC,2017-07-01,post,2.873740954283514
AC,2017-08-01,post,-1.8080010654729683
AC,2017-09-01,post,0.1146597109637435
AC,2017-10-01,post,3.050114505230943
AC,2017-11-01,post,4.966129481867376
AC,2017-12-01,post,-5.183930471029868
AC,2018-01-01,post,-14.252556613165492
AC,2018-02-01,post,0.02637804127277832
AC,2018-03-01,post,-4.756880294828533
AC,2018-04-01,post,-0.6416990761894685
AC,2018-05-01,post,-9.548311797723837
AC,2018-06-01,post,-1.180634973718636
AC,2018-07-01,post,1.234597304701152
AC,2018-08-01,post,2.5786110573038314
AC,2018-09-01,post,8.654670747251108
AC,2018-10-01,post,0.13153853162145812
AC,2018-11-01,post,-1.1330645173823457
AC,2018-12-01,post,-0.6241534958085317
AC,2019-01-01,post,15.84790298784781
AC,2019-02-01,post,7.121655041809401
AC,2019-03-01,post,7.6784514993614215
AC,2019-04-01,post,5.694344068174434
AL,2014-05-01,pre,-15.378176946450273
AL,2014-06-01,pre,-8.52528480795613
AL,2014-07-01,pre,-15.519383101493776
AL,2014-08-01,pre,-10.964722626217856
AL,2014-09-01,pre,2.841700265853641
AL,2014-10-01,pre,6.610291752110491
AL,2014-11-01,pre,3.846343159118174
AL,2014-12-01,pre,-23.290809740360068
AL,2015-01-01,pre,11.087769050939908
AL,2015-02-01,pre,8.48131564334913
AL,2015-03-01,pre,3.87989271879089
AL,2015-04-01,pre,2.206248496507241
AL,2015-05-01,pre,10.203899573458475
AL,2015-06-01,pre,12.272199738457825
AL,2015-07-01,pre,1.7888725767181937
AL,2015-08-01,pre,4.290603323122539
AL,2015-09-01,pre,0.5886718625063416
AL,2015-10-01,pre,-13.250460969582056
AL,2015-11-01,pre,-1.111133428880831
AL,2015-12-01,pre,15.60810505841312
AL,2016-01-01,pre,1.7328653540369956
AL,2016-02-01,pre,-8.666574798356546
AL,2016-03-01,pre,7.331837556277637
AL,2016-04-01,pre,10.976123524254684
AL,2016-05-01,pre,3.8626829507189955
AL,2016-06-01,pre,9.30712179275359
AL,2016-07-01,pre,3.910381660451499
AL,2016-08-01,pre,-1.6473728658442024
AL,2016-09-01,pre,0.44404977506900956
AL,2016-10-01,pre,2.363498202891739
AL,2016-11-01,pre,3.211966882751862
AL,2016-12-01,pre,-3.2179659337578794
AL,2017-01-01,pre,-2.038702937772154
AL,2017-02-01,pre,-9.420323169172805
AL,2017-03-01,pre,-4.309036101798288
AL,2017-04-01,pre,2.3429581766449434
AL,2017-05-01,post,4.616632561194179
AL,2017-06-01,post,-4.976369214858886
AL,2017-07-01,post,2.378046331692955
AL,2017-08-01,post,-2.7374871060662738
AL,2017-09-01,post,-0.518343589831674
AL,2017-10-01,post,2.922491385546375
AL,2017-11-01,post,4.188662632028173
AL,2017-12-01,post,-6.707095069198909
AL,2018-01-01,post,-14.01026421385813
AL,2018-02-01,post,1.3098764507898633
AL,2018-03-01,post,-4.224922423038595
AL,2018-04-01,post,-0.39825298282580457
AL,2018-05-01,post,-8.589129002223913
AL,2018-06-01,post,-1.0229724690986544
AL,2018-07-01,post,0.9023514639596624
AL,2018-08-01,post,2.1812897331417416
AL,2018-09-01,post,9.109847267383469
AL,2018-10-01,post,0.21857263840136487
AL,2018-11-01,post,-1.5364865476939837
AL,2018-12-01,post,-0.5944715399143602
AL,2019-01-01,post,15.144404960799221
AL,2019-02-01,post,8.196260930058616
AL,2019-03-01,post,7.23142444240779
AL,2019-04-01,post,6.3495423326115645
AP,2014-05-01,pre,-14.51353010869256
AP,2014-06-01,pre,-9.32245419051014
AP,2014-07-01,pre,-15.454143831905622
AP,2014-08-01,pre,-11.080128772064121
AP,2014-09-01,pre,4.253054390342039
AP,2014-10-01,pre,6.258914605410251
AP,2014-11-01,pre,4.8242225171687885
AP,2014-12-01,pre,-27.47546274603446
AP,2015-01-01,pre,11.732731333464741
AP,2015-02-01,pre,8.821961168389926
AP,2015-03-01,pre,3.1066068410411027
AP,2015-04-01,pre,1.6142303035108192
AP,2015-05-01,pre,9.678847478243021
AP,2015-06-01,pre,13.388291218852224
AP,2015-07-01,pre,1.4539395718902823
AP,2015-08-01,pre,4.503406718590766
AP,2015-09-01,pre,1.3356234655254422
AP,2015-10-01,pre,-12.481203441998487
AP,2015-11-01,pre,-2.445600027187696
AP,2015-12-01,pre,14.721515335772928
AP,2016-01-01,pre,0.5345158605097033
AP,2016-02-01,pre,-8.71330710057456
AP,2016-03-01,pre,7.827503621881651
AP,2016-04-01,pre,11.756713211506536
AP,2016-05-01,pre,4.287379694463084
AP,2016-06-01,pre,9.30442313490386
