dropped_donor,period_date,analysis_period,loo_gap
AC,2014-05-01,pre,0.11842443616883092
AC,2014-06-01,pre,0.1115737711029876
AC,2014-07-01,pre,-0.018456353979526163
AC,2014-08-01,pre,0.05051109709163004
AC,2014-09-01,pre,0.026152177660108578
AC,2014-10-01,pre,-0.023466802707034162
AC,2014-11-01,pre,0.16060490115218418
AC,2014-12-01,pre,-0.0929261571006883
AC,2015-01-01,pre,0.05040799237714655
AC,2015-02-01,pre,0.03852348680823692
AC,2015-03-01,pre,0.10560818430458063
AC,2015-04-01,pre,-0.014515772212515543
AC,2015-05-01,pre,0.10749288259058076
AC,2015-06-01,pre,-0.009783246042345262
AC,2015-07-01,pre,0.0216210230970324
AC,2015-08-01,pre,0.03215076176862475
AC,2015-09-01,pre,-0.03394271790393688
AC,2015-10-01,pre,0.0744289735032515
AC,2015-11-01,pre,-0.05012241359876768
AC,2015-12-01,pre,-0.09468698538341425
AC,2016-01-01,pre,-0.032647392478495796
AC,2016-02-01,pre,-0.11759008505075652
AC,2016-03-01,pre,-0.097218408339522
AC,2016-04-01,pre,-0.022390689816648823
AC,2016-05-01,pre,-0.14084346759864808
AC,2016-06-01,pre,-0.09231836518809367
AC,2016-07-01,pre,-0.05008460582250063
AC,2016-08-01,pre,-0.09879234740694098
AC,2016-09-01,pre,0.010364522225359885
AC,2016-10-01,pre,-0.0475066429021318
AC,2016-11-01,pre,-0.08455964487462442
AC,2016-12-01,pre,-0.011429750261380711
AC,2017-01-01,pre,0.04406381529341363
AC,2017-02-01,pre,-0.12385937073490894
AC,2017-03-01,pre,-0.03154996778020802
AC,2017-04-01,pre,-0.0449385810909142
AC,2017-05-01,post,0.03998268619471812
AC,2017-06-01,post,0.029871373185158312
AC,2017-07-01,post,0.05031745588660996
AC,2017-08-01,post,0.02501610643803165
AC,2017-09-01,post,0.05608696158113169
AC,2017-10-01,post,0.054094924335202244
AC,2017-11-01,post,0.03568218472660778
AC,2017-12-01,post,0.05094219839875258
AC,2018-01-01,post,0.0036754313756715007
AC,2018-02-01,post,0.14750309717886623
AC,2018-03-01,post,0.04963210987029587
AC,2018-04-01,post,0.10382619421801387
AC,2018-05-01,post,0.03878181182982754
AC,2018-06-01,post,0.044597455044766754
AC,2018-07-01,post,3.740862344780993e-5
AC,2018-08-01,post,0.05157118588019394
AC,2018-09-01,post,-0.001360394266488818
AC,2018-10-01,post,0.007300660743967846
AC,2018-11-01,post,0.016876482842978824
AC,2018-12-01,post,0.06003603149892278
AC,2019-01-01,post,0.022109004535740162
AC,2019-02-01,post,0.10472782525932889
AC,2019-03-01,post,0.044679183682546864
AC,2019-04-01,post,-0.02965176442226536
AL,2014-05-01,pre,0.1372818514306342
AL,2014-06-01,pre,0.13638025879391869
AL,2014-07-01,pre,0.011787860804853167
AL,2014-08-01,pre,0.09324994961669919
AL,2014-09-01,pre,0.07405860140552178
AL,2014-10-01,pre,0.00917052620290093
AL,2014-11-01,pre,0.21239534784901526
AL,2014-12-01,pre,-0.04752096220619695
AL,2015-01-01,pre,0.08674220777719555
AL,2015-02-01,pre,0.06072524366908105
AL,2015-03-01,pre,0.12528814738794924
AL,2015-04-01,pre,0.045565680046373735
AL,2015-05-01,pre,0.15816750539412272
AL,2015-06-01,pre,0.0382494308582757
