dropped_donor,period_date,analysis_period,loo_gap
AC,2014-05-01,pre,-0.4146150007112652
AC,2014-06-01,pre,-3.769329758010784
AC,2014-07-01,pre,-5.76492720101065
AC,2014-08-01,pre,-5.308162829515837
AC,2014-09-01,pre,-3.9837544589962874
AC,2014-10-01,pre,-4.70855502853901
AC,2014-11-01,pre,-5.2471956121814145
AC,2014-12-01,pre,-9.422480458890462
AC,2015-01-01,pre,-6.042829633610552
AC,2015-02-01,pre,-4.686926551562564
AC,2015-03-01,pre,-7.65456313653884
AC,2015-04-01,pre,-4.60854885793897
AC,2015-05-01,pre,-4.830860103058924
AC,2015-06-01,pre,-4.59265241071482
AC,2015-07-01,pre,-6.671891878378105
AC,2015-08-01,pre,-3.1597574484017628
AC,2015-09-01,pre,-3.819690706282586
AC,2015-10-01,pre,-1.6494148463127942
AC,2015-11-01,pre,-5.361465075998055
AC,2015-12-01,pre,-7.029771514226113
AC,2016-01-01,pre,-7.9517385911126865
AC,2016-02-01,pre,-6.301674688018494
AC,2016-03-01,pre,-7.040754867778887
AC,2016-04-01,pre,-6.144486874696582
AC,2016-05-01,pre,-6.353482148844421
AC,2016-06-01,pre,-7.161526849906991
AC,2016-07-01,pre,-2.6180088519041647
AC,2016-08-01,pre,-2.3096323789330597
AC,2016-09-01,pre,-3.6362646799938148
AC,2016-10-01,pre,-3.4538574363496792
AC,2016-11-01,pre,-7.137235714157882
AC,2016-12-01,pre,-1.0641604586239168
AC,2017-01-01,pre,-2.3440277743820417
AC,2017-02-01,pre,1.6717191314385218
AC,2017-03-01,pre,-1.3406141398231597
AC,2017-04-01,pre,0.1689973685174948
AC,2017-05-01,post,-3.098493930013177
AC,2017-06-01,post,-2.8874350902211745
AC,2017-07-01,post,-0.13998615805340364
AC,2017-08-01,post,-3.012497057957688
AC,2017-09-01,post,-0.080438308942135
AC,2017-10-01,post,-2.366247530444653
AC,2017-11-01,post,-1.9271189579164485
AC,2017-12-01,post,1.7374008492219133
AC,2018-01-01,post,2.078161197315424
AC,2018-02-01,post,3.2529438163175683
AC,2018-03-01,post,1.7392690091368905
AC,2018-04-01,post,-3.6968883333443188
AC,2018-05-01,post,-0.35919216356575134
AC,2018-06-01,post,-3.5765938133026083
AC,2018-07-01,post,-6.351011057781207
AC,2018-08-01,post,-6.985919117226629
AC,2018-09-01,post,-4.46134926679305
AC,2018-10-01,post,-4.083665399523625
AC,2018-11-01,post,-4.951158963430402
AC,2018-12-01,post,-3.4450901813344785
AC,2019-01-01,post,-3.82850753288227
AC,2019-02-01,post,-2.606425163758331
AC,2019-03-01,post,0.18562254205660622
AC,2019-04-01,post,-1.6107080104550704
AL,2014-05-01,pre,4.122537219313585
AL,2014-06-01,pre,0.37659290958663405
AL,2014-07-01,pre,-1.8654465310748094
AL,2014-08-01,pre,-0.9692374271668172
AL,2014-09-01,pre,0.8256650567998918
AL,2014-10-01,pre,-1.7475050267196366
AL,2014-11-01,pre,-0.8805448566699425
AL,2014-12-01,pre,-4.4808430440935325
AL,2015-01-01,pre,-3.156862310817388
AL,2015-02-01,pre,-2.601374669317167
AL,2015-03-01,pre,-6.605130508052241
AL,2015-04-01,pre,-2.48943816534468
AL,2015-05-01,pre,-3.5249880488154446
AL,2015-06-01,pre,-2.932625830499873
AL,2015-07-01,pre,-4.002531563357621
AL,2015-08-01,pre,-1.734877306198669
AL,2015-09-01,pre,-2.7599407814669235
AL,2015-10-01,pre,-1.5597748316353375
