dropped_donor,period_date,analysis_period,loo_gap
AC,2014-05-01,pre,20.913287328419727
AC,2014-06-01,pre,17.779727130127895
AC,2014-07-01,pre,-6.688242304350126
AC,2014-08-01,pre,9.85723560127272
AC,2014-09-01,pre,63.90173424455773
AC,2014-10-01,pre,-12.447872711991039
AC,2014-11-01,pre,28.840320405346603
AC,2014-12-01,pre,-11.367134069864562
AC,2015-01-01,pre,7.200908728437753
AC,2015-02-01,pre,8.86198774818115
AC,2015-03-01,pre,13.338466296465072
AC,2015-04-01,pre,1.491037385180249
AC,2015-05-01,pre,17.95476114953948
AC,2015-06-01,pre,-0.45832655382534426
AC,2015-07-01,pre,-4.177722708545275
AC,2015-08-01,pre,0.19920560293576273
AC,2015-09-01,pre,-14.104712941386538
AC,2015-10-01,pre,2.7256621964131966
AC,2015-11-01,pre,-19.96830199927345
AC,2015-12-01,pre,-12.116233199366036
AC,2016-01-01,pre,-3.121186191937028
AC,2016-02-01,pre,-21.774235328772704
AC,2016-03-01,pre,-13.92048358338667
AC,2016-04-01,pre,-6.924220950602972
AC,2016-05-01,pre,-25.628272449779985
AC,2016-06-01,pre,-17.195463233957156
AC,2016-07-01,pre,-11.85000177928464
AC,2016-08-01,pre,-19.928108460943093
AC,2016-09-01,pre,5.731111877962178
AC,2016-10-01,pre,-17.804804145587212
AC,2016-11-01,pre,-21.656454488275642
AC,2016-12-01,pre,-7.448790012597357
AC,2017-01-01,pre,11.339610600902176
AC,2017-02-01,pre,-17.32735175106265
AC,2017-03-01,pre,-16.857098144937794
AC,2017-04-01,pre,-7.284686624332437
AC,2017-05-01,post,4.583617184247487
AC,2017-06-01,post,1.0130264720864375
AC,2017-07-01,post,0.9804412431812182
AC,2017-08-01,post,-1.4482152275579665
AC,2017-09-01,post,2.4405552948022375
AC,2017-10-01,post,0.7532037956953275
AC,2017-11-01,post,0.07416421245537208
AC,2017-12-01,post,-2.2779551553862234
AC,2018-01-01,post,2.0624984131870576
AC,2018-02-01,post,25.614353145210487
AC,2018-03-01,post,8.826712717540687
AC,2018-04-01,post,12.586469505487543
AC,2018-05-01,post,-0.2998154867210303
AC,2018-06-01,post,6.210515747733268
AC,2018-07-01,post,-5.839772093929639
AC,2018-08-01,post,3.5443926727114388
AC,2018-09-01,post,-5.001755251858981
AC,2018-10-01,post,-5.423087394462783
AC,2018-11-01,post,4.751663279014082
AC,2018-12-01,post,6.823944799124746
AC,2019-01-01,post,2.017374138751478
AC,2019-02-01,post,20.28448735655209
AC,2019-03-01,post,1.9358451372752086
AC,2019-04-01,post,-0.528365604865229
AL,2014-05-01,pre,22.129742533541872
AL,2014-06-01,pre,17.80829233107707
AL,2014-07-01,pre,-7.259940888863639
AL,2014-08-01,pre,12.693506071878005
AL,2014-09-01,pre,67.53968457786823
AL,2014-10-01,pre,-11.534253335833142
AL,2014-11-01,pre,34.17991601418905
AL,2014-12-01,pre,-8.123506644596858
AL,2015-01-01,pre,8.967265851899043
AL,2015-02-01,pre,7.037572464236661
AL,2015-03-01,pre,9.664611801901174
AL,2015-04-01,pre,7.775304850953432
AL,2015-05-01,pre,22.951501417263472
AL,2015-06-01,pre,1.1217392903188
AL,2015-07-01,pre,0.5922281279125343
AL,2015-08-01,pre,-2.9807561374104807
AL,2015-09-01,pre,-15.64323448707512
AL,2015-10-01,pre,2.2126912752405303
AL,2015-11-01,pre,-24.40049886646497
AL,2015-12-01,pre,-14.30794213388441
AL,2016-01-01,pre,-7.253956184569887
AL,2016-02-01,pre,-16.725279344779466
AL,2016-03-01,pre,-13.79392672605971
AL,2016-04-01,pre,-4.759172497282236
AL,2016-05-01,pre,-23.91693916421511
AL,2016-06-01,pre,-14.859417510500236
AL,2016-07-01,pre,-11.166225503186126
AL,2016-08-01,pre,-13.912436045883993
AL,2016-09-01,pre,4.081004088967063
AL,2016-10-01,pre,-13.699954106302584
AL,2016-11-01,pre,-21.623939139305975
AL,2016-12-01,pre,-7.663715238246596
AL,2017-01-01,pre,14.731308391112407
AL,2017-02-01,pre,-16.853356739933673
AL,2017-03-01,pre,-12.395123000135811
AL,2017-04-01,pre,-5.7808669592845945
AL,2017-05-01,post,7.026838660472748
AL,2017-06-01,post,-5.8727242396801955
AL,2017-07-01,post,2.471420971384049
AL,2017-08-01,post,-2.1307972808582463
AL,2017-09-01,post,2.8215624095453222
AL,2017-10-01,post,-1.108768329784084
AL,2017-11-01,post,0.589493831095325
AL,2017-12-01,post,-2.9897409743140315
AL,2018-01-01,post,3.0048015801306747
AL,2018-02-01,post,31.012846416550218
AL,2018-03-01,post,15.149900620120292
AL,2018-04-01,post,16.641078002208076
