pseudo_treated_state,outcome,channel_slug,period_date,analysis_period,augmented_gap
AC,retail,consumption,2007-02-01,pre,0
AC,retail,consumption,2007-03-01,pre,0.5200357755896761
AC,retail,consumption,2007-04-01,pre,0.09150762824742742
AC,retail,consumption,2007-05-01,pre,-1.3701944596786007
AC,retail,consumption,2007-06-01,pre,0.10646294487341379
AC,retail,consumption,2007-07-01,pre,-0.13249343315393958
AC,retail,consumption,2007-08-01,pre,1.4483435547172405
AC,retail,consumption,2007-09-01,pre,0.8497838964904503
AC,retail,consumption,2007-10-01,pre,0.24788287750530458
AC,retail,consumption,2007-11-01,pre,0.0451289039874041
AC,retail,consumption,2007-12-01,pre,-3.6267058505407874
AC,retail,consumption,2008-01-01,pre,6.094964284154088
AC,retail,consumption,2008-02-01,pre,-1.3685148119761976
AC,retail,consumption,2008-03-01,pre,1.2469650134734849
AC,retail,consumption,2008-04-01,pre,-2.53473928987475
AC,retail,consumption,2008-05-01,pre,-2.855745008923023
AC,retail,consumption,2008-06-01,pre,1.348900716327762
AC,retail,consumption,2008-07-01,pre,0.09216924499907009
AC,retail,consumption,2008-08-01,pre,3.8163749432599587
AC,retail,consumption,2008-09-01,pre,0.6736035142682084
AC,retail,consumption,2008-10-01,pre,0.1480721882780358
AC,retail,consumption,2008-11-01,pre,1.655427217873637
AC,retail,consumption,2008-12-01,pre,-3.107722536247067
AC,retail,consumption,2009-01-01,pre,-4.449142856447338
AC,retail,consumption,2009-02-01,pre,0.439866412325685
AC,retail,consumption,2009-03-01,pre,-4.860173320451608
AC,retail,consumption,2009-04-01,pre,-1.819145651127954
AC,retail,consumption,2009-05-01,pre,-0.605447275306048
AC,retail,consumption,2009-06-01,pre,0.5692856028085771
AC,retail,consumption,2009-07-01,pre,-0.4857602906411529
AC,retail,consumption,2009-08-01,pre,1.458636146686004
AC,retail,consumption,2009-09-01,pre,1.9617041661960997
AC,retail,consumption,2009-10-01,pre,6.658789817386278
AC,retail,consumption,2009-11-01,pre,4.997871909600164
AC,retail,consumption,2009-12-01,pre,2.7889387128925023
AC,retail,consumption,2010-01-01,pre,-1.9358181001411197
AC,retail,consumption,2010-02-01,post,-2.639592749396229
AC,retail,consumption,2010-03-01,post,5.413537476064334
AC,retail,consumption,2010-04-01,post,-2.1978437794624597
AC,retail,consumption,2010-05-01,post,-2.6733648108796615
AC,retail,consumption,2010-06-01,post,4.788803377782159
AC,retail,consumption,2010-07-01,post,16.668369196750746
AC,retail,consumption,2010-08-01,post,2.8931252408255546
AC,retail,consumption,2010-09-01,post,4.635192884167083
AC,retail,consumption,2010-10-01,post,5.7713714270069545
AC,retail,consumption,2010-11-01,post,24.53558859069777
AC,retail,consumption,2010-12-01,post,10.580186693048262
AC,retail,consumption,2011-01-01,post,14.045061781872846
AC,retail,consumption,2011-02-01,post,21.53128105787856
AC,retail,consumption,2011-03-01,post,14.557465461447208
AC,retail,consumption,2011-04-01,post,13.317941934052016
AC,retail,consumption,2011-05-01,post,22.109608541325258
AC,retail,consumption,2011-06-01,post,18.098105222915876
AC,retail,consumption,2011-07-01,post,8.6733374170162
AC,retail,consumption,2011-08-01,post,22.363397194502937
AC,retail,consumption,2011-09-01,post,23.92242234222627
AC,retail,consumption,2011-10-01,post,10.436169210632755
AC,retail,consumption,2011-11-01,post,15.142463359402939
AC,retail,consumption,2011-12-01,post,44.84400536260726
AC,retail,consumption,2012-01-01,post,20.856825126432312
AC,formal_hiring,labor_market,2007-02-01,pre,-8.641480411268233
AC,formal_hiring,labor_market,2007-03-01,pre,24.020952605921842
AC,formal_hiring,labor_market,2007-04-01,pre,-69.05156459496973
AC,formal_hiring,labor_market,2007-05-01,pre,-21.781817530863442
AC,formal_hiring,labor_market,2007-06-01,pre,14.750067188023127
AC,formal_hiring,labor_market,2007-07-01,pre,-1.2504356501852705
AC,formal_hiring,labor_market,2007-08-01,pre,4.100169450293677
AC,formal_hiring,labor_market,2007-09-01,pre,-2.309797250387104
AC,formal_hiring,labor_market,2007-10-01,pre,-5.214917237956689
AC,formal_hiring,labor_market,2007-11-01,pre,2.8454788639405457
AC,formal_hiring,labor_market,2007-12-01,pre,-19.951320641147653
AC,formal_hiring,labor_market,2008-01-01,pre,-11.051900046995566
AC,formal_hiring,labor_market,2008-02-01,pre,15.757801737068363
AC,formal_hiring,labor_market,2008-03-01,pre,-0.7092597658913835
AC,formal_hiring,labor_market,2008-04-01,pre,-3.9743216597635644
AC,formal_hiring,labor_market,2008-05-01,pre,40.119146716538694
AC,formal_hiring,labor_market,2008-06-01,pre,-4.266162869271991
AC,formal_hiring,labor_market,2008-07-01,pre,48.90022799371812
