dropped_donor,period_date,analysis_period,loo_gap
AC,2007-02-01,pre,6.159878914186095
AC,2007-03-01,pre,5.940968446207648
AC,2007-04-01,pre,1.4330414617331826
AC,2007-05-01,pre,5.660259501737983
AC,2007-06-01,pre,1.7636867517768735
AC,2007-07-01,pre,14.246178823517909
AC,2007-08-01,pre,2.6734248563430185
AC,2007-09-01,pre,0.2889074329180801
AC,2007-10-01,pre,7.7437184089725974
AC,2007-11-01,pre,8.181083166610307
AC,2007-12-01,pre,1.2898753576346849
AC,2008-01-01,pre,-3.3479388572309574
AC,2008-02-01,pre,3.7557696953635684
AC,2008-03-01,pre,0.4748158529100692
AC,2008-04-01,pre,-2.350615592150575
AC,2008-05-01,pre,3.3360315250548354
AC,2008-06-01,pre,-1.2709652433848078
AC,2008-07-01,pre,-4.954908721155732
AC,2008-08-01,pre,-8.751122505542696
AC,2008-09-01,pre,-3.7131192683471568
AC,2008-10-01,pre,8.536065539297567
AC,2008-11-01,pre,-13.615024376528794
AC,2008-12-01,pre,-12.211525831244103
AC,2009-01-01,pre,-12.856475686018612
AC,2009-02-01,pre,-18.044250957185227
AC,2009-03-01,pre,-2.346220240358292
AC,2009-04-01,pre,-6.821641195401867
AC,2009-05-01,pre,-12.249416633109433
AC,2009-06-01,pre,3.4699954620346602
AC,2009-07-01,pre,1.3852797836619004
AC,2009-08-01,pre,-3.372549768829572
AC,2009-09-01,pre,-3.1201346585025362
AC,2009-10-01,pre,-2.6294133312999577
AC,2009-11-01,pre,0.9599133786046252
AC,2009-12-01,pre,-12.711488195330702
AC,2010-01-01,pre,15.198706349165036
AC,2010-02-01,post,8.62417066583788
AC,2010-03-01,post,-2.2440261797753465
AC,2010-04-01,post,10.835340432800223
AC,2010-05-01,post,-2.0461532657102737
AC,2010-06-01,post,-1.3187146031213786
AC,2010-07-01,post,-5.726900128574357
AC,2010-08-01,post,3.1187522716834337
AC,2010-09-01,post,-2.796516910265325
AC,2010-10-01,post,6.461267577876413
AC,2010-11-01,post,-14.367139122679959
AC,2010-12-01,post,-16.761877930310533
AC,2011-01-01,post,-1.9831617955941852
AC,2011-02-01,post,-14.158256884005482
AC,2011-03-01,post,-3.1840370300069196
AC,2011-04-01,post,-9.319567097052158
AC,2011-05-01,post,-6.15629921789855
AC,2011-06-01,post,10.375734750493393
AC,2011-07-01,post,-5.881261956388329
AC,2011-08-01,post,-14.471226586058009
AC,2011-09-01,post,-8.277980797581733
AC,2011-10-01,post,-22.72718125558447
AC,2011-11-01,post,-44.46718651258533
AC,2011-12-01,post,14.506913739028533
AC,2012-01-01,post,-2.2681637338776
AL,2007-02-01,pre,7.414106330332004
AL,2007-03-01,pre,6.6962416937505935
AL,2007-04-01,pre,1.7692829687543394
AL,2007-05-01,pre,6.778020524555544
AL,2007-06-01,pre,2.7434797386449645
AL,2007-07-01,pre,15.196703278594242
AL,2007-08-01,pre,3.254738519947068
AL,2007-09-01,pre,0.38869878400083735
AL,2007-10-01,pre,7.600154639170881
AL,2007-11-01,pre,8.16029930693125
AL,2007-12-01,pre,0.6589930364662564
AL,2008-01-01,pre,-3.0687870419763783
AL,2008-02-01,pre,4.562232146753814
AL,2008-03-01,pre,2.314569916145615
AL,2008-04-01,pre,-2.317392444832933
AL,2008-05-01,pre,3.2866807730590892
AL,2008-06-01,pre,-1.3733590831166396
AL,2008-07-01,pre,-4.731330694246822
AL,2008-08-01,pre,-8.099056629352134
AL,2008-09-01,pre,-3.221606433903986
AL,2008-10-01,pre,8.893243005770756
AL,2008-11-01,pre,-13.408790446503787
AL,2008-12-01,pre,-9.123538123119232
AL,2009-01-01,pre,-11.595358216755542
AL,2009-02-01,pre,-17.744493143083332
AL,2009-03-01,pre,-1.7316533020836857
AL,2009-04-01,pre,-6.312257465554268
AL,2009-05-01,pre,-11.175513012191288
AL,2009-06-01,pre,3.934925634385422
AL,2009-07-01,pre,2.6314343652248056
AL,2009-08-01,pre,-2.62772549848313
AL,2009-09-01,pre,-2.6077037003568933
AL,2009-10-01,pre,-2.3163972036821576
AL,2009-11-01,pre,1.5237476372138872
AL,2009-12-01,pre,-12.407485535924991
AL,2010-01-01,pre,16.69079827948036
