dropped_donor,period_date,analysis_period,loo_gap
AC,2007-02-01,pre,7.661684936154529
AC,2007-03-01,pre,7.693116753563089
AC,2007-04-01,pre,-5.588706890795436
AC,2007-05-01,pre,0.9855459526641255
AC,2007-06-01,pre,2.133148062081318
AC,2007-07-01,pre,12.676470328660145
AC,2007-08-01,pre,3.434513235754906
AC,2007-09-01,pre,-4.471491517657199
AC,2007-10-01,pre,-1.9433810794727435
AC,2007-11-01,pre,5.957355638263948
AC,2007-12-01,pre,4.350364475301234
AC,2008-01-01,pre,-3.7002075568684916
AC,2008-02-01,pre,3.199570059967158
AC,2008-03-01,pre,3.6817310867543824
AC,2008-04-01,pre,-14.862482059466203
AC,2008-05-01,pre,-3.832974890227405
AC,2008-06-01,pre,-3.80523466228135
AC,2008-07-01,pre,-5.440646764429147
AC,2008-08-01,pre,-9.192282008228148
AC,2008-09-01,pre,-5.817719983909228
AC,2008-10-01,pre,-3.0275821660132465
AC,2008-11-01,pre,-24.542052798655874
AC,2008-12-01,pre,-8.849483907899412
AC,2009-01-01,pre,-16.716496114091854
AC,2009-02-01,pre,-24.12320466753232
AC,2009-03-01,pre,48.78425707243608
AC,2009-04-01,pre,-20.095782241153444
AC,2009-05-01,pre,80.14905908614327
AC,2009-06-01,pre,-17.541606552692798
AC,2009-07-01,pre,-6.8557458509565095
AC,2009-08-01,pre,-5.642406445447193
AC,2009-09-01,pre,-4.357067849363062
AC,2009-10-01,pre,-9.889683339948789
AC,2009-11-01,pre,6.60305573886248
AC,2009-12-01,pre,-7.700779921388516
AC,2010-01-01,pre,16.679902104644782
AC,2010-02-01,post,1.3624356222211134
AC,2010-03-01,post,-3.305693669036202
AC,2010-04-01,post,21.888402076251424
AC,2010-05-01,post,-5.9246253071712545
AC,2010-06-01,post,-2.5337281654392143
AC,2010-07-01,post,-3.044335565430913
AC,2010-08-01,post,1.378757246240525
AC,2010-09-01,post,-3.956019001059275
AC,2010-10-01,post,2.92620282862498
AC,2010-11-01,post,-25.78033543412087
AC,2010-12-01,post,-12.745333932842783
AC,2011-01-01,post,-6.576147778950286
AC,2011-02-01,post,-21.81210605720466
AC,2011-03-01,post,-9.298856528405963
AC,2011-04-01,post,-3.779946417120698
AC,2011-05-01,post,-0.5852531112502959
AC,2011-06-01,post,18.448915356025793
AC,2011-07-01,post,-6.076533926531653
AC,2011-08-01,post,-13.88102619274403
AC,2011-09-01,post,-11.192470682024009
AC,2011-10-01,post,-21.96689436738714
AC,2011-11-01,post,-42.8701574608217
AC,2011-12-01,post,14.971803274530771
AC,2012-01-01,post,-7.2380972386741576
AL,2007-02-01,pre,8.836539432585909
AL,2007-03-01,pre,8.218901789368232
AL,2007-04-01,pre,-4.7198020613025164
AL,2007-05-01,pre,1.8333840740946528
AL,2007-06-01,pre,2.9792347693246484
AL,2007-07-01,pre,13.570874888364102
AL,2007-08-01,pre,4.062911619944913
AL,2007-09-01,pre,-4.5977737819195
AL,2007-10-01,pre,-1.0511131212182647
AL,2007-11-01,pre,6.796937264879631
AL,2007-12-01,pre,4.786754184067945
AL,2008-01-01,pre,-3.5068872126051644
AL,2008-02-01,pre,4.113106133732032
AL,2008-03-01,pre,7.054655486167206
AL,2008-04-01,pre,-14.484331917505898
AL,2008-05-01,pre,-3.4257836242720145
AL,2008-06-01,pre,-3.397782508555906
AL,2008-07-01,pre,-4.745475827692303
AL,2008-08-01,pre,-8.19564964506202
AL,2008-09-01,pre,-5.053311906551073
AL,2008-10-01,pre,-1.9806404320543152
AL,2008-11-01,pre,-22.669177270688493
AL,2008-12-01,pre,-5.199724716677849
AL,2009-01-01,pre,-15.419134520136367
AL,2009-02-01,pre,-23.818415853795017
AL,2009-03-01,pre,48.783629837614086
AL,2009-04-01,pre,-19.186426708384545
AL,2009-05-01,pre,81.2711733423148
AL,2009-06-01,pre,-17.251580317952346
AL,2009-07-01,pre,-6.1337413391320865
AL,2009-08-01,pre,-5.718732024640985
AL,2009-09-01,pre,-4.810969397617242
AL,2009-10-01,pre,-10.26076297304897
AL,2009-11-01,pre,6.264604657468624
AL,2009-12-01,pre,-8.1691787510697509
AL,2010-01-01,pre,16.57479114096671
AL,2010-02-01,post,1.8695342005079283
AL,2010-03-01,post,-2.9237567106446534
AL,2010-04-01,post,22.40993191745983
AL,2010-05-01,post,-5.632079037684321
AL,2010-06-01,post,-2.8967089833822683
AL,2010-07-01,post,-3.1942509090568763
AL,2010-08-01,post,1.021782086430477
AL,2010-09-01,post,-4.050200492998442
AL,2010-10-01,post,3.6474483475006423
AL,2010-11-01,post,-25.52416936973168
AL,2010-12-01,post,-12.515421854130977
AL,2011-01-01,post,-6.597438342871101
AL,2011-02-01,post,-27.1302346654617
AL,2011-03-01,post,-8.49448443005042
AL,2011-04-01,post,-2.869412904326765
AL,2011-05-01,post,0.06342772027181809
AL,2011-06-01,post,19.86253864130498
AL,2011-07-01,post,-5.200471466871846
AL,2011-08-01,post,-12.489247394651585
AL,2011-09-01,post,-10.32718475899199
AL,2011-10-01,post,-20.467224841216165
AL,2011-11-01,post,-41.55542430237966
AL,2011-12-01,post,16.39298155694408
AL,2012-01-01,post,-6.037059628383275
AM,2007-02-01,pre,8.807430762350009
AM,2007-03-01,pre,8.188888934482463
AM,2007-04-01,pre,-4.691954482332648
AM,2007-05-01,pre,1.8159950680251598
AM,2007-06-01,pre,2.9456132548565677
AM,2007-07-01,pre,13.477121331546783
AM,2007-08-01,pre,3.9878321337178306
AM,2007-09-01,pre,-4.627447147884254
AM,2007-10-01,pre,-1.1244008766441027
AM,2007-11-01,pre,6.737213230442336
AM,2007-12-01,pre,4.7442688278172795
AM,2008-01-01,pre,-3.534005267573633
AM,2008-02-01,pre,4.095854498682826
AM,2008-03-01,pre,6.98984460846728
AM,2008-04-01,pre,-14.450590247413118
AM,2008-05-01,pre,-3.4337281593664386
AM,2008-06-01,pre,-3.4052458080498127
AM,2008-07-01,pre,-4.724104085620553
AM,2008-08-01,pre,-8.169488864286365
AM,2008-09-01,pre,-5.086233953818578
AM,2008-10-01,pre,-1.9281507967553466
AM,2008-11-01,pre,-22.619973376285543
AM,2008-12-01,pre,-5.252301676758805
AM,2009-01-01,pre,-15.397761098316465
AM,2009-02-01,pre,-23.802616910563444
AM,2009-03-01,pre,48.90431498354465
AM,2009-04-01,pre,-19.192004829350793
AM,2009-05-01,pre,81.2972632625297
AM,2009-06-01,pre,-17.192245043211244
AM,2009-07-01,pre,-6.20942013168991
AM,2009-08-01,pre,-5.641090631437322
AM,2009-09-01,pre,-4.716427581698639
AM,2009-10-01,pre,-10.208837178799257
AM,2009-11-01,pre,6.325338579660269
AM,2009-12-01,pre,-8.14108386023426
AM,2010-01-01,pre,16.59080748111836
AM,2010-02-01,post,1.975011378684684
AM,2010-03-01,post,-2.838730104431022
AM,2010-04-01,post,22.52537791650377
AM,2010-05-01,post,-5.627299475648272
