dropped_donor,period_date,analysis_period,loo_gap
AC,2006-04-01,pre,-4.927672092323107
AC,2006-05-01,pre,-4.9428172754367665
AC,2006-06-01,pre,-4.302252416490582
AC,2006-07-01,pre,-5.096490036589572
AC,2006-08-01,pre,-4.932117838542808
AC,2006-09-01,pre,-6.164887547224687
AC,2006-10-01,pre,-5.306145889851919
AC,2006-11-01,pre,-5.875541022394536
AC,2006-12-01,pre,-6.779609322381091
AC,2007-01-01,pre,-6.591378002139059
AC,2007-02-01,pre,-5.563258729982159
AC,2007-03-01,pre,-4.239396768459493
AC,2007-04-01,pre,-5.497591393294286
AC,2007-05-01,pre,-6.4689419253153915
AC,2007-06-01,pre,-5.437580917514637
AC,2007-07-01,pre,-4.988713328274557
AC,2007-08-01,pre,-4.80264591200649
AC,2007-09-01,pre,-3.7044760842240123
AC,2007-10-01,pre,-4.723638015075458
AC,2007-11-01,pre,-3.5150429015082167
AC,2007-12-01,pre,-0.9629026457252152
AC,2008-01-01,pre,-5.536631745921483
AC,2008-02-01,pre,-3.3058676717030337
AC,2008-03-01,pre,-2.6867277529489897
AC,2008-04-01,pre,-1.1622170109867227
AC,2008-05-01,pre,-3.0816838743218753
AC,2008-06-01,pre,-3.116591961148849
AC,2008-07-01,pre,-2.0574873694849884
AC,2008-08-01,pre,-1.5843368584366502
AC,2008-09-01,pre,-0.79953681211488
AC,2008-10-01,pre,-0.7074673326208014
AC,2008-11-01,pre,-0.3488885234452539
AC,2008-12-01,pre,0.12450833572970765
AC,2009-01-01,pre,-0.9572436630911767
AC,2009-02-01,pre,-1.0111563880897378
AC,2009-03-01,pre,-3.3004327263794764
AC,2009-04-01,post,-1.870751361097554
AC,2009-05-01,post,-3.021328305666927
AC,2009-06-01,post,-1.337704657400998
AC,2009-07-01,post,-4.250429224267023
AC,2009-08-01,post,-2.7876292252389163
AC,2009-09-01,post,-4.801390440597871
AC,2009-10-01,post,-5.090659533802302
AC,2009-11-01,post,-4.89863800922484
AC,2009-12-01,post,-5.238520605762361
AC,2010-01-01,post,-2.307416675875892
AC,2010-02-01,post,-4.01536015224135
AC,2010-03-01,post,-2.5201721431737383
AC,2010-04-01,post,-3.90974819538161
AC,2010-05-01,post,-1.6379538191846592
AC,2010-06-01,post,0.7782387063492706
AC,2010-07-01,post,0.6981367945084713
AC,2010-08-01,post,-0.2649171842890041
AC,2010-09-01,post,0.14888359551694919
AC,2010-10-01,post,-0.3321122570196451
AC,2010-11-01,post,-0.9756077399645022
AC,2010-12-01,post,-2.412859489821699
AC,2011-01-01,post,-2.125562623405031
AC,2011-02-01,post,0.9307734480037624
AC,2011-03-01,post,1.991393114895473
AL,2006-04-01,pre,-6.954791326817428
AL,2006-05-01,pre,-7.1431568252919035
AL,2006-06-01,pre,-6.065029048234933
AL,2006-07-01,pre,-6.727187533852721
AL,2006-08-01,pre,-5.905396097796299
AL,2006-09-01,pre,-6.849525866639446
AL,2006-10-01,pre,-4.3681754993403885
AL,2006-11-01,pre,-4.765291614273082
AL,2006-12-01,pre,-5.621933668695114
AL,2007-01-01,pre,-5.020192114508134
AL,2007-02-01,pre,-4.175369799724855
AL,2007-03-01,pre,-3.441723573252766
AL,2007-04-01,pre,-4.678400748326567
AL,2007-05-01,pre,-5.639454924568305
AL,2007-06-01,pre,-4.370844630189197
AL,2007-07-01,pre,-3.772428133389333
AL,2007-08-01,pre,-3.463449346823907
AL,2007-09-01,pre,-2.3208433710745027
AL,2007-10-01,pre,-3.686009435465273
AL,2007-11-01,pre,-2.460261632027162
AL,2007-12-01,pre,0.07917696887125203
AL,2008-01-01,pre,-5.009062973566479
AL,2008-02-01,pre,-2.3503997966827868
AL,2008-03-01,pre,-1.314261850601099
AL,2008-04-01,pre,0.11479022905792391
AL,2008-05-01,pre,-1.6890316097384783
AL,2008-06-01,pre,-1.8399582472434162
AL,2008-07-01,pre,-0.39152023133727454
AL,2008-08-01,pre,0.2995811922591116
AL,2008-09-01,pre,0.8200412622456028
AL,2008-10-01,pre,1.3007454297743806
AL,2008-11-01,pre,0.5107662589157371
AL,2008-12-01,pre,1.317674679045382
AL,2009-01-01,pre,0.5623518832078744
AL,2009-02-01,pre,0.302979537698036
AL,2009-03-01,pre,-1.9236254308510752
AL,2009-04-01,post,-0.2698765827341134
AL,2009-05-01,post,-1.631422278748488
AL,2009-06-01,post,-0.37422126805589073
AL,2009-07-01,post,-2.729092865946349
AL,2009-08-01,post,-2.1030688458227473
AL,2009-09-01,post,-3.4344044180220337
AL,2009-10-01,post,-3.696614668960187
AL,2009-11-01,post,-3.38062653561051
AL,2009-12-01,post,-3.652982026866013
AL,2010-01-01,post,-0.22372847440627908
AL,2010-02-01,post,-2.225372676538065
AL,2010-03-01,post,-0.6217864505540689
AL,2010-04-01,post,0.14356822290257298
