dropped_donor,period_date,analysis_period,loo_gap
AC,2006-04-01,pre,-2.8304084464318784
AC,2006-05-01,pre,-6.977957325812177
AC,2006-06-01,pre,-7.215820700548377
AC,2006-07-01,pre,-5.063722517740587
AC,2006-08-01,pre,-4.2296477003325705
AC,2006-09-01,pre,-2.2165640455703794
AC,2006-10-01,pre,-4.576972643669389
AC,2006-11-01,pre,-11.113339336581578
AC,2006-12-01,pre,-3.911324243546673
AC,2007-01-01,pre,-5.637129539553285
AC,2007-02-01,pre,-5.100364327706178
AC,2007-03-01,pre,-3.972363562327672
AC,2007-04-01,pre,-4.448866585080182
AC,2007-05-01,pre,-4.749018109432882
AC,2007-06-01,pre,-4.319037439584079
AC,2007-07-01,pre,-5.918439802394573
AC,2007-08-01,pre,-7.801912428181982
AC,2007-09-01,pre,-4.742580466532779
AC,2007-10-01,pre,-5.2718061787619845
AC,2007-11-01,pre,-6.209868945025782
AC,2007-12-01,pre,-6.4803938471675835
AC,2008-01-01,pre,-6.910465943105876
AC,2008-02-01,pre,-6.000569093423792
AC,2008-03-01,pre,-8.218941785353998
AC,2008-04-01,pre,-6.309843610511692
AC,2008-05-01,pre,-7.296625361687887
AC,2008-06-01,pre,-6.6184830612392815
AC,2008-07-01,pre,-7.069785807336487
AC,2008-08-01,pre,-6.019290745638777
AC,2008-09-01,pre,-6.423899754284484
AC,2008-10-01,pre,-6.471995819651397
AC,2008-11-01,pre,-2.946017125516377
AC,2008-12-01,pre,-5.7856424057853815
AC,2009-01-01,pre,-7.5701094845066805
AC,2009-02-01,pre,-8.762733407620878
AC,2009-03-01,pre,-6.69603959202459
AC,2009-04-01,post,-8.966679907261984
AC,2009-05-01,post,-7.076925471010988
AC,2009-06-01,post,-8.602195672645578
AC,2009-07-01,post,-7.904136027248683
AC,2009-08-01,post,-4.658485581626891
AC,2009-09-01,post,-10.076367408700989
AC,2009-10-01,post,-11.683032525772092
AC,2009-11-01,post,-10.309616233182993
AC,2009-12-01,post,-10.825753773497894
AC,2010-01-01,post,-13.07090252627529
AC,2010-02-01,post,-13.242744360116383
AC,2010-03-01,post,-13.437520410817093
AC,2010-04-01,post,-11.459237245326605
AC,2010-05-01,post,-10.552962551642516
AC,2010-06-01,post,-9.936641157554199
AC,2010-07-01,post,-12.644002740046496
AC,2010-08-01,post,-11.519221643829617
AC,2010-09-01,post,-11.221203493082093
AC,2010-10-01,post,-10.517693941629389
AC,2010-11-01,post,-15.889908685917902
AC,2010-12-01,post,-19.347269682683795
AC,2011-01-01,post,-14.519756325406995
AC,2011-02-01,post,-12.622419123628802
AC,2011-03-01,post,-11.3026607579921
AL,2006-04-01,pre,-2.8304084464318287
AL,2006-05-01,pre,-6.9779573258121275
AL,2006-06-01,pre,-7.215820700548328
AL,2006-07-01,pre,-5.06372251774053
AL,2006-08-01,pre,-4.229647700332528
