dropped_donor,period_date,analysis_period,loo_gap
AC,2007-01-01,pre,-149.9748524919621
AC,2007-02-01,pre,118.06096193467252
AC,2007-03-01,pre,112.40973015153924
AC,2007-04-01,pre,2.8702502527669367
AC,2007-05-01,pre,-6.643445554236777
AC,2007-06-01,pre,-27.700114421985845
AC,2007-07-01,pre,-4.216435809622148
AC,2007-08-01,pre,-30.59799631629177
AC,2007-09-01,pre,-27.011991791401336
AC,2007-10-01,pre,39.270297247991266
AC,2007-11-01,pre,10.480236530238013
AC,2007-12-01,pre,-0.1068542273124038
AC,2008-01-01,pre,17.274643986388227
AC,2008-02-01,pre,-57.55326003044841
AC,2008-03-01,pre,27.34584352025933
AC,2008-04-01,pre,33.641188213309434
AC,2008-05-01,pre,88.18326082907942
AC,2008-06-01,pre,-13.576207032166252
AC,2008-07-01,pre,10.821474908237448
AC,2008-08-01,pre,18.699858523306332
AC,2008-09-01,pre,-112.86899096982678
AC,2008-10-01,pre,-22.294285362874753
AC,2008-11-01,pre,7.7998123401557615
AC,2008-12-01,pre,4.530798327322761
AC,2009-01-01,pre,13.563773376704216
AC,2009-02-01,post,-48.94672237756389
AC,2009-03-01,post,-23.560157118982076
AC,2009-04-01,post,91.92391618034196
AC,2009-05-01,post,-25.871188203017066
AC,2009-06-01,post,-25.572619233262834
AC,2009-07-01,post,37.26112211993964
AC,2009-08-01,post,-50.72034960237026
AC,2009-09-01,post,-110.72108733352658
AC,2009-10-01,post,-45.895370209832926
AC,2009-11-01,post,-40.50320117820723
AC,2009-12-01,post,-9.982581175005642
AC,2010-01-01,post,-12.476157683100375
AC,2010-02-01,post,123.80262061614594
AC,2010-03-01,post,-26.676837003352485
AC,2010-04-01,post,-97.82280003361542
AC,2010-05-01,post,-23.459719982570547
AC,2010-06-01,post,15.896067356456257
AC,2010-07-01,post,9.020351887947648
AC,2010-08-01,post,6.344693266560945
AC,2010-09-01,post,10.431244315977409
AC,2010-10-01,post,9.17407062501784
AC,2010-11-01,post,-31.638595976519454
AC,2010-12-01,post,-32.43023154486136
AC,2011-01-01,post,-49.0247279812259
AL,2007-01-01,pre,-167.4038571424955
AL,2007-02-01,pre,11.994018176996185
AL,2007-03-01,pre,117.96461008941978
AL,2007-04-01,pre,32.78600681407714
AL,2007-05-01,pre,10.798829778662991
AL,2007-06-01,pre,3.4513389547762134
AL,2007-07-01,pre,12.276225431174144
AL,2007-08-01,pre,-19.613376155885607
AL,2007-09-01,pre,-26.778298368441227
AL,2007-10-01,pre,14.346676722164169
AL,2007-11-01,pre,-0.8271446591568328
AL,2007-12-01,pre,-14.322307611823042
AL,2008-01-01,pre,18.133029263291803
AL,2008-02-01,pre,-55.657795261602594
AL,2008-03-01,pre,7.67099714557321
AL,2008-04-01,pre,2.5881644791714464
AL,2008-05-01,pre,-30.338681839709416
AL,2008-06-01,pre,-19.38528762773545
AL,2008-07-01,pre,15.333833579900713
AL,2008-08-01,pre,17.950540746178326
AL,2008-09-01,pre,-14.810477767842851
AL,2008-10-01,pre,-18.935325051011993
AL,2008-11-01,pre,-5.146681416967402
AL,2008-12-01,pre,1.220939381854314
AL,2009-01-01,pre,19.274845158668217
AL,2009-02-01,post,-64.68276799594207
AL,2009-03-01,post,0.14054429766080645
AL,2009-04-01,post,15.747665793336978
AL,2009-05-01,post,-10.761143354336273
AL,2009-06-01,post,-22.12526503555423
AL,2009-07-01,post,40.07584498013946
AL,2009-08-01,post,-56.31543464406445
AL,2009-09-01,post,-13.890248579459794
AL,2009-10-01,post,-18.82605621481138
AL,2009-11-01,post,-59.746528501281524
AL,2009-12-01,post,3.7700757430111125
AL,2010-01-01,post,-28.903873183317934
AL,2010-02-01,post,2.735560633800489
AL,2010-03-01,post,-78.96068686735236
AL,2010-04-01,post,-73.43605588902155
AL,2010-05-01,post,-5.642852073777561
AL,2010-06-01,post,1.4542602125379034
AL,2010-07-01,post,2.1778630785555535
AL,2010-08-01,post,-0.357895805086045
AL,2010-09-01,post,63.44269552844377
AL,2010-10-01,post,-3.829879686033564
AL,2010-11-01,post,-2.3385974674262755
AL,2010-12-01,post,-6.223947249770173
AL,2011-01-01,post,-21.91387224957809
AM,2007-01-01,pre,-152.36623193475674
AM,2007-02-01,pre,120.35715867900527
AM,2007-03-01,pre,110.87932808872047
AM,2007-04-01,pre,5.701954646689487
AM,2007-05-01,pre,-4.223981765081071
AM,2007-06-01,pre,-25.88887685449972
AM,2007-07-01,pre,-1.7578027575206008
AM,2007-08-01,pre,-32.915402443769025
AM,2007-09-01,pre,-24.54354977125314
AM,2007-10-01,pre,38.05617150404096
AM,2007-11-01,pre,8.807113533026552
AM,2007-12-01,pre,0.9242943939403503
AM,2008-01-01,pre,17.472102007898194
AM,2008-02-01,pre,-56.399439227793316
AM,2008-03-01,pre,28.024953323014948
AM,2008-04-01,pre,37.139498105476356
AM,2008-05-01,pre,86.36871665277327
AM,2008-06-01,pre,-15.103255607757802
AM,2008-07-01,pre,10.242797397595112
AM,2008-08-01,pre,21.07082422595301
AM,2008-09-01,pre,-112.38456861055398
AM,2008-10-01,pre,-22.617698884307828
AM,2008-11-01,pre,6.045075254862317
AM,2008-12-01,pre,3.2436779986862234
AM,2009-01-01,pre,11.629555901697685
AM,2009-02-01,post,-53.98360640918371
AM,2009-03-01,post,-28.540220584279517
AM,2009-04-01,post,83.89396758784447
AM,2009-05-01,post,-30.343372330539882
AM,2009-06-01,post,-30.216258587406926
AM,2009-07-01,post,34.87500396239358
AM,2009-08-01,post,-53.23936147624555
AM,2009-09-01,post,-114.67507130209813
AM,2009-10-01,post,-48.48736415243777
AM,2009-11-01,post,-38.91128373766512
AM,2009-12-01,post,-9.74395653682376
AM,2010-01-01,post,-10.192072399907147
AM,2010-02-01,post,122.6623841599093
AM,2010-03-01,post,-28.956189677177658
