dropped_donor,period_date,analysis_period,loo_gap
AC,2006-02-01,pre,1.3832817543594587
AC,2006-03-01,pre,3.5165174620633195
AC,2006-04-01,pre,1.1580779814069544
AC,2006-05-01,pre,0.11557846397812455
AC,2006-06-01,pre,0.8866130028709875
AC,2006-07-01,pre,0.9844343164493239
AC,2006-08-01,pre,-0.7803528348181601
AC,2006-09-01,pre,-0.6255521391725765
AC,2006-10-01,pre,-0.7939366083907302
AC,2006-11-01,pre,-2.7155268683937663
AC,2006-12-01,pre,-2.6188071009812006
AC,2007-01-01,pre,-2.5771996399872066
AC,2007-02-01,pre,-1.9004025089230439
AC,2007-03-01,pre,-2.9645075728229386
AC,2007-04-01,pre,-2.99017662756237
AC,2007-05-01,pre,-4.550605209545957
AC,2007-06-01,pre,-4.072349965389272
AC,2007-07-01,pre,-3.582363828774419
AC,2007-08-01,pre,-2.74996360816381
AC,2007-09-01,pre,-3.5162286667131113
AC,2007-10-01,pre,-3.0792778007189625
AC,2007-11-01,pre,-2.275050103389603
AC,2007-12-01,pre,-2.156574958850996
AC,2008-01-01,pre,1.4019394550014965
AC,2008-02-01,pre,-0.929122322624977
AC,2008-03-01,pre,-2.9042833474962038
AC,2008-04-01,pre,-1.9281301758935783
AC,2008-05-01,pre,-2.324278864128246
AC,2008-06-01,pre,-2.3364953592408
AC,2008-07-01,pre,-2.114439743756577
AC,2008-08-01,pre,3.733308921355821
AC,2008-09-01,pre,5.486796223282944
AC,2008-10-01,pre,-2.571912764405745
AC,2008-11-01,pre,-0.25200039557314113
AC,2008-12-01,pre,-0.5544993071805138
AC,2009-01-01,pre,-3.054540936927033
AC,2009-02-01,post,-2.8307842709502395
AC,2009-03-01,post,-2.7436441650376793
AC,2009-04-01,post,-1.5369375556784917
AC,2009-05-01,post,-2.0957159624599058
AC,2009-06-01,post,-2.2756529964329673
AC,2009-07-01,post,-4.608035002724037
AC,2009-08-01,post,-4.936320473370877
AC,2009-09-01,post,-6.1763474252404365
AC,2009-10-01,post,-4.6113057017914585
AC,2009-11-01,post,-5.9651281024166565
AC,2009-12-01,post,-5.4513176661912865
AC,2010-01-01,post,-4.36473632124445
AC,2010-02-01,post,-2.9705409647438756
AC,2010-03-01,post,-2.8367711491029297
AC,2010-04-01,post,-5.137336603750072
AC,2010-05-01,post,-0.9991046229798428
AC,2010-06-01,post,1.1561624324199045
AC,2010-07-01,post,2.16112081265544
AC,2010-08-01,post,6.975715001935157
AC,2010-09-01,post,2.545271894722447
AC,2010-10-01,post,-0.108536674474081
AC,2010-11-01,post,-0.8619123575297181
AC,2010-12-01,post,-1.4402469787304142
AC,2011-01-01,post,2.0283794291557484
AL,2006-02-01,pre,-2.109874443349156
AL,2006-03-01,pre,0.9670736719212556
AL,2006-04-01,pre,-1.9288167858308327
AL,2006-05-01,pre,-2.9305947514588055
AL,2006-06-01,pre,-1.4079449090000296
AL,2006-07-01,pre,-1.2615788682375921
AL,2006-08-01,pre,-2.3418568855616826
AL,2006-09-01,pre,-1.7623840865223173
AL,2006-10-01,pre,0.3184530634622007
AL,2006-11-01,pre,-1.1162029802465057
AL,2006-12-01,pre,-0.4852672603233401
AL,2007-01-01,pre,-0.5147389386761034
AL,2007-02-01,pre,0.1346658302051864
AL,2007-03-01,pre,-2.1787534641856183
AL,2007-04-01,pre,-1.719249906715028
AL,2007-05-01,pre,-3.8456095223104114
AL,2007-06-01,pre,-3.5451026172826374
AL,2007-07-01,pre,-3.613534283044281
AL,2007-08-01,pre,-2.3746900122669317
AL,2007-09-01,pre,-2.8590883767955972
AL,2007-10-01,pre,-2.513067892254014
AL,2007-11-01,pre,-2.615552146526568
AL,2007-12-01,pre,-2.573960246174309
AL,2008-01-01,pre,1.0721185907474151
AL,2008-02-01,pre,-1.1414905014220125
AL,2008-03-01,pre,-2.6910912295454636
AL,2008-04-01,pre,-2.1167909418085387
AL,2008-05-01,pre,-2.239181651531311
AL,2008-06-01,pre,-2.5281917073241615
AL,2008-07-01,pre,-1.6106464087852146
AL,2008-08-01,pre,4.472411438698174
AL,2008-09-01,pre,6.051357002360426
AL,2008-10-01,pre,-1.5848310394981127
AL,2008-11-01,pre,0.24659616153635255
AL,2008-12-01,pre,-1.2544250071224
AL,2009-01-01,pre,-2.3220069129157253
AL,2009-02-01,post,-1.9541201282932832
AL,2009-03-01,post,-1.9713505032399254
AL,2009-04-01,post,-0.16681753695915802
AL,2009-05-01,post,-0.8888834564907668
AL,2009-06-01,post,-1.14288899457744
AL,2009-07-01,post,-1.823941042973587
AL,2009-08-01,post,-3.6360229813314717
AL,2009-09-01,post,-4.560893034568878
AL,2009-10-01,post,-2.826310854701468
AL,2009-11-01,post,-3.929460483044579
AL,2009-12-01,post,-3.3978526307339507
AL,2010-01-01,post,-2.3927859193100147
AL,2010-02-01,post,-1.4714736125817325
AL,2010-03-01,post,-1.6816952558436782
AL,2010-04-01,post,-1.1654900329607614
AL,2010-05-01,post,1.1717519779452488
AL,2010-06-01,post,2.746513916485867
AL,2010-07-01,post,4.463287705690888
AL,2010-08-01,post,9.538779679307169
AL,2010-09-01,post,4.378892277296046
AL,2010-10-01,post,1.1200535453033496
AL,2010-11-01,post,2.1161868682804794
AL,2010-12-01,post,1.311456988087727
AL,2011-01-01,post,2.739478215729008
AM,2006-02-01,pre,2.161867893203137
AM,2006-03-01,pre,4.159505628760364
AM,2006-04-01,pre,1.94353508902757
AM,2006-05-01,pre,0.6816783619426658
AM,2006-06-01,pre,1.384274726392647
AM,2006-07-01,pre,1.4906294007683414
AM,2006-08-01,pre,-0.5084822903384136
AM,2006-09-01,pre,-0.45142135201312783
AM,2006-10-01,pre,-1.068403355233869
AM,2006-11-01,pre,-3.1461438448016494
AM,2006-12-01,pre,-3.237306220508245
AM,2007-01-01,pre,-3.265864809097863
AM,2007-02-01,pre,-2.375167051370134
AM,2007-03-01,pre,-3.111112826238454
AM,2007-04-01,pre,-3.291012864584083
AM,2007-05-01,pre,-4.8038664533145194
AM,2007-06-01,pre,-4.262207621733609
AM,2007-07-01,pre,-3.510163823406998
AM,2007-08-01,pre,-2.816204977721519
AM,2007-09-01,pre,-3.6101457204307295
AM,2007-10-01,pre,-3.15782133645407
AM,2007-11-01,pre,-2.120870769197161
AM,2007-12-01,pre,-2.0297084635832405
AM,2008-01-01,pre,1.4547493128062285
AM,2008-02-01,pre,-0.7553683538868796
AM,2008-03-01,pre,-2.914035661073406
AM,2008-04-01,pre,-1.8136417298138099
AM,2008-05-01,pre,-2.169986895498681
AM,2008-06-01,pre,-2.1196213390270273
AM,2008-07-01,pre,-2.1441788915360434
AM,2008-08-01,pre,3.7807476174279415
AM,2008-09-01,pre,5.545056501933509
AM,2008-10-01,pre,-2.552273219147793
AM,2008-11-01,pre,-0.15761212866034668
AM,2008-12-01,pre,0.1049456488887941
AM,2009-01-01,pre,-2.910837250624894
AM,2009-02-01,post,-2.716413858933386
AM,2009-03-01,post,-2.474681603709996
AM,2009-04-01,post,-1.3008624861663165
AM,2009-05-01,post,-1.8687382728866453
AM,2009-06-01,post,-2.1641878625973163
AM,2009-07-01,post,-4.935899495234466
AM,2009-08-01,post,-5.057770091288312
AM,2009-09-01,post,-6.485107975456586
AM,2009-10-01,post,-4.855379812262207
AM,2009-11-01,post,-6.310787687986419
AM,2009-12-01,post,-5.6628765700807975
AM,2010-01-01,post,-4.7045797386249575
AM,2010-02-01,post,-3.191014166616668
AM,2010-03-01,post,-2.9873306894204887
AM,2010-04-01,post,-5.794879083356278
AM,2010-05-01,post,-1.2271522072443588
AM,2010-06-01,post,0.9652215719575992
AM,2010-07-01,post,1.798956167574616
AM,2010-08-01,post,6.581425063032768
AM,2010-09-01,post,2.2913042776032597
AM,2010-10-01,post,-0.15742298582155456
AM,2010-11-01,post,-1.6317587522191843
AM,2010-12-01,post,-2.2305995122924287
AM,2011-01-01,post,1.9891541360750011
AP,2006-02-01,pre,2.935195806332139
AP,2006-03-01,pre,4.377949125072462
AP,2006-04-01,pre,2.577187637901325
AP,2006-05-01,pre,1.764519940674866
AP,2006-06-01,pre,1.8350334849989522
AP,2006-07-01,pre,1.8107683577684526
AP,2006-08-01,pre,-0.4711964592841511
AP,2006-09-01,pre,-0.6106209014127515
AP,2006-10-01,pre,-2.1564899598487557
AP,2006-11-01,pre,-4.221842511888681
AP,2006-12-01,pre,-4.004025799688748
AP,2007-01-01,pre,-4.322016901476566
AP,2007-02-01,pre,-3.631652766568628
AP,2007-03-01,pre,-3.8274343209081962
AP,2007-04-01,pre,-3.9350111148239364
AP,2007-05-01,pre,-4.921956859066611
AP,2007-06-01,pre,-4.732460065392054
AP,2007-07-01,pre,-4.291364103984279
AP,2007-08-01,pre,-3.758032163395285
AP,2007-09-01,pre,-4.677900177222369
AP,2007-10-01,pre,-3.8526445983063553
AP,2007-11-01,pre,-2.8487032478210494
AP,2007-12-01,pre,-2.40165314866875
AP,2008-01-01,pre,1.3076862102792148
AP,2008-02-01,pre,-2.026932921289273
AP,2008-03-01,pre,-4.20730258740938
AP,2008-04-01,pre,-3.0152727893486357
AP,2008-05-01,pre,-3.455993204566532
AP,2008-06-01,pre,-3.439319742712584
AP,2008-07-01,pre,-3.536793322688183
AP,2008-08-01,pre,1.9846789166863346
AP,2008-09-01,pre,3.852888965503027
AP,2008-10-01,pre,-4.709231727427351
AP,2008-11-01,pre,-1.9666897265474432
AP,2008-12-01,pre,-1.9360820962224707
AP,2009-01-01,pre,-5.014067338131433
AP,2009-02-01,post,-4.606925436775292
AP,2009-03-01,post,-4.460954016274229
AP,2009-04-01,post,-3.8361185420029926
AP,2009-05-01,post,-4.2915317336967576
AP,2009-06-01,post,-4.4157729774916845
AP,2009-07-01,post,-7.497240271129897
AP,2009-08-01,post,-7.060750928616436
AP,2009-09-01,post,-8.514856184260253
AP,2009-10-01,post,-6.997147947460057
AP,2009-11-01,post,-8.558451146382495
