dropped_donor,period_date,analysis_period,loo_gap
AC,2000-01-01,pre,-1.4210854715202004e-14
AC,2000-02-01,pre,-0.12284891885239801
AC,2000-03-01,pre,-1.6477339339786568
AC,2000-04-01,pre,1.745743599917276
AC,2000-05-01,pre,0.2587217326233002
AC,2000-06-01,pre,0.15167115284970123
AC,2000-07-01,pre,0.6806129382388093
AC,2000-08-01,pre,-4.6010209618312246
AC,2000-09-01,pre,-3.4263916970007244
AC,2000-10-01,pre,0.4795088180795375
AC,2000-11-01,pre,-1.531661962043458
AC,2000-12-01,pre,-0.04278148080356914
AC,2001-01-01,pre,2.9928991472608004
AC,2001-02-01,pre,0.866169851177375
AC,2001-03-01,pre,1.3541136309859496
AC,2001-04-01,pre,0.5388336837201706
AC,2001-05-01,pre,-1.6586257359414986
AC,2001-06-01,pre,0.960163767981129
AC,2001-07-01,pre,1.9010010699082613
AC,2001-08-01,pre,0.7993173880789186
AC,2001-09-01,pre,0.7840714251876619
AC,2001-10-01,pre,2.459962542876852
AC,2001-11-01,post,3.6078953546489316
AC,2001-12-01,post,6.871992581843983
AC,2002-01-01,post,11.177057732349454
AC,2002-02-01,post,8.948963561143955
AC,2002-03-01,post,9.05716436277008
AC,2002-04-01,post,11.170533109208606
AC,2002-05-01,post,9.245919262956818
AC,2002-06-01,post,11.569791137519005
AC,2002-07-01,post,9.652587055629525
AC,2002-08-01,post,13.087405248849578
AC,2002-09-01,post,12.969709759479159
AC,2002-10-01,post,10.370213051213028
AC,2002-11-01,post,17.1612576418909
AC,2002-12-01,post,26.07638806481404
AC,2003-01-01,post,29.77302011672154
AC,2003-02-01,post,25.286264364491714
AC,2003-03-01,post,15.093351066149694
AC,2003-04-01,post,14.801604377182258
AC,2003-05-01,post,16.52664565861639
AC,2003-06-01,post,18.514176011244857
AC,2003-07-01,post,16.35530866037105
AC,2003-08-01,post,20.42548376199423
AC,2003-09-01,post,22.818361010322292
AC,2003-10-01,post,19.995113689285816
AL,2000-01-01,pre,-1.4210854715202004e-14
AL,2000-02-01,pre,0.1688417601304053
AL,2000-03-01,pre,-1.752400549655846
AL,2000-04-01,pre,1.8117773253135994
AL,2000-05-01,pre,0.4383800254404946
AL,2000-06-01,pre,-0.08275325609504591
AL,2000-07-01,pre,1.0486367455510646
AL,2000-08-01,pre,-4.144812377571981
AL,2000-09-01,pre,-2.5583511756480846
AL,2000-10-01,pre,0.7778365538092515
AL,2000-11-01,pre,-1.2239843407014632
AL,2000-12-01,pre,-0.1466455399341271
AL,2001-01-01,pre,2.5955561260188773
AL,2001-02-01,pre,0.6962057560472061
AL,2001-03-01,pre,1.013649806712678
AL,2001-04-01,pre,-0.19655816288292272
AL,2001-05-01,pre,-1.6983404211391218
AL,2001-06-01,pre,1.1050238775580254
AL,2001-07-01,pre,1.3732204127165204
AL,2001-08-01,pre,1.285641451341462
AL,2001-09-01,pre,0.46247603333715404
AL,2001-10-01,pre,2.455620308727319
AL,2001-11-01,post,3.8763862899183295
AL,2001-12-01,post,6.576580511592155
AL,2002-01-01,post,11.869442631634996
AL,2002-02-01,post,9.411197756382705
AL,2002-03-01,post,9.898915807831699
AL,2002-04-01,post,10.462308009956686
AL,2002-05-01,post,10.33494746662592
AL,2002-06-01,post,12.201911511743802
AL,2002-07-01,post,10.475949057616774
AL,2002-08-01,post,13.44514880124349
AL,2002-09-01,post,13.018696691225585
AL,2002-10-01,post,11.375440236023081
AL,2002-11-01,post,18.74202797382854
AL,2002-12-01,post,26.677880134841203
AL,2003-01-01,post,30.81802028937429
AL,2003-02-01,post,26.420434993616652
AL,2003-03-01,post,16.13060651273524
AL,2003-04-01,post,16.604476714038412
AL,2003-05-01,post,18.3873055212659
AL,2003-06-01,post,19.20139611707515
AL,2003-07-01,post,17.027362813325396
AL,2003-08-01,post,20.869881210066126
AL,2003-09-01,post,23.041679718086982
AL,2003-10-01,post,19.912020954811894
AM,2000-01-01,pre,1.4210854715202004e-14
AM,2000-02-01,pre,0.19413597689595008
AM,2000-03-01,pre,-1.8012868342749329
AM,2000-04-01,pre,1.8175545663132908
AM,2000-05-01,pre,0.44961592815622
AM,2000-06-01,pre,-0.13495724346853422
AM,2000-07-01,pre,1.0829258021982753
AM,2000-08-01,pre,-4.07891601716932
AM,2000-09-01,pre,-2.4341474010405335
AM,2000-10-01,pre,0.8157023222398294
AM,2000-11-01,pre,-1.1760650507409025
AM,2000-12-01,pre,-0.16560413721600753
AM,2001-01-01,pre,2.521025514745247
AM,2001-02-01,pre,0.6731922827143535
AM,2001-03-01,pre,0.9752635974984116
AM,2001-04-01,pre,-0.3298525048252543
AM,2001-05-01,pre,-1.746759979903615
AM,2001-06-01,pre,1.0859864805717478
AM,2001-07-01,pre,1.2912528597118609
AM,2001-08-01,pre,1.3141841626557778
AM,2001-09-01,pre,0.3823836144754864
AM,2001-10-01,pre,2.43011725338107
AM,2001-11-01,post,3.865288062934326
AM,2001-12-01,post,6.489828914044111
AM,2002-01-01,post,11.959931173179541
AM,2002-02-01,post,9.467768861979707
AM,2002-03-01,post,10.011368427232824
AM,2002-04-01,post,10.373299923091025
AM,2002-05-01,post,10.516280633747598
AM,2002-06-01,post,12.297875232435189
AM,2002-07-01,post,10.579126447609596
AM,2002-08-01,post,13.49812955669104
AM,2002-09-01,post,13.02756135636622
AM,2002-10-01,post,11.543555547611874
AM,2002-11-01,post,18.984937692167208
AM,2002-12-01,post,26.761224839465996
AM,2003-01-01,post,30.98369834875767
AM,2003-02-01,post,26.625665447779255
AM,2003-03-01,post,16.30431625085869
AM,2003-04-01,post,16.86337662344971
AM,2003-05-01,post,18.685407323954905
AM,2003-06-01,post,19.345606249527663
AM,2003-07-01,post,17.156397690565086
AM,2003-08-01,post,20.97353775376226
AM,2003-09-01,post,23.109429380535474
AM,2003-10-01,post,19.941692797561828
AP,2000-01-01,pre,0
AP,2000-02-01,pre,0.21392078794048075
AP,2000-03-01,pre,-1.7440625482045817
AP,2000-04-01,pre,1.866805664303854
AP,2000-05-01,pre,0.47796728248131615
AP,2000-06-01,pre,-0.07934766866482335
AP,2000-07-01,pre,1.1461816594842702
AP,2000-08-01,pre,-4.0457010391736645
AP,2000-09-01,pre,-2.4135572589627543
AP,2000-10-01,pre,0.8332879992282471
AP,2000-11-01,pre,-1.1531822204953954
AP,2000-12-01,pre,-0.1106700176573554
AP,2001-01-01,pre,2.610218062196992
AP,2001-02-01,pre,0.7239729012981968
AP,2001-03-01,pre,0.9942730703271394
AP,2001-04-01,pre,-0.24967687268761551
AP,2001-05-01,pre,-1.6230535169360252
AP,2001-06-01,pre,1.1909953596696568
AP,2001-07-01,pre,1.3250978174466042
AP,2001-08-01,pre,1.38104580682824
AP,2001-09-01,pre,0.4470324420323095
AP,2001-10-01,pre,2.484329229303853
AP,2001-11-01,post,3.9299465241880256
AP,2001-12-01,post,6.559900061055899
AP,2002-01-01,post,11.980736008152832
AP,2002-02-01,post,9.477525135476654
AP,2002-03-01,post,10.03347495798782
AP,2002-04-01,post,10.376524074833853
AP,2002-05-01,post,10.473499482438456
AP,2002-06-01,post,12.290223779686698
AP,2002-07-01,post,10.62643904350692
AP,2002-08-01,post,13.505596052846741
AP,2002-09-01,post,13.048591362677811
AP,2002-10-01,post,11.4686779986816
AP,2002-11-01,post,18.959158841796167
AP,2002-12-01,post,26.74592166095661
AP,2003-01-01,post,30.984055940450233
AP,2003-02-01,post,26.537959468741647
AP,2003-03-01,post,16.272814827020568
AP,2003-04-01,post,16.850348087746852
AP,2003-05-01,post,18.622105190615684
AP,2003-06-01,post,19.28280428845362
AP,2003-07-01,post,17.10617165437918
AP,2003-08-01,post,20.94459386464878
AP,2003-09-01,post,23.099724167981293
AP,2003-10-01,post,19.94024786601834
BA,2000-01-01,pre,0
BA,2000-02-01,pre,0.17926549038020312
BA,2000-03-01,pre,-1.719322422805078
BA,2000-04-01,pre,1.7765226618695351
BA,2000-05-01,pre,0.44346662996069597
BA,2000-06-01,pre,-0.06905728827467783
BA,2000-07-01,pre,1.0158899430568624
BA,2000-08-01,pre,-4.169123564420346
BA,2000-09-01,pre,-2.587515013653558
BA,2000-10-01,pre,0.7534458532824999
BA,2000-11-01,pre,-1.2255825923989647
BA,2000-12-01,pre,-0.15856942654690442
BA,2001-01-01,pre,2.5814778729235286
BA,2001-02-01,pre,0.6836378796989635
BA,2001-03-01,pre,0.9945078884930751
BA,2001-04-01,pre,-0.179521573951547
BA,2001-05-01,pre,-1.6859975991834233
BA,2001-06-01,pre,1.093872010389049
BA,2001-07-01,pre,1.3775491517743745
BA,2001-08-01,pre,1.2802808514934014
BA,2001-09-01,pre,0.44755320104816576
BA,2001-10-01,pre,2.455433959882967
BA,2001-11-01,post,3.873267938970102
BA,2001-12-01,post,6.60297141062442
BA,2002-01-01,post,11.869312478026572
BA,2002-02-01,post,9.41359003295895
BA,2002-03-01,post,9.876505739464122
BA,2002-04-01,post,10.45800555502791
BA,2002-05-01,post,10.308871273527188
BA,2002-06-01,post,12.182356530499433
BA,2002-07-01,post,10.476242812146424
BA,2002-08-01,post,13.440826118817114
BA,2002-09-01,post,13.017332107859843
BA,2002-10-01,post,11.40401679775455
BA,2002-11-01,post,18.69891755980632
BA,2002-12-01,post,26.676492245760613
BA,2003-01-01,post,30.8336847033802
BA,2003-02-01,post,26.407909302682796
BA,2003-03-01,post,16.13504346956563
BA,2003-04-01,post,16.559766075444273
BA,2003-05-01,post,18.38143163765288
BA,2003-06-01,post,19.207269208105217
BA,2003-07-01,post,17.001724032543976
BA,2003-08-01,post,20.82202552097698
BA,2003-09-01,post,23.00711562049399
BA,2003-10-01,post,19.886560710212564
CE,2000-01-01,pre,2.842170943040401e-14
CE,2000-02-01,pre,0.4482570772902932
CE,2000-03-01,pre,-2.5025756567295616
CE,2000-04-01,pre,2.120148220065687
CE,2000-05-01,pre,0.35714594912232656
CE,2000-06-01,pre,-0.24035263794716855
CE,2000-07-01,pre,1.2424801340459197
CE,2000-08-01,pre,-3.9160292429964727
CE,2000-09-01,pre,-1.5556193824206304
CE,2000-10-01,pre,0.407692912021389
CE,2000-11-01,pre,-1.3897149059094005
CE,2000-12-01,pre,-1.2369039790810348
CE,2001-01-01,pre,2.419047284010148
CE,2001-02-01,pre,1.0010861877488821
CE,2001-03-01,pre,0.7170466209330897
CE,2001-04-01,pre,-1.4822376568142062
CE,2001-05-01,pre,-1.271954654255964
CE,2001-06-01,pre,1.661844762932219
CE,2001-07-01,pre,1.0584596191012992
CE,2001-08-01,pre,2.322579011984544
CE,2001-09-01,pre,0.3644679347606399
CE,2001-10-01,pre,3.1575834416324398
CE,2001-11-01,post,4.029961676296921
CE,2001-12-01,post,5.197726677078293
CE,2002-01-01,post,12.35328806302428
CE,2002-02-01,post,9.339887124061121
CE,2002-03-01,post,11.227761345600598
CE,2002-04-01,post,10.137895500148659
CE,2002-05-01,post,12.367700417740807
CE,2002-06-01,post,13.200437460951974
CE,2002-07-01,post,12.079962794090449
CE,2002-08-01,post,13.902227622035568
CE,2002-09-01,post,13.245883465630314
CE,2002-10-01,post,11.180584729860328
CE,2002-11-01,post,20.74964320002978
CE,2002-12-01,post,26.920977428764118
CE,2003-01-01,post,31.639335879464085
CE,2003-02-01,post,27.36792098454073
CE,2003-03-01,post,16.49339803919176
CE,2003-04-01,post,17.951785451166714
CE,2003-05-01,post,20.314342650210264
CE,2003-06-01,post,19.54116775751335
CE,2003-07-01,post,17.425401736314697
CE,2003-08-01,post,21.878991377422366
CE,2003-09-01,post,23.53128526001956
CE,2003-10-01,post,20.44305913620363
DF,2000-01-01,pre,0
DF,2000-02-01,pre,0.15835659122072343
DF,2000-03-01,pre,-1.7322080461247396
DF,2000-04-01,pre,1.7995891845246206
DF,2000-05-01,pre,0.43504198808751937
DF,2000-06-01,pre,-0.10480550398931143
DF,2000-07-01,pre,1.028653695513455
DF,2000-08-01,pre,-4.1794212953452785
DF,2000-09-01,pre,-2.5984633069656837
DF,2000-10-01,pre,0.7670794612999856
DF,2000-11-01,pre,-1.2602998735642217
DF,2000-12-01,pre,-0.16310189291667143
DF,2001-01-01,pre,2.597039820155331
DF,2001-02-01,pre,0.6924850732670222
DF,2001-03-01,pre,1.007907537504579
DF,2001-04-01,pre,-0.16133858781377342
DF,2001-05-01,pre,-1.683042735721969
DF,2001-06-01,pre,1.1084431182532057
DF,2001-07-01,pre,1.3963272747992903
DF,2001-08-01,pre,1.308891939461489
DF,2001-09-01,pre,0.516743444190439
DF,2001-10-01,pre,2.4721873201576017
DF,2001-11-01,post,3.9060140424374623
