donor_state,scm_weight,outcome
SE,0.3850550994021203,Retail volume
MG,0.31501283338716884,Retail volume
MT,0.21231601866548172,Retail volume
ES,0.0876160485452273,Retail volume
GO,1.0895735135281593e-15,Retail volume
PR,0.5530946661013849,Services volume
SP,0.2374980346503107,Services volume
RR,0.04562648162308274,Services volume
CE,0.04524509517207693,Services volume
RS,0.03893282398880485,Services volume
PR,0.1906692910623287,Formal hiring
SP,0.1878606144566502,Formal hiring
MG,0.16808078628053183,Formal hiring
DF,0.13748346530539662,Formal hiring
PE,0.08739226269692459,Formal hiring
PE,0.26999334591954105,Construction
SC,0.2559297854016043,Construction
PA,0.14939118890327438,Construction
RS,0.13462690897443086,Construction
MG,0.12553548887708024,Construction
PR,0.5171994334416957,ICMS
SP,0.1624393655610911,ICMS
MG,0.15635132517964123,ICMS
RN,0.09512948260613271,ICMS
AC,0.04932246196986094,ICMS
PR,0.447991220748068,Tax revenue
RN,0.17515880277155313,Tax revenue
SC,0.17295588779549814,Tax revenue
SP,0.1712542671188997,Tax revenue
AC,0.02239912580465027,Tax revenue
