pseudo_treated_state,outcome,channel_slug,period_date,analysis_period,augmented_gap
AC,retail,consumption,2011-04-01,pre,-0.6505110280714277
AC,retail,consumption,2011-05-01,pre,-1.0456193325025112
AC,retail,consumption,2011-06-01,pre,0.48564932964042384
AC,retail,consumption,2011-07-01,pre,-7.417453551177907
AC,retail,consumption,2011-08-01,pre,-3.1292245287165485
AC,retail,consumption,2011-09-01,pre,0.18639144132278318
AC,retail,consumption,2011-10-01,pre,-5.142715577397297
AC,retail,consumption,2011-11-01,pre,-3.164684231920731
AC,retail,consumption,2011-12-01,pre,13.547481018954159
AC,retail,consumption,2012-01-01,pre,5.962900662528256
AC,retail,consumption,2012-02-01,pre,-0.7261897267298707
AC,retail,consumption,2012-03-01,pre,2.395922734270002
AC,retail,consumption,2012-04-01,pre,3.1905945380549383
AC,retail,consumption,2012-05-01,pre,9.66113447934984
AC,retail,consumption,2012-06-01,pre,-4.760093113975145
AC,retail,consumption,2012-07-01,pre,1.5247110348140183
AC,retail,consumption,2012-08-01,pre,-4.1896156463701715
AC,retail,consumption,2012-09-01,pre,-2.6967019996054518
AC,retail,consumption,2012-10-01,pre,3.1168504140422044
AC,retail,consumption,2012-11-01,pre,0.6899652371745617
AC,retail,consumption,2012-12-01,pre,-1.4820017358854471
AC,retail,consumption,2013-01-01,pre,-4.112288955342692
AC,retail,consumption,2013-02-01,pre,-3.694454839324493
AC,retail,consumption,2013-03-01,pre,-4.93610135186421
AC,retail,consumption,2013-04-01,pre,-8.380741611768215
AC,retail,consumption,2013-05-01,pre,-8.519080704309062
AC,retail,consumption,2013-06-01,pre,-5.213054219240476
AC,retail,consumption,2013-07-01,pre,4.442910512629581
AC,retail,consumption,2013-08-01,pre,-4.927974585214059
AC,retail,consumption,2013-09-01,pre,-3.6156664926554356
AC,retail,consumption,2013-10-01,pre,-0.40821393104234005
AC,retail,consumption,2013-11-01,pre,3.533299391834319
AC,retail,consumption,2013-12-01,pre,9.581491593748694
AC,retail,consumption,2014-01-01,pre,-0.9187297922796063
AC,retail,consumption,2014-02-01,pre,-4.1871053159946
AC,retail,consumption,2014-03-01,pre,6.307069428156453
AC,retail,consumption,2014-04-01,post,-10.364102343919527
AC,retail,consumption,2014-05-01,post,2.6042226622498674
AC,retail,consumption,2014-06-01,post,-2.6468507200505087
AC,retail,consumption,2014-07-01,post,3.7029383985995565
AC,retail,consumption,2014-08-01,post,2.494967900237853
AC,retail,consumption,2014-09-01,post,-1.8080110569340775
AC,retail,consumption,2014-10-01,post,0.991687495333224
AC,retail,consumption,2014-11-01,post,5.039496966665411
AC,retail,consumption,2014-12-01,post,-1.8918338381346302
AC,retail,consumption,2015-01-01,post,-2.1734122743982596
AC,retail,consumption,2015-02-01,post,-2.4534601727509653
AC,retail,consumption,2015-03-01,post,3.187292942759214
AC,retail,consumption,2015-04-01,post,-3.6854871196149475
AC,retail,consumption,2015-05-01,post,-1.0023356172363123
AC,retail,consumption,2015-06-01,post,-2.552547703205306
AC,retail,consumption,2015-07-01,post,-5.3372591066976725
AC,retail,consumption,2015-08-01,post,-2.7434031898342397
