dropped_donor,period_date,analysis_period,loo_gap
AC,2017-08-01,pre,-34.32788284795813
AC,2017-09-01,pre,-44.300986749784016
AC,2017-10-01,pre,-28.025363911078976
AC,2017-11-01,pre,-28.80201062031699
AC,2017-12-01,pre,-18.180020394365602
AC,2018-01-01,pre,-38.64218447235848
AC,2018-02-01,pre,-34.04969178387706
AC,2018-03-01,pre,-36.28142764278909
AC,2018-04-01,pre,31.38096112852316
AC,2018-05-01,pre,-8.847396132440478
AC,2018-06-01,pre,-10.857122267973935
AC,2018-07-01,pre,-15.369734253747454
AC,2018-08-01,pre,-13.57246317746171
AC,2018-09-01,pre,9.719264654300844
AC,2018-10-01,pre,-14.822695256963712
AC,2018-11-01,pre,-10.06855416378988
AC,2018-12-01,pre,10.173900394491563
AC,2019-01-01,pre,-9.302258541254883
AC,2019-02-01,pre,-13.534364148702458
AC,2019-03-01,pre,-0.3285762883720462
AC,2019-04-01,pre,-29.310646917274823
AC,2019-05-01,pre,-15.63607701079816
AC,2019-06-01,pre,-1.0876725412830943
AC,2019-07-01,pre,-5.845916857209189
AC,2019-08-01,pre,43.86350075660452
AC,2019-09-01,pre,36.08431988874602
AC,2019-10-01,pre,-51.828132438580006
AC,2019-11-01,pre,-22.235470701143946
AC,2019-12-01,pre,-32.03019055861608
AC,2020-01-01,pre,-7.176423754411527
AC,2020-02-01,pre,-40.60716714856616
AC,2020-03-01,pre,-52.519156499822174
AC,2020-04-01,pre,-10.15011617253225
AC,2020-05-01,pre,-57.34911144239592
AC,2020-06-01,pre,-91.09943434097502
AC,2020-07-01,pre,-69.10083958195284
AC,2020-08-01,post,-93.16373295365239
AC,2020-09-01,post,-81.63241790085394
AC,2020-10-01,post,-39.30320668165869
AC,2020-11-01,post,-52.7792254083181
AC,2020-12-01,post,-54.17252556620744
AC,2021-01-01,post,-46.499440688886594
AC,2021-02-01,post,-31.01334120169271
AC,2021-03-01,post,-25.770047818610024
AC,2021-04-01,post,14.163525932686284
AC,2021-05-01,post,-28.491212218692496
AC,2021-06-01,post,-27.14017345524647
AC,2021-07-01,post,-5.7859898278993285
AC,2021-08-01,post,-22.628201766571777
AC,2021-09-01,post,16.100777227611104
AC,2021-10-01,post,21.993917288350346
AC,2021-11-01,post,16.558014478002846
AC,2021-12-01,post,-7.647422776573677
AC,2022-01-01,post,42.446071892625895
AC,2022-02-01,post,20.08910122972624
AC,2022-03-01,post,25.20524252161421
AC,2022-04-01,post,-0.9418726166929048
AC,2022-05-01,post,4.094241679153484
AC,2022-06-01,post,32.53841885872565
AC,2022-07-01,post,-10.045893485988444
AL,2017-08-01,pre,-32.998475219167226
AL,2017-09-01,pre,-42.89779307968385
AL,2017-10-01,pre,-28.870256902524947
AL,2017-11-01,pre,-26.270427975539427
AL,2017-12-01,pre,-20.33845564287976
