dropped_donor,period_date,analysis_period,loo_gap
AC,2016-08-01,pre,-40.395169179624816
AC,2016-10-01,pre,-59.24312535320041
AC,2016-12-01,pre,-49.180871035413475
AC,2017-02-01,pre,-46.351820522285664
AC,2017-04-01,pre,-44.78451060241184
AC,2017-06-01,pre,-56.9156737471277
AC,2017-08-01,pre,-40.25690570440656
AC,2017-10-01,pre,-50.192433528303695
AC,2017-12-01,pre,-64.58931124001879
AC,2018-02-01,pre,25.93187091446913
AC,2018-04-01,pre,-5.446506233417438
AC,2018-06-01,pre,38.20468549863597
AC,2018-08-01,pre,64.91846853609525
AC,2018-10-01,pre,-26.10105585249096
AC,2018-12-01,pre,92.63789333809643
AC,2019-02-01,pre,28.964854765149312
AC,2019-04-01,pre,-2.936109165249377
AC,2019-06-01,pre,-10.791926841649172
AC,2019-08-01,pre,-15.358970694379536
AC,2019-10-01,pre,-8.440932758629003
AC,2019-12-01,pre,-4.785308362311753
AC,2020-02-01,pre,9.38953552124184
AC,2020-04-01,pre,0.37090569167747844
AC,2020-06-01,pre,-30.01286908449572
AC,2020-08-01,post,-0.6275583625134118
AC,2020-10-01,post,8.969229605295254
AC,2020-12-01,post,98.58379889766485
AC,2021-02-01,post,-36.94375466670158
AC,2021-04-01,post,-15.586148791698747
AC,2021-06-01,post,-10.438093654909324
AC,2021-08-01,post,-44.02125078764499
AC,2021-10-01,post,-15.796968064863506
AC,2021-12-01,post,-23.917777046227457
AC,2022-02-01,post,9.440356530829206
AC,2022-04-01,post,-8.945145369425916
AC,2022-06-01,post,-2.80022830621175
AL,2016-08-01,pre,-39.66570911582835
AL,2016-10-01,pre,-57.84065158014903
AL,2016-12-01,pre,-47.95053514516229
AL,2017-02-01,pre,-44.933857420320976
AL,2017-04-01,pre,-44.26048254669627
AL,2017-06-01,pre,-56.20500758376528
AL,2017-08-01,pre,-37.14154468291565
AL,2017-10-01,pre,-47.7368346195895
AL,2017-12-01,pre,-65.28837101600897
AL,2018-02-01,pre,26.7643691730853
AL,2018-04-01,pre,-4.098923677233415
AL,2018-06-01,pre,38.87793578289296
AL,2018-08-01,pre,66.0350939171513
AL,2018-10-01,pre,-22.301159422607725
AL,2018-12-01,pre,90.85846416231544
AL,2019-02-01,pre,30.087335887620668
AL,2019-04-01,pre,-2.1679367684372437
AL,2019-06-01,pre,-10.279308778101722
AL,2019-08-01,pre,-15.063076590189837
AL,2019-10-01,pre,-7.942530003112552
AL,2019-12-01,pre,-3.9817882244150837
AL,2020-02-01,pre,10.872963549930773
AL,2020-04-01,pre,1.280378833730822
AL,2020-06-01,pre,-28.62889344701756
AL,2020-08-01,post,0.68047907785222606
AL,2020-10-01,post,11.612474386381507
AL,2020-12-01,post,100.63172533192932
AL,2021-02-01,post,-35.77297250528369
AL,2021-04-01,post,-14.54806309398765
AL,2021-06-01,post,-8.98783145357288
AL,2021-08-01,post,-41.6086183696886
AL,2021-10-01,post,-14.024642119629505
AL,2021-12-01,post,-22.263331819825453
AL,2022-02-01,post,6.782858655068537
AL,2022-04-01,post,-11.443804255933912
AL,2022-06-01,post,-4.947921910831326
AP,2016-08-01,pre,-39.53151343288971
AP,2016-10-01,pre,-58.24998232683686
AP,2016-12-01,pre,-48.215984414289494
AP,2017-02-01,pre,-45.316733650943604
AP,2017-04-01,pre,-44.119503130600435
AP,2017-06-01,pre,-56.009459426414594
AP,2017-08-01,pre,-39.412645200420116
AP,2017-10-01,pre,-49.32955633455646
AP,2017-12-01,pre,-63.40402277371243
AP,2018-02-01,pre,27.02799466120109
AP,2018-04-01,pre,-4.538560422753278
AP,2018-06-01,pre,38.666487595714955
AP,2018-08-01,pre,65.6479907537011
AP,2018-10-01,pre,-25.29783444909708
AP,2018-12-01,pre,92.86313887345676
AP,2019-02-01,pre,29.88131953698678
AP,2019-04-01,pre,-2.165340171834657
AP,2019-06-01,pre,-10.134481304021222
AP,2019-08-01,pre,-14.707098313754045
AP,2019-10-01,pre,-7.634026582469744
AP,2019-12-01,pre,-4.125936143393574
AP,2020-02-01,pre,10.15916138344096
AP,2020-04-01,pre,0.8622775933026219
AP,2020-06-01,pre,-29.15604592263668
AP,2020-08-01,post,0.09199993190071609
AP,2020-10-01,post,9.68371346042386
AP,2020-12-01,post,99.44912978132402
AP,2021-02-01,post,-36.24438641101278
AP,2021-04-01,post,-14.59290587882765
AP,2021-06-01,post,-9.579523527289894
AP,2021-08-01,post,-42.79705828964126
AP,2021-10-01,post,-14.809952915408019
AP,2021-12-01,post,-22.750903934415703
AP,2022-02-01,post,9.449277951872148
AP,2022-04-01,post,-9.080322767042787
AP,2022-06-01,post,-2.583809833114458
BA,2016-08-01,pre,-39.062602969564864
BA,2016-10-01,pre,-57.294935965181764
BA,2016-12-01,pre,-48.10924937482065
BA,2017-02-01,pre,-44.76507724822716
BA,2017-04-01,pre,-43.55779667122266
BA,2017-06-01,pre,-55.90725598202573
BA,2017-08-01,pre,-36.43104690565707
BA,2017-10-01,pre,-47.66537919956568
BA,2017-12-01,pre,-66.00750164613726
BA,2018-02-01,pre,25.871734059446624
BA,2018-04-01,pre,-4.637110436182013
BA,2018-06-01,pre,41.46460614512523
BA,2018-08-01,pre,66.59374896656561
BA,2018-10-01,pre,-23.427930522057807
BA,2018-12-01,pre,93.75689925920506
BA,2019-02-01,pre,30.591682333525057
BA,2019-04-01,pre,-1.506370956259218
BA,2019-06-01,pre,-9.083433414996989
BA,2019-08-01,pre,-13.892505008956107
BA,2019-10-01,pre,-6.886188914018305
BA,2019-12-01,pre,-3.504061640328075
BA,2020-02-01,pre,11.978886659723344
BA,2020-04-01,pre,2.6565763306713848
BA,2020-06-01,pre,-27.54611497527776
BA,2020-08-01,post,1.884713039786675
BA,2020-10-01,post,11.337828574694015
BA,2020-12-01,post,100.97979199826443
BA,2021-02-01,post,-34.10676339989931
BA,2021-04-01,post,-12.885854494898979
BA,2021-06-01,post,-7.710010673659667
BA,2021-08-01,post,-40.7505814586558
BA,2021-10-01,post,-12.592705010173916
BA,2021-12-01,post,-20.952745548761868
BA,2022-02-01,post,11.292142614992827
BA,2022-04-01,post,-6.849265057481318
BA,2022-06-01,post,-0.7901751692377275
CE,2016-08-01,pre,-39.5082506046204
CE,2016-10-01,pre,-58.07569024176081
CE,2016-12-01,pre,-47.939817290777114
CE,2017-02-01,pre,-45.141093694631195
CE,2017-04-01,pre,-43.779507993798745
CE,2017-06-01,pre,-56.04785844520541
CE,2017-08-01,pre,-37.321863306807586
CE,2017-10-01,pre,-47.757736572602084
CE,2017-12-01,pre,-65.00752184670245
CE,2018-02-01,pre,27.14425668672493
CE,2018-04-01,pre,-3.7116932359372186
CE,2018-06-01,pre,39.226516158457855
CE,2018-08-01,pre,66.54734539237103
CE,2018-10-01,pre,-22.589851591157412
CE,2018-12-01,pre,92.7995461096595
CE,2019-02-01,pre,30.32622340637181
CE,2019-04-01,pre,-1.5253469897438663
CE,2019-06-01,pre,-9.589748361482009
CE,2019-08-01,pre,-14.215704199498532
CE,2019-10-01,pre,-7.395939358975795
CE,2019-12-01,pre,-3.477404513522231
CE,2020-02-01,pre,11.319670830345842
CE,2020-04-01,pre,1.9965046446179713
CE,2020-06-01,pre,-28.576137823477836
CE,2020-08-01,post,1.18991284809033
CE,2020-10-01,post,11.953319794698928
CE,2020-12-01,post,100.88653746194876
CE,2021-02-01,post,-34.90135062085881
CE,2021-04-01,post,-14.205152467341009
CE,2021-06-01,post,-8.43107955467201
CE,2021-08-01,post,-41.47582705571699
CE,2021-10-01,post,-13.556548593634261
CE,2021-12-01,post,-22.092704287693834
CE,2022-02-01,post,8.61229182513921
CE,2022-04-01,post,-9.482719613845575
CE,2022-06-01,post,-3.4962410565457844
DF,2016-08-01,pre,-40.14153464501817
DF,2016-10-01,pre,-57.65438356533866
DF,2016-12-01,pre,-49.78618791448781
DF,2017-02-01,pre,-46.081028864728694
DF,2017-04-01,pre,-44.105652093784556
DF,2017-06-01,pre,-56.75232494109446
DF,2017-08-01,pre,-38.60065178896127
DF,2017-10-01,pre,-48.348122668867916
DF,2017-12-01,pre,-63.553259379171664
DF,2018-02-01,pre,23.814726051711034
DF,2018-04-01,pre,-8.812942144562157
DF,2018-06-01,pre,45.82691053333912
DF,2018-08-01,pre,66.24735549998974
DF,2018-10-01,pre,-20.895966683940458
DF,2018-12-01,pre,91.95076061323465
DF,2019-02-01,pre,29.319435117829812
DF,2019-04-01,pre,-1.511755856152206
DF,2019-06-01,pre,-9.906282361595174
DF,2019-08-01,pre,-14.470951696511861
DF,2019-10-01,pre,-7.298729749273093
DF,2019-12-01,pre,-2.8621547500767974
DF,2020-02-01,pre,10.325914424017867
DF,2020-04-01,pre,0.8377200984057822
DF,2020-06-01,pre,-30.094907604198966
DF,2020-08-01,post,0.5648535026380728
DF,2020-10-01,post,11.993989847567946
DF,2020-12-01,post,99.29232992029068
DF,2021-02-01,post,-35.605182351204064
DF,2021-04-01,post,-15.864419003052433
DF,2021-06-01,post,-8.815842008162065
DF,2021-08-01,post,-42.4109565061446
DF,2021-10-01,post,-14.365783065850053
DF,2021-12-01,post,-23.805528608879
DF,2022-02-01,post,6.284862902762654
DF,2022-04-01,post,-12.202099732655086
DF,2022-06-01,post,-5.983324640046078
ES,2016-08-01,pre,-39.433265214632286
ES,2016-10-01,pre,-57.9805490824528
ES,2016-12-01,pre,-47.96980801715392
ES,2017-02-01,pre,-45.12659387235652
ES,2017-04-01,pre,-43.698849893990655
ES,2017-06-01,pre,-55.953183766398865
ES,2017-08-01,pre,-37.609962893490945
ES,2017-10-01,pre,-47.87646223743957
ES,2017-12-01,pre,-64.4564941232154
ES,2018-02-01,pre,27.12585716274492
ES,2018-04-01,pre,-3.9929891571446205
ES,2018-06-01,pre,39.69419163393013
ES,2018-08-01,pre,66.58194170214023
ES,2018-10-01,pre,-22.676252202397052
ES,2018-12-01,pre,92.97977894465151
ES,2019-02-01,pre,30.345693486723007
ES,2019-04-01,pre,-1.411710841588274
ES,2019-06-01,pre,-9.519113671609375
ES,2019-08-01,pre,-14.10796095655951
ES,2019-10-01,pre,-7.252504152504173
ES,2019-12-01,pre,-3.349747866153564
ES,2020-02-01,pre,11.243037910058945
ES,2020-04-01,pre,1.9038806142307863
ES,2020-06-01,pre,-28.673678241828554
ES,2020-08-01,post,1.148710818161078
ES,2020-10-01,post,11.849507189674057
ES,2020-12-01,post,100.74114943116257
ES,2021-02-01,post,-34.93991833518663
ES,2021-04-01,post,-14.245416233454591
ES,2021-06-01,post,-8.434918003461291
ES,2021-08-01,post,-41.54379432620607
ES,2021-10-01,post,-13.60786387032067
ES,2021-12-01,post,-22.15967641114139
ES,2022-02-01,post,8.661261727319186
ES,2022-04-01,post,-9.519409781876675
