dropped_donor,period_date,analysis_period,loo_gap
AC,2016-08-01,pre,30.660129669080924
AC,2016-10-01,pre,-0.061713803900563136
AC,2016-12-01,pre,-8.32611925990565
AC,2017-02-01,pre,-4.174296636315081
AC,2017-04-01,pre,-6.966124838466023
AC,2017-06-01,pre,-6.64725799856128
AC,2017-08-01,pre,-11.83817246608654
AC,2017-10-01,pre,-14.584898971159934
AC,2017-12-01,pre,8.258085550446788
AC,2018-02-01,pre,-6.454834845826657
AC,2018-04-01,pre,-4.261347104545884
AC,2018-06-01,pre,-5.240564123459926
AC,2018-08-01,pre,-13.333548675671423
AC,2018-10-01,pre,8.715190030346736
AC,2018-12-01,pre,18.9564160468663
AC,2019-02-01,pre,-4.375220361192337
AC,2019-04-01,pre,-0.9277716340199191
AC,2019-06-01,pre,-0.628591006435018
AC,2019-08-01,pre,1.00828035185679
AC,2019-10-01,pre,0.12962817248851266
AC,2019-12-01,pre,-20.63754525245312
AC,2020-02-01,pre,-4.630945757704563
AC,2020-04-01,pre,-1.3299278253689693
AC,2020-06-01,pre,-0.7963510542978831
AC,2020-08-01,post,-11.66482859268279
AC,2020-10-01,post,-3.171866957505877
AC,2020-12-01,post,-4.752227182497204
AC,2021-02-01,post,-4.347896157742426
AC,2021-04-01,post,-5.462616648625975
AC,2021-06-01,post,-7.327273058278038
AC,2021-08-01,post,-38.271472297341674
AC,2021-10-01,post,-18.59567469407127
AC,2021-12-01,post,-21.450776102474777
AC,2022-02-01,post,-38.78613015370702
AC,2022-04-01,post,4.035674662614099
AC,2022-06-01,post,-64.00923367062657
AL,2016-08-01,pre,30.69512780629441
AL,2016-10-01,pre,-0.07187823013060424
AL,2016-12-01,pre,-8.163860810019155
AL,2017-02-01,pre,-4.13911764020369
AL,2017-04-01,pre,-6.963504044170179
AL,2017-06-01,pre,-6.624987401076872
AL,2017-08-01,pre,-11.792653458846441
AL,2017-10-01,pre,-14.537537892378626
AL,2017-12-01,pre,8.48895747507828
AL,2018-02-01,pre,-6.3063467339393675
AL,2018-04-01,pre,-4.111665359929205
AL,2018-06-01,pre,-5.011071775194363
AL,2018-08-01,pre,-13.110891099938208
AL,2018-10-01,pre,9.061970399239975
AL,2018-12-01,pre,19.48353796213145
AL,2019-02-01,pre,-4.3570495640427325
AL,2019-04-01,pre,-0.9312335628351711
AL,2019-06-01,pre,-0.5730488923606032
AL,2019-08-01,pre,1.029832900668314
AL,2019-10-01,pre,0.14323223637514104
AL,2019-12-01,pre,-20.569815750396025
AL,2020-02-01,pre,-4.618529278948362
AL,2020-04-01,pre,-1.314371360365719
AL,2020-06-01,pre,-0.7970076835592543
AL,2020-08-01,post,-11.732549260452435
AL,2020-10-01,post,-3.1861063433019883
AL,2020-12-01,post,-4.57437260021802
AL,2021-02-01,post,-4.339425703527343
AL,2021-04-01,post,-5.479822863121406
AL,2021-06-01,post,-7.360432526361809
AL,2021-08-01,post,-38.44893538352339
AL,2021-10-01,post,-18.675826267969114
AL,2021-12-01,post,-21.408083336379804
AL,2022-02-01,post,-38.998403934036915
AL,2022-04-01,post,4.0635396070425
AL,2022-06-01,post,-64.42222314848786
AP,2016-08-01,pre,30.796597011231736
AP,2016-10-01,pre,-0.0341189746498074
AP,2016-12-01,pre,-8.453721705890766
AP,2017-02-01,pre,-3.9545150813182737
AP,2017-04-01,pre,-6.847594969556603
AP,2017-06-01,pre,-6.646528253806373
AP,2017-08-01,pre,-11.732146376658786
AP,2017-10-01,pre,-14.474919437186482
AP,2017-12-01,pre,8.38803080160221
AP,2018-02-01,pre,-6.461589440847444
AP,2018-04-01,pre,-4.416690503112772
AP,2018-06-01,pre,-5.467086228499891
AP,2018-08-01,pre,-13.510783442825435
AP,2018-10-01,pre,8.615965047667984
AP,2018-12-01,pre,18.575535008918465
AP,2019-02-01,pre,-4.197960094290163
AP,2019-04-01,pre,-0.7978437513575685
AP,2019-06-01,pre,-0.5772174437764424
AP,2019-08-01,pre,1.1106251066426882
AP,2019-10-01,pre,0.2769442138677647
AP,2019-12-01,pre,-20.315570656444763
AP,2020-02-01,pre,-4.485419676879356
AP,2020-04-01,pre,-1.2197356083099145
AP,2020-06-01,pre,-0.5028651339837218
AP,2020-08-01,post,-11.462188841192658
AP,2020-10-01,post,-3.1527572585941144
AP,2020-12-01,post,-4.7779975366359935
AP,2021-02-01,post,-4.179333689683421
AP,2021-04-01,post,-5.341856105855015
AP,2021-06-01,post,-7.126275464957601
AP,2021-08-01,post,-37.89773169344164
AP,2021-10-01,post,-18.349993020382563
AP,2021-12-01,post,-21.267513562174052
AP,2022-02-01,post,-38.33368707254023
AP,2022-04-01,post,4.308136239857795
AP,2022-06-01,post,-63.31821216697949
BA,2016-08-01,pre,30.63590975480572
BA,2016-10-01,pre,-0.10100351915329497
BA,2016-12-01,pre,-8.240219152339264
BA,2017-02-01,pre,-4.19613714085072
BA,2017-04-01,pre,-6.992246949645029
BA,2017-06-01,pre,-6.659473121863488
BA,2017-08-01,pre,-11.853585685573115
BA,2017-10-01,pre,-14.606952044314916
BA,2017-12-01,pre,8.322128012409252
BA,2018-02-01,pre,-6.322633785007181
BA,2018-04-01,pre,-4.1047316278251635
BA,2018-06-01,pre,-5.000840742905044
BA,2018-08-01,pre,-13.085384375541715
BA,2018-10-01,pre,9.048452284505629
BA,2018-12-01,pre,19.444113788625092
BA,2019-02-01,pre,-4.394702566050263
BA,2019-04-01,pre,-0.955518756036895
BA,2019-06-01,pre,-0.6103125329129977
BA,2019-08-01,pre,0.9953279300605686
BA,2019-10-01,pre,0.1094988106100665
BA,2019-12-01,pre,-20.64686165901434
BA,2020-02-01,pre,-4.657132587230624
BA,2020-04-01,pre,-1.3597559715841676
BA,2020-06-01,pre,-0.8395398692671705
BA,2020-08-01,post,-11.73267742975588
BA,2020-10-01,post,-3.1910482467915617
BA,2020-12-01,post,-4.670798552038427
BA,2021-02-01,post,-4.373625758309611
BA,2021-04-01,post,-5.506621131298907
BA,2021-06-01,post,-7.378814553390871
BA,2021-08-01,post,-38.41260362625519
BA,2021-10-01,post,-18.674760995369354
BA,2021-12-01,post,-21.440352957166866
BA,2022-02-01,post,-38.966252840878056
BA,2022-04-01,post,4.0225440187476735
BA,2022-06-01,post,-64.32893581897366
CE,2016-08-01,pre,30.82892179425749
CE,2016-10-01,pre,0.06669523452139714
CE,2016-12-01,pre,-7.792315907166079
CE,2017-02-01,pre,-4.107346157535545
CE,2017-04-01,pre,-6.93923414511757
CE,2017-06-01,pre,-6.464128038597902
CE,2017-08-01,pre,-11.628303694159758
CE,2017-10-01,pre,-14.33370274486704
CE,2017-12-01,pre,8.99529085585356
CE,2018-02-01,pre,-6.374368033625274
CE,2018-04-01,pre,-4.145889441762513
CE,2018-06-01,pre,-5.07396622359731
CE,2018-08-01,pre,-13.301936585737835
CE,2018-10-01,pre,8.860883815110114
CE,2018-12-01,pre,19.52815437065923
CE,2019-02-01,pre,-4.365196046422344
CE,2019-04-01,pre,-0.9366436571342796
CE,2019-06-01,pre,-0.4884509210983232
CE,2019-08-01,pre,1.081867735160177
CE,2019-10-01,pre,0.15128265077088443
CE,2019-12-01,pre,-20.57607879262541
CE,2020-02-01,pre,-4.580956898487479
CE,2020-04-01,pre,-1.2054988776993625
CE,2020-06-01,pre,-0.8836182137259776
CE,2020-08-01,post,-11.87621642653316
CE,2020-10-01,post,-3.1644151903084268
CE,2020-12-01,post,-4.22161371984533
CE,2021-02-01,post,-4.3461544759258
CE,2021-04-01,post,-5.446663139563675
CE,2021-06-01,post,-7.441796314992214
CE,2021-08-01,post,-38.853499584340824
CE,2021-10-01,post,-18.85874460182839
CE,2021-12-01,post,-21.478720815302076
CE,2022-02-01,post,-39.42711805960336
CE,2022-04-01,post,3.9599853498682336
CE,2022-06-01,post,-65.21787754908217
DF,2016-08-01,pre,30.44506607158957
DF,2016-10-01,pre,0.3282715040561648
DF,2016-12-01,pre,-7.380738628917374
DF,2017-02-01,pre,-5.018282398488239
DF,2017-04-01,pre,-7.327004038048766
DF,2017-06-01,pre,-6.230383155568191
DF,2017-08-01,pre,-11.891239092191842
DF,2017-10-01,pre,-14.533426785918437
DF,2017-12-01,pre,8.408280993032742
DF,2018-02-01,pre,-7.297076896035588
DF,2018-04-01,pre,-4.4644486798533265
DF,2018-06-01,pre,-5.627447868882857
DF,2018-08-01,pre,-14.27996790141038
DF,2018-10-01,pre,6.913471580151381
DF,2018-12-01,pre,18.172416740664183
DF,2019-02-01,pre,-5.119869922873573
DF,2019-04-01,pre,-1.3985387933860878
DF,2019-06-01,pre,-0.7845143634281477
DF,2019-08-01,pre,0.7123173723650265
DF,2019-10-01,pre,-0.43508763014007457
