dropped_donor,period_date,analysis_period,loo_gap
AC,2017-08-01,pre,4.166538905595289
AC,2017-09-01,pre,6.570462621663907
AC,2017-10-01,pre,4.8469052075598285
AC,2017-11-01,pre,1.6627954268921457
AC,2017-12-01,pre,0.8355516987910789
AC,2018-01-01,pre,4.292307875232439
AC,2018-02-01,pre,4.562399334148665
AC,2018-03-01,pre,6.393062815380134
AC,2018-04-01,pre,2.66200647256494
AC,2018-05-01,pre,3.2087778657604957
AC,2018-06-01,pre,3.426284736163609
AC,2018-07-01,pre,2.087384212896069
AC,2018-08-01,pre,2.569597065436213
AC,2018-09-01,pre,4.285770652385693
AC,2018-10-01,pre,3.5993383242348926
AC,2018-11-01,pre,3.4709536855658882
AC,2018-12-01,pre,2.6056261446094027
AC,2019-01-01,pre,2.622001702271845
AC,2019-02-01,pre,3.9789027483614916
AC,2019-03-01,pre,3.765728714037678
AC,2019-04-01,pre,0.9509245089819842
AC,2019-05-01,pre,1.0231220220424717
AC,2019-06-01,pre,2.326024135127824
AC,2019-07-01,pre,4.149537324341026
AC,2019-08-01,pre,5.694965535425297
AC,2019-09-01,pre,3.242572381001679
AC,2019-10-01,pre,3.4430541746591388
AC,2019-11-01,pre,-0.07354634647201408
AC,2019-12-01,pre,7.014484686875761
AC,2020-01-01,pre,5.669254481257482
AC,2020-02-01,pre,6.4459329521645685
AC,2020-03-01,pre,4.305103487045457
AC,2020-04-01,pre,3.5712578622055418
AC,2020-05-01,pre,1.1277315685303506
AC,2020-06-01,pre,5.3939757862085145
AC,2020-07-01,pre,6.947747058248453
AC,2020-08-01,post,7.717030770726424
AC,2020-09-01,post,2.134035031021355
AC,2020-10-01,post,2.5681833852770666
AC,2020-11-01,post,6.578290694178563
AC,2020-12-01,post,6.837030858464644
AC,2021-01-01,post,0.3101473780478443
AC,2021-02-01,post,0.5727539277316254
AC,2021-03-01,post,10.231448301780588
AC,2021-04-01,post,5.231855478427022
AC,2021-05-01,post,3.6399299756256056
AC,2021-06-01,post,3.411206987170388
AC,2021-07-01,post,2.1011232589292064
AC,2021-08-01,post,4.532620774394687
AC,2021-09-01,post,3.7747623920715796
AC,2021-10-01,post,3.302770153727465
AC,2021-11-01,post,4.611397159684557
AC,2021-12-01,post,2.974339513023409
AC,2022-01-01,post,3.3741414243623638
AC,2022-02-01,post,1.3143329371147132
AC,2022-03-01,post,1.8876438203191412
AC,2022-04-01,post,-0.05419443670568569
AC,2022-05-01,post,1.5662434359995672
AC,2022-06-01,post,0.7295098846692412
AC,2022-07-01,post,-1.22241059959957
AL,2017-08-01,pre,4.00556777811633
AL,2017-09-01,pre,6.41010505417583
AL,2017-10-01,pre,4.6712707134840485
AL,2017-11-01,pre,1.492502044589088
AL,2017-12-01,pre,0.6538806138731985
AL,2018-01-01,pre,4.063918763301928
AL,2018-02-01,pre,4.46740089735863
AL,2018-03-01,pre,6.210785176342242
AL,2018-04-01,pre,2.657317746360789
AL,2018-05-01,pre,3.220981143669235
AL,2018-06-01,pre,3.3451766794758413
AL,2018-07-01,pre,2.075551830661837
AL,2018-08-01,pre,2.556385842870071
AL,2018-09-01,pre,4.1871360881308135
AL,2018-10-01,pre,3.6629480443815794
AL,2018-11-01,pre,3.436799641602306
AL,2018-12-01,pre,2.5988103484712894
AL,2019-01-01,pre,2.5844625500640603
AL,2019-02-01,pre,3.905715586624865
AL,2019-03-01,pre,3.7748580243374192
AL,2019-04-01,pre,0.8386102308675305
AL,2019-05-01,pre,0.882900371577108
AL,2019-06-01,pre,2.1785893855799685
AL,2019-07-01,pre,3.94478842940714
AL,2019-08-01,pre,5.4998520995355875
AL,2019-09-01,pre,3.1482684012779885
AL,2019-10-01,pre,3.3886041550102846
AL,2019-11-01,pre,-0.1057291185294531
AL,2019-12-01,pre,6.691199998156122
AL,2020-01-01,pre,5.527398540099824
AL,2020-02-01,pre,6.331842405980936
AL,2020-03-01,pre,4.1759973025254595
AL,2020-04-01,pre,3.533453849203454
AL,2020-05-01,pre,1.4934800749802264
AL,2020-06-01,pre,5.494858353636346
AL,2020-07-01,pre,6.846716027394095
AL,2020-08-01,post,7.611107853392738
AL,2020-09-01,post,2.0848512757448248
AL,2020-10-01,post,2.4538178614887443
AL,2020-11-01,post,6.430176491162129
AL,2020-12-01,post,6.676562980194774
AL,2021-01-01,post,0.28820598122591434
AL,2021-02-01,post,0.6232281324532636
AL,2021-03-01,post,10.276186065670217
AL,2021-04-01,post,5.211182214098045
AL,2021-05-01,post,3.658056218350069
AL,2021-06-01,post,3.3393190802279094
AL,2021-07-01,post,2.1440277456492254
AL,2021-08-01,post,4.5009147170957675
AL,2021-09-01,post,3.71803866484737
AL,2021-10-01,post,3.2422177771921667
AL,2021-11-01,post,4.626424376747437
AL,2021-12-01,post,3.126455029401157
AL,2022-01-01,post,3.4239357294837873
AL,2022-02-01,post,1.3017508113346423
AL,2022-03-01,post,1.903865387253731
AL,2022-04-01,post,0.0027926706435295046
AL,2022-05-01,post,1.570881893647183
AL,2022-06-01,post,0.7139963363603528
AL,2022-07-01,post,-1.14749512179786
AP,2017-08-01,pre,3.5406401064044815
AP,2017-09-01,pre,5.93427839446943
AP,2017-10-01,pre,4.307301655878788
AP,2017-11-01,pre,1.1301892889096905
AP,2017-12-01,pre,0.39859239669191027
AP,2018-01-01,pre,3.7517166908389896
AP,2018-02-01,pre,4.0896692826413386
AP,2018-03-01,pre,5.8189135177778155
AP,2018-04-01,pre,1.956156807997246
AP,2018-05-01,pre,2.665584932909397
AP,2018-06-01,pre,2.8061791445440036
AP,2018-07-01,pre,1.4398218165243861
AP,2018-08-01,pre,2.0071651087109785
AP,2018-09-01,pre,3.713045324312958
AP,2018-10-01,pre,3.1798784399572497
AP,2018-11-01,pre,2.8687903061041737
AP,2018-12-01,pre,2.0283306944002817
AP,2019-01-01,pre,2.126706614519037
AP,2019-02-01,pre,3.3628109916876525
AP,2019-03-01,pre,3.1325384813789867
AP,2019-04-01,pre,0.3670804035294424
AP,2019-05-01,pre,0.4327121136336558
AP,2019-06-01,pre,1.7752014576375217
AP,2019-07-01,pre,3.669000936699419
AP,2019-08-01,pre,5.257175964174479
AP,2019-09-01,pre,2.749596020569129
AP,2019-10-01,pre,2.993972567617547
AP,2019-11-01,pre,-0.6233094450741561
AP,2019-12-01,pre,6.38188244933724
AP,2020-01-01,pre,5.1294237634868125
AP,2020-02-01,pre,5.917446983547933
AP,2020-03-01,pre,4.110151032735075
AP,2020-04-01,pre,3.4583259220791405
AP,2020-05-01,pre,1.0840557434456741
AP,2020-06-01,pre,5.296213919800252
AP,2020-07-01,pre,6.760440543549308
AP,2020-08-01,post,7.338946658453821
AP,2020-09-01,post,1.8711201186038409
AP,2020-10-01,post,2.2446278695130957
AP,2020-11-01,post,6.312936042600342
AP,2020-12-01,post,6.608471691823084
AP,2021-01-01,post,0.22987882892088862
AP,2021-02-01,post,0.4294578705595171
AP,2021-03-01,post,10.489304195567101
AP,2021-04-01,post,5.0473899732267284
AP,2021-05-01,post,3.447894641825272
AP,2021-06-01,post,3.299013596045313
AP,2021-07-01,post,2.059173179447555
AP,2021-08-01,post,4.4944269372663825
AP,2021-09-01,post,3.722119399162608
AP,2021-10-01,post,3.289762535814077
AP,2021-11-01,post,4.624270567766828
AP,2021-12-01,post,3.0622049529699495
AP,2022-01-01,post,3.4187525637827747
AP,2022-02-01,post,1.2536197087426473
AP,2022-03-01,post,1.811750600215234
AP,2022-04-01,post,-0.048100216768730775
AP,2022-05-01,post,1.5342257888931954
AP,2022-06-01,post,0.7056286413098576
AP,2022-07-01,post,-1.172088443504947
BA,2017-08-01,pre,4.073453405672325
BA,2017-09-01,pre,5.759103469269363
BA,2017-10-01,pre,4.401795171119204
BA,2017-11-01,pre,1.5391027740957668
BA,2017-12-01,pre,1.3934664433233621
BA,2018-01-01,pre,4.068241118068414
BA,2018-02-01,pre,4.214564875116579
BA,2018-03-01,pre,6.263466873365132
BA,2018-04-01,pre,2.473543658146639
BA,2018-05-01,pre,2.7342578449509887
BA,2018-06-01,pre,3.1897702971293427
BA,2018-07-01,pre,1.3123001080201107
BA,2018-08-01,pre,2.028796814350386
BA,2018-09-01,pre,3.564566696220382
BA,2018-10-01,pre,3.1094046630225307
BA,2018-11-01,pre,3.2763631180490336
