dropped_donor,period_date,analysis_period,loo_gap
AC,2016-08-01,pre,8.974521153133352e-4
AC,2016-10-01,pre,-0.09785586974903193
AC,2016-12-01,pre,0.018047376615170307
AC,2017-02-01,pre,0.05206413073693028
AC,2017-04-01,pre,-0.02037978982418398
AC,2017-06-01,pre,-0.054317609120253074
AC,2017-08-01,pre,-0.09763525381933924
AC,2017-10-01,pre,-0.1928882289559981
AC,2017-12-01,pre,0.2822153034755841
AC,2018-02-01,pre,-0.014625514576240839
AC,2018-04-01,pre,-0.12409618349439366
AC,2018-06-01,pre,-0.18679837662825793
AC,2018-08-01,pre,-0.14079768114640157
AC,2018-10-01,pre,-0.12881073494385387
AC,2018-12-01,pre,0.30165507543413916
AC,2019-02-01,pre,0.06500631204373519
AC,2019-04-01,pre,-0.32114289738283386
AC,2019-06-01,pre,-0.11647904445255897
AC,2019-08-01,pre,-0.20317531664593247
AC,2019-10-01,pre,-0.13543195873584946
AC,2019-12-01,pre,0.0019324012892925069
AC,2020-02-01,pre,-0.05982317490936406
AC,2020-04-01,pre,-0.16291842960959269
AC,2020-06-01,pre,-0.06642610005261229
AC,2020-08-01,post,-0.35153299103673064
AC,2020-10-01,post,-0.0359999957864785
AC,2020-12-01,post,-0.11612966258966217
AC,2021-02-01,post,-0.22798673654815005
AC,2021-04-01,post,-0.06617061120080425
AC,2021-06-01,post,-0.1052684961345296
AC,2021-08-01,post,-0.20021690454783503
AC,2021-10-01,post,-0.03549725930021097
AC,2021-12-01,post,0.004083526872710408
AC,2022-02-01,post,0.026323268433111835
AC,2022-04-01,post,0.08908371286025929
AC,2022-06-01,post,0.057207958795746805
AL,2016-08-01,pre,-0.01751459402043931
AL,2016-10-01,pre,-0.1195070185378464
AL,2016-12-01,pre,0.05199164654403443
AL,2017-02-01,pre,0.08447066198810127
AL,2017-04-01,pre,-0.058820216361533006
AL,2017-06-01,pre,-0.053044222977606026
AL,2017-08-01,pre,-0.11582030612837979
AL,2017-10-01,pre,-0.18644736499937142
AL,2017-12-01,pre,0.30228372241090096
AL,2018-02-01,pre,-0.013145059428237182
AL,2018-04-01,pre,-0.12854908961060296
AL,2018-06-01,pre,-0.20046520935771817
AL,2018-08-01,pre,-0.19395331774637103
AL,2018-10-01,pre,-0.1387809801166675
AL,2018-12-01,pre,0.2824528540389313
AL,2019-02-01,pre,0.06843554291713261
AL,2019-04-01,pre,-0.3428197003674107
AL,2019-06-01,pre,-0.1337997310773016
AL,2019-08-01,pre,-0.2305825628012812
AL,2019-10-01,pre,-0.1475889030414539
AL,2019-12-01,pre,-0.04997001234437004
AL,2020-02-01,pre,-0.03539713057135252
AL,2020-04-01,pre,-0.1943918312469073
AL,2020-06-01,pre,-0.09507937488347462
AL,2020-08-01,post,-0.3770570839760339
AL,2020-10-01,post,-0.07478515019200138
AL,2020-12-01,post,-0.1516711641251396
AL,2021-02-01,post,-0.2432248644963888
AL,2021-04-01,post,-0.09141982582378105
AL,2021-06-01,post,-0.13197134227432183
AL,2021-08-01,post,-0.20230376222759094
AL,2021-10-01,post,-0.040657266169712436
AL,2021-12-01,post,0.005417315327727046
AL,2022-02-01,post,0.021379475916774027
AL,2022-04-01,post,0.0896227802131051
AL,2022-06-01,post,0.052443459847645535
AP,2016-08-01,pre,-0.006588352968674549
AP,2016-10-01,pre,-0.10676843455030305
AP,2016-12-01,pre,0.026318389085580485
AP,2017-02-01,pre,0.057868969472712806
AP,2017-04-01,pre,-0.022239520135239665
AP,2017-06-01,pre,-0.05579168263662293
AP,2017-08-01,pre,-0.0983323006481358
AP,2017-10-01,pre,-0.19515217677987895
AP,2017-12-01,pre,0.2822934820234613
AP,2018-02-01,pre,-0.016087914639945744
AP,2018-04-01,pre,-0.13248869312759837
AP,2018-06-01,pre,-0.19550806730956527
AP,2018-08-01,pre,-0.14987493118094353
AP,2018-10-01,pre,-0.1349965240120783
AP,2018-12-01,pre,0.29077695949228666
AP,2019-02-01,pre,0.07422094696807235
AP,2019-04-01,pre,-0.3330422642636721
AP,2019-06-01,pre,-0.12402693759520655
AP,2019-08-01,pre,-0.2141668578231517
AP,2019-10-01,pre,-0.1432489558670218
AP,2019-12-01,pre,-0.01227756096692989
AP,2020-02-01,pre,-0.06487593841261852
AP,2020-04-01,pre,-0.1760592572623283
AP,2020-06-01,pre,-0.0782038680072823
AP,2020-08-01,post,-0.36369257326509263
AP,2020-10-01,post,-0.048574425034088264
AP,2020-12-01,post,-0.12855177758035286
AP,2021-02-01,post,-0.23994687937920745
AP,2021-04-01,post,-0.07927264178919913
AP,2021-06-01,post,-0.11892728101178118
AP,2021-08-01,post,-0.20745177763072853
AP,2021-10-01,post,-0.04587669839048747
AP,2021-12-01,post,-0.006963681666865895
AP,2022-02-01,post,0.014790210404572512
AP,2022-04-01,post,0.07735446896810405
AP,2022-06-01,post,0.044570594821039755
BA,2016-08-01,pre,-0.0059252728983132386
BA,2016-10-01,pre,-0.10211187354450058
BA,2016-12-01,pre,-1.0928716393188154e-5
BA,2017-02-01,pre,0.06040094945383778
BA,2017-04-01,pre,-0.01783509082034751
BA,2017-06-01,pre,-0.05847286241080685
BA,2017-08-01,pre,-0.09667259707298914
