state_abbrev,va_icms_secundario_real_pc,va_icms_terciario_real_pc,va_icms_energia_real_pc,va_icms_combustiveis_real_pc,fpe_real_pc,iof_est_real_pc,donor_pool_main,excluded_from_main_donor_pool,donor_pool_exclusion_reason
AC,0.8464002558389526,133.15048687169448,0.8978727644390514,2.2114865121321614,92.92325010982799,0,TRUE,FALSE,
AL,4.5585472505556215,11.033477952527406,1.9800299052681487,0.42020564535975363,22.650916491837066,0,TRUE,FALSE,
AM,23.166663303511083,30.465157299090457,1.804767570911748,6.314975711098329,15.212110798517276,5.643392161624326e-4,TRUE,FALSE,
AP,3.0056682751566934,13.409580587059885,0.6590452876648255,6.6579130123540455,107.99060831262044,0.02627628049637907,TRUE,FALSE,
BA,9.760188103541761,12.222466775071766,2.9767399274441435,8.842063001766682,10.948495956799922,6.491784451604987e-7,TRUE,FALSE,
CE,8.684952145871996,12.001441753422046,3.007619060107706,4.933661161358293,15.129817603205662,8.111699460993753e-5,TRUE,FALSE,
DF,16.39621261719112,39.10304348267888,6.843591130845236,17.81830209408863,5.0976148491575906,0,TRUE,FALSE,
ES,23.16766420720383,34.069041544796484,7.176331516411699,10.118570670800295,7.423012590038676,5.1950601219214136e-6,TRUE,FALSE,
GO,12.36002011248078,19.445457297541196,5.740021100002331,11.577989580056625,8.602344741499323,1.9112359233617573e-5,TRUE,FALSE,
MA,1.6444368301898082,4.751768719653547,1.048194418946594,2.824855771136598,19.596850181450147,2.848147372325595e-5,TRUE,FALSE,
MG,16.540563010495962,15.50813291051718,6.2621654627402386,10.945557184454533,3.813175575847682,3.529130315169731e-5,TRUE,FALSE,
MS,2.0243699184725052,32.34534072610725,4.160443200202655,14.303934106943817,9.757137900776803,5.6150943442312735e-6,TRUE,FALSE,
MT,13.555506263660433,27.08496868744348,6.3861580443979,14.053766958560221,14.069226740514335,0.006911358425168667,TRUE,FALSE,
PA,4.019101220915723,11.978520151021542,2.379300851867387,3.804441644137802,14.893877717817766,0.0039992753871611756,TRUE,FALSE,
PB,5.642265143550011,15.875763623139436,1.8943478886066187,1.659835986352988,21.350083531439708,1.650979318709799e-7,TRUE,FALSE,
PE,5.921866108266253,16.78583283851563,2.6974291908523824,5.423280741559145,13.427893920850934,-5.152350826593466e-10,TRUE,FALSE,
PI,2.248443687436191,10.35922378119425,1.609313284064579,3.635697657053051,23.41335662121588,1.7788850698591612e-7,FALSE,TRUE,coded_removal_in_scm_window:PI_2001_01
PR,9.578866478149054,20.12369569619626,6.786492115355039,12.807607437808151,4.596490214280309,6.5751257192266e-5,TRUE,FALSE,
RJ,19.688512130194876,27.567394431899242,9.289098162588912,9.4148112965265,1.632497892419511,1.1702289674794358e-4,TRUE,FALSE,
RN,6.886487492445444,19.66858934323494,2.396623248173225,0.673113667912016,23.10275660886044,1.6134917957306544e-8,TRUE,FALSE,
RO,4.0801909269395535,31.53307653701328,0.592834559532195,7.026886225522984,31.179515002058587,0.009275566647627792,TRUE,FALSE,
RR,2.9152783955382024,17.2992758083347,1.220212375906623,9.264955265406176,120.7699289714539,0.004415386028773504,FALSE,TRUE,treated_unit
RS,20.624938486722403,22.892928685794686,6.828686533499225,14.344267797335972,3.5330691917539063,1.3684863477838697e-7,TRUE,FALSE,
SC,16.474299076744106,26.567138068832342,7.759502524586655,13.842140464034017,3.66229921124461,8.514823485316687e-8,TRUE,FALSE,
SE,6.160221562605202,13.810295061914879,2.997153824110356,3.1352130535726843,35.532315244457685,0,TRUE,FALSE,
SP,40.125156803510336,31.65378145213631,7.780090792917229,13.555086031992854,0.41194843028426426,1.0176185290818443e-4,TRUE,FALSE,
TO,2.3320742444227296,13.707707998603297,2.814216866072948,9.078413023825554,56.55703985006933,1.381493275193177e-4,TRUE,FALSE,
